tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H7N3.NA.EPI_ISL_331290.anseriformes.russia.NA.2018-01-23,H7N3,EPI_ISL_331290,A/mallard/Dagestan/1051/2018,2018-01-23,2018.06,2018-01,anseriformes_wild,anseriformes,Anatidae,anas platyrhynchos,mallard,bird,wild,eastern europe,russia,rus,66.0376616061812,95.7970903417469,dagestan,ru.da,43.0199724243525,46.8879064209307,A,2018-04,2661,NA,NA,NA,NA,NA,2018-01-23,n3,n3,profileNA
H5N3.2344b.EPI_ISL_5863749.anseriformes.united_states.289.2020-10-20,H5N3,EPI_ISL_5863749,a/green-winged-teal/georgia/dt-22894/2020,2020-10-20,2020.8,2020-10,anseriformes_wild,anseriformes,Anatidae,anas crecca,green-winged teal,bird,wild,northern america,united states,usa,44.75294654392,-103.651025114044,georgia,us.ga,32.6403385373358,-83.4405725551842,a,2020-43,3413,2344b,Asia / Georgia / NA / NA / NA,3_2_3_1_1_68_1_2,NA,289,2020-10-20,n3,n3,profile068
H7N3.NA.EPI_ISL_706194.anseriformes.south_korea.NA.2019-03-15,H7N3,EPI_ISL_706194,A/Spot-billed_duck/South_Korea/WKU2019-1/2019,2019-03-15,2019.2,2019-03,anseriformes_wild,anseriformes,Anatidae,anas zonorhyncha,eastern spot-billed duck,bird,wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,NA,NA,NA,NA,A,2019-11,3775,NA,NA,NA,NA,NA,2019-03-15,n3,n3,profileNA
H7N3.NA.EPI_ISL_387968.anseriformes.egypt.NA.2016-01-28,H7N3,EPI_ISL_387968,A/teal/Egypt/MB-D-487OP/2016,2016-01-28,2016.07,2016-01,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-04,3720,NA,NA,NA,NA,NA,2016-01-28,n3,n3,profileNA
H7N3.NA.EPI_ISL_387973.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387973,A/northern_shoveler/Egypt/MB-D-695C/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387970.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387970,A/teal/Egypt/MB-D-698C/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387965.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387965,A/northern_shoveler/Egypt/MB-D-686OP/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387964.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387964,A/teal/Egypt/MB-D-698OP/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,anatidae sp. (teal sp.),teal sp.,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387972.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387972,A/northern_shoveler/Egypt/MB-D-690C/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
H7N3.NA.EPI_ISL_387966.anseriformes.egypt.NA.2016-03-17,H7N3,EPI_ISL_387966,A/northern_shoveler/Egypt/MB-D-690OP/2016,2016-03-17,2016.21,2016-03,anseriformes_wild,anseriformes,Anatidae,spatula clypeata,northern shoveler,bird,wild,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,A,2016-11,3720,NA,NA,NA,NA,NA,2016-03-17,n3,n3,profileNA
