tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N8.2.3.4.4b.EPI_ISL_405813.accipitriformes.poland.10.2020-01-06,H5N8,EPI_ISL_405813,a/hawk/poland/003/2020,2020-01-06,2020.01,2020-01,accipitriformes_wild,accipitriformes,Accipitridae,accipitridae sp. (hawk sp.),hawk sp.,bird,wild,eastern europe,poland,pol,52.1141994014432,19.4236724631525,lubelskie,na,51.2170859712694,22.9017240742201,a,2020-02,3831,2.3.4.4b,Europe / Poland / Lublin Voivodeship / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-06,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_410291.galliformes.germany.10.2020-02-06,H5N8,EPI_ISL_410291,a/chicken/germany-bw/ai00049/2020,2020-02-06,2020.1,2020-02,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western europe,germany,deu,51.0533277435649,10.373650933319,baden-württemberg,de.bw,48.5335196122676,9.04442576424602,a,2020-06,701,2.3.4.4b,Europe / Germany / Baden-Wuerttemberg / Regierungsbezirk Karlsruhe / Hohenlohekreis,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-02-06,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_418266.galliformes.czechia.10.2020-02-17,H5N8,EPI_ISL_418266,a/turkey/czech_republic/3071/2020,2020-02-17,2020.13,2020-02,galliformes_domestic,galliformes,Phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),bird,domestic,eastern europe,czechia,cze,49.7450575142012,15.3371651897674,pardubický,cz.ek,49.9006406346158,16.1892997029385,a,2020-08,3712,2.3.4.4b,"Europe / Czech Republic / Pardubicky kraj / Okres Pardubice / Slepotice, Moravany",6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-02-17,mp,mp,profile001
H5N2.2.3.4.4b.EPI_ISL_503969.galliformes.bulgaria.202.2020-02-21,H5N2,EPI_ISL_503969,a/chicken/bulgaria/77_20vir1727/2020,2020-02-21,2020.14,2020-02,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern europe,bulgaria,bgr,42.7584172195881,25.2179149681535,NA,NA,NA,NA,a,2020-08,3677,2.3.4.4b,Europe / Bulgaria / NA / NA / NA,1_1_41_12_24_42_11_7,NA,202,2020-02-21,mp,mp,profile011
H5N8.2.3.4.4b.EPI_ISL_525439.galliformes.poland.10.2020-01-01,H5N8,EPI_ISL_525439,a/laying_hen/poland/002/2020,2020-01-01,2020,2020-01,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,wielkopolskie,na,52.3269678786096,17.250141052842,a,2020-01,3831,2.3.4.4b,Europe / Poland / Greater Poland Voivodeship / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-01,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_525440.galliformes.poland.10.2020-01-02,H5N8,EPI_ISL_525440,a/chicken/poland/003/2020,2020-01-02,2020,2020-01,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,lubelskie,na,51.2170859712694,22.9017240742201,a,2020-01,3831,2.3.4.4b,Europe / Poland / Lublin Voivodeship / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-02,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_525441.galliformes.poland.10.2020-01-02,H5N8,EPI_ISL_525441,a/chicken/poland/004/2020,2020-01-02,2020,2020-01,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,lubelskie,na,51.2170859712694,22.9017240742201,a,2020-01,3831,2.3.4.4b,Europe / Poland / Lublin Voivodeship / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-02,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_525442.galliformes.poland.10.2020-01-09,H5N8,EPI_ISL_525442,a/turkey/poland/027/2020,2020-01-09,2020.02,2020-01,galliformes_domestic,galliformes,Phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),bird,domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,NA,NA,NA,NA,a,2020-02,3831,2.3.4.4b,Europe / Poland / NA / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-09,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_525443.anseriformes.poland.10.2020-01-12,H5N8,EPI_ISL_525443,a/domestic_goose/poland/028/2020,2020-01-12,2020.03,2020-01,anseriformes_domestic,anseriformes,Anatidae,anser sp. (domestic type),domestic goose sp. (domestic type),bird,domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,NA,NA,NA,NA,a,2020-02,3831,2.3.4.4b,Europe / Poland / NA / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-12,mp,mp,profile001
H5N8.2.3.4.4b.EPI_ISL_525444.galliformes.poland.10.2020-01-17,H5N8,EPI_ISL_525444,a/chicken/poland/054/2020,2020-01-17,2020.04,2020-01,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,NA,NA,NA,NA,a,2020-03,3831,2.3.4.4b,Europe / Poland / NA / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,2020-01-17,mp,mp,profile001
