tipnames,virus.subtype,isolate.id,isolate.name,collection.date,collection.datedecimal,collection.datemonth,host.class,host.order,host.family,host.sciname,host.commonname,host.isbird,host.isdomestic,collection.region.name,collection.country.name,collection.country.code,collection.country.lat,collection.country.long,collection.subdiv1.name,collection.subdiv1.code,collection.subdiv1.lat,collection.subdiv1.long,virus.species,week.date,...1,clade,collection.original,profile,profile.lab,genome,collection.tipdate,segment,cluster.segment,cluster.number
H5N5.2.3.4.4b.EPI_ISL_614399.accipitriformes.germany.36.2020-10-29,H5N5,EPI_ISL_614399,a/buzzard/germany-mv/ai02166/2020,2020-10-29,2020.83,2020-10,accipitriformes_wild,accipitriformes,Accipitridae,buteo buteo,common buzzard,bird,wild,western europe,germany,deu,51.0533277435649,10.373650933319,mecklenburg-vorpommern,de.mv,53.7551744161606,12.5509509363277,a,2020-44,708,2.3.4.4b,Europe / Germany / Mecklenburg-Vorpommern / NA / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,2020-10-29,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_641378.anseriformes.netherlands.36.2020-11-07,H5N5,EPI_ISL_641378,a/greater_white-fronted_goose/netherlands/20017403-004/2020,2020-11-07,2020.85,2020-11,anseriformes_wild,anseriformes,Anatidae,anser albifrons/erythropus,greater/lesser white-fronted goose,bird,wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,zuid-holland,na,51.9374604216783,4.46477045234472,a,2020-45,3818,2.3.4.4b,Europe / Netherlands / South Holland / Gemeente Rijswijk / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,2020-11-07,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_660264.galliformes.belgium.36.2020-11-18,H5N5,EPI_ISL_660264,a/gallus_gallus/belgium/1002/2020,2020-11-18,2020.88,2020-11,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,western europe,belgium,bel,50.64017310615,4.66939027974939,vlaanderen,na,51.0391095671615,4.2420548599892,a,2020-47,3672,2.3.4.4b,Europe / Belgium / Provincie West-Vlaanderen / Menen / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,2020-11-18,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_722176.anseriformes.sweden.36.2020-11-25,H5N5,EPI_ISL_722176,a/barnacle_goose/sweden/sva201201sz0353/kn003624/2020,2020-11-25,2020.9,2020-11,anseriformes_wild,anseriformes,Anatidae,branta leucopsis,barnacle goose,bird,wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,skåne,se.sn,55.9474024317265,13.595146733816,a,2020-48,3862,2.3.4.4b,Europe / Sweden / Skane Lan / Staffanstorps Kommun / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,2020-11-25,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_626647.galliformes.russia.36.2020-10-02,H5N5,EPI_ISL_626647,a/chicken/russian_federation/omsk/1680-10/2020,2020-10-02,2020.75,2020-10,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,eastern europe,russia,rus,66.0376616061812,95.7970903417469,omsk,ru.om,56.0596108837778,73.3669499849514,a,2020-40,3841,2.3.4.4b,Europe / Russia / Omsk Oblast / NA / NA,3_2_3_1_1_7_1_2,NA,36,2020-10-02,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_626648.anseriformes.russia.36.2020-10-02,H5N5,EPI_ISL_626648,a/goose/russian_federation/omsk/1680-6/2020,2020-10-02,2020.75,2020-10,anseriformes_wild,anseriformes,Anatidae,anatidae (goose sp.),goose sp.,bird,wild,eastern europe,russia,rus,66.0376616061812,95.7970903417469,omsk,ru.om,56.0596108837778,73.3669499849514,a,2020-40,3841,2.3.4.4b,Europe / Russia / Omsk Oblast / NA / NA,3_2_3_1_1_7_1_2,NA,36,2020-10-02,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_644737.falconiformes.denmark.36.2020-10-30,H5N5,EPI_ISL_644737,a/peregrine_falcon/denmark/13776-1/2020-10-30/NA,2020-10-30,2020.83,2020-10,falconiformes_wild,falconiformes,Falconidae,falco peregrinus,peregrine falcon,bird,wild,northern europe,denmark,dnk,55.9512996898935,10.0707816763207,sjælland,dk.sl,55.2791973821106,11.7026524381832,a,2020-44,3716,2.3.4.4b,Europe / Denmark / Region Sjaland / Lolland / NA,1_2_2_1_30_7_1_2,NA,36,2020-10-30,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_683997.anseriformes.united_kingdom.36.2020-11-24,H5N5,EPI_ISL_683997,a/mute_swan/wales/048069/2020,2020-11-24,2020.9,2020-11,anseriformes_wild,anseriformes,Anatidae,cygnus olor,mute swan,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,wales,na,52.3299411115892,-3.76558183366802,a,2020-48,968,2.3.4.4b,Europe / United Kingdom / NA / NA / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,2020-11-24,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_683999.anseriformes.united_kingdom.36.2020-11-24,H5N5,EPI_ISL_683999,a/mute_swan/wales/048068/2020,2020-11-24,2020.9,2020-11,anseriformes_wild,anseriformes,Anatidae,cygnus olor,mute swan,bird,wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,wales,na,52.3299411115892,-3.76558183366802,a,2020-48,968,2.3.4.4b,Europe / United Kingdom / NA / NA / NA,3_2_2_1_1_7_1_2,H5N5/2020/R1_Europe,36,2020-11-24,n5,n5,profile007
H5N5.2.3.4.4b.EPI_ISL_943551.galliformes.sweden.36.2021-01-20,H5N5,EPI_ISL_943551,a/chicken/sweden/sva210121sz0033/kn000273-ip3/2021,2021-01-20,2021.05,2021-01,galliformes_domestic,galliformes,Phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),bird,domestic,northern europe,sweden,swe,62.374013544985,16.2835241791686,kalmar,se.ka,57.1855292476939,16.1305148015024,a,2021-03,3862,2.3.4.4b,Europe / Sweden / Kalmar Lan / Monsteras Kommun / NA,3_1_2_1_21_34_1_2,NA,36,2021-01-20,n5,n5,profile034
