tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_405813.accipitriformes.poland.6_1_5_2_1_3_1_2.2020-01-06	H5N8	2020-01-06	2020.01	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	accipitriformes	TRUE	other	22.9017240742201	51.2170859712694
H5N8.2344b.EPI_ISL_410291.galliformes.germany.6_1_5_2_1_3_1_2.2020-02-06	H5N8	2020-02-06	2020.1	2020-02	2020	western europe	germany	51.0533277435649	10.373650933319	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	9.04442576424602	48.5335196122676
H5N8.2344b.EPI_ISL_418266.galliformes.czechia.6_1_5_2_1_3_1_2.2020-02-17	H5N8	2020-02-17	2020.13	2020-02	2020	eastern europe	czechia	49.7450575142012	15.3371651897674	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	16.1892997029385	49.9006406346158
H5N2.2344b.EPI_ISL_503969.galliformes.bulgaria.1_1_41_12_24_42_11_7.2020-02-21	H5N2	2020-02-21	2020.14	2020-02	2020	eastern europe	bulgaria	42.7584172195881	25.2179149681535	profile001	1_1_41_12_24_42_11_7	minor	galliformes	TRUE	galliformes-domestic	25.2179149681535	42.7584172195881
H5N8.2344b.EPI_ISL_525439.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-01	H5N8	2020-01-01	2020	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	17.250141052842	52.3269678786096
H5N8.2344b.EPI_ISL_525440.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-02	H5N8	2020-01-02	2020	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	22.9017240742201	51.2170859712694
H5N8.2344b.EPI_ISL_525441.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-02	H5N8	2020-01-02	2020	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	22.9017240742201	51.2170859712694
H5N8.2344b.EPI_ISL_525442.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-09	H5N8	2020-01-09	2020.02	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525443.anseriformes.poland.6_1_5_2_1_3_1_2.2020-01-12	H5N8	2020-01-12	2020.03	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525444.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-17	H5N8	2020-01-17	2020.04	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525445.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-25	H5N8	2020-01-25	2020.07	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525446.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-27	H5N8	2020-01-27	2020.07	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525447.galliformes.poland.6_1_5_2_1_3_1_2.2020-01-28	H5N8	2020-01-28	2020.07	2020-01	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525448.galliformes.poland.6_1_5_2_1_3_1_2.2020-02-07	H5N8	2020-02-07	2020.1	2020-02	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525449.anseriformes.poland.6_1_5_2_1_3_1_2.2020-02-20	H5N8	2020-02-20	2020.14	2020-02	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_525450.anseriformes.poland.6_1_5_2_1_3_1_2.2020-02-20	H5N8	2020-02-20	2020.14	2020-02	2020	eastern europe	poland	52.1141994014432	19.4236724631525	profile006	6_1_5_2_1_3_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	19.4236724631525	52.1141994014432
