# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 01:19:30 BST 2024 [seed=1724113169781]
# -overwrite -threads 4 -beagle_thread_count 4 ha_11211111_subsampled_relaxLn_constant.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-53687.0637028005	-7988.982108059077	-45698.08159474142	3.8917858843335655	2020.253022858836	52.122466697322544	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.005	0.3333333333333333	0.002485681303566323	11.747327456556722	0.33516245947370776	-45698.08159474142	-7447.74394484751	-534.0592068745242
20000	-28581.237211134732	-9184.334753032275	-19396.902458102457	3.3144131930791625	2020.8303955500903	137.73581564330306	9.041899646297258	7.110553344235625	8.981861998805769	0.3461560663980417	0.15661899262334278	0.1980949874251944	0.29912995355342126	0.11647639068768202	0.34306426544263363	0.2408295631395855	2.5183408737208306	0.040803554225923536	0.023916190244153708	0.037426815708876744	0.5718727791296282	0.023181141782662777	-19396.902458102457	-7447.74394484751	-1719.4277974085596
40000	-27090.026069233834	-9216.722893236707	-17873.303175997127	3.7395575514153547	2020.4052511917541	143.94742772898132	9.914376543910478	6.432662490010924	8.20882975037766	0.3386426953379567	0.17109185945336866	0.21006112343015207	0.28020432177852317	0.1100456628355402	0.33792028450634676	0.2748064143785312	2.4503871712429413	0.02229545229742635	0.020009389161669455	0.01932099839913002	0.8832272006096541	0.008764777235507065	-17873.303175997127	-7447.74394484751	-1754.5471615252234
60000	-25932.466827978846	-9215.020140251265	-16717.44668772758	3.2279240225796357	2020.91688472059	143.2592802315019	9.794589407255131	6.117445078844712	8.64549400376615	0.345429819815369	0.1777254773873937	0.20842552609078324	0.26841917670645465	0.035071417263138255	0.38131637151661196	0.25424534514333436	2.4915093097133383	0.016376643781156667	0.015534793881358677	0.014427305835090965	0.9147011881077584	0.03858925641444491	-16717.44668772758	-7447.74394484751	-1753.980472643929
80000	-25334.05669133189	-9250.163663470912	-16083.893027860977	3.170858822093072	2020.9739499210764	148.18387324006264	10.722040709449276	7.414316602117462	8.835873914662582	0.3494924557130241	0.1838074836293388	0.1999408300236332	0.2667592306340044	0.028825312061690617	0.39562425790253264	0.28795041221720125	2.424099175565602	0.01338325959830705	0.010477508245162538	0.012418463814355357	0.7566033105869872	-0.002618301709869405	-16083.893027860977	-7447.74394484751	-1789.3094830225323
100000	-24708.81016436886	-9221.425687551211	-15487.38447681765	3.964300155100507	2020.180508588069	145.38879004769652	10.649669336597004	6.024135284365775	8.511243298086328	0.34430652801993206	0.17391052518906644	0.21122198089260372	0.27056096589839795	0.038157620751967686	0.3610413414807041	0.29621786460556837	2.4075642707888645	0.011586910204047767	0.009721192054623115	0.011022081387767831	0.8216104149402721	-0.014197430914315266	-15487.38447681765	-7447.74394484751	-1761.429391578645
120000	-24284.59317950253	-9197.298644980492	-15087.294534522038	3.2075272193173086	2020.937281523852	139.68092268626202	9.182807299211003	6.272500316352161	10.152241865968595	0.35073368212866507	0.1626435698352017	0.21357631127576135	0.273046436760372	0.05065054100448746	0.4934340703677003	0.3029026639343006	2.3941946721314005	0.010909330792769895	0.008174943459773718	0.010233323032549133	0.7191929562365009	0.013574242002446156	-15087.294534522038	-7447.74394484751	-1736.9496987801592
140000	-24068.947112401227	-9218.510577761233	-14850.436534639994	3.6345332977136713	2020.5102754454558	143.0355741757531	10.239818231413091	6.131687505945679	8.43548533078031	0.33591638815342983	0.17116326055490297	0.2054318220012559	0.2874885292904116	0.09049276595608248	0.4792029903186342	0.3140022493674063	2.371995501265186	0.010149301714423528	0.007585298203587139	0.009936056738895664	0.705582919964987	0.026170003794438436	-14850.436534639994	-7447.74394484751	-1758.5542471574977
160000	-23763.33837704087	-9219.395922219204	-14543.942454821667	4.7322270201145695	2019.412581723055	144.66179599914082	9.941655952311178	6.986996656865171	8.824011617608459	0.34264625885175415	0.19515724838864804	0.2063260729376988	0.2558704198218992	0.03884601582109306	0.48877770813914156	0.3250546020883882	2.349890795823223	0.010189167193254066	0.006694306737259568	0.009694740243438488	0.6261477224055737	0.026452458441347113	-14543.942454821667	-7447.74394484751	-1759.2637292388677
180000	-23467.31364829064	-9212.953530300594	-14254.360117990047	4.219175499513808	2019.9256332436557	144.1074701425797	9.510787496894325	6.674709047084975	9.634634239040427	0.34519183778310764	0.17787210306319978	0.20012248907637714	0.27681357007731555	0.043440983478280196	0.4420421102957166	0.30242047484209367	2.395159050315815	0.008798609895291012	0.006152021570345719	0.008562794156054335	0.7094813765133815	0.025097397078881777	-14254.360117990047	-7447.74394484751	-1753.22290971938
