# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 01:19:29 BST 2024 [seed=1724113168805]
# -overwrite -threads 4 -beagle_thread_count 4 np_11211111_subsampled_relaxLn_constant.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-69715.45113729044	-8507.258452139775	-61208.19268515066	3.707670826503063	2020.448066878415	53.16996731786754	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.005	0.3333333333333333	0.0020142397186399814	7.2560026214764415	-0.006687708111911611	-61208.19268515066	-7927.811215361429	-572.268280441302
20000	-29737.402909142642	-9964.005400402642	-19773.39750874	4.360577085106475	2019.7951606198114	177.2896872511769	12.568051184402918	2.3958125174933413	11.457104086347668	0.3184816821660113	0.2320581782313606	0.2211273268004083	0.22833281280221987	0.09519009337531605	0.30998340139781555	0.7429124266771855	1.514175146645629	0.048093320567079836	0.04586244764906073	0.04046979196333515	0.8892285298690145	-0.02227878993798536	-19773.39750874	-7927.811215361429	-2018.9109816086482
40000	-27229.046158338097	-9994.353159624607	-17234.69299871349	4.473189931861934	2019.682547773056	185.20450518063723	14.18951092605784	2.445950599688768	12.493984236423666	0.33206306469623165	0.21775029862721637	0.22537401436554402	0.22481262231100807	0.10400576140022327	0.3670130229295822	0.7074589050130659	1.5850821899738683	0.033817619026332485	0.04115792437162185	0.027549477100004702	1.0843902066603188	-0.006867367520829753	-17234.69299871349	-7927.811215361429	-2050.420720559506
60000	-26136.511643445185	-9975.136193619099	-16161.375449826086	7.896605927793068	2016.259131777125	190.0484626955749	13.474876220667355	2.4251873210555286	10.498378458191425	0.3226767681659506	0.22167261222838083	0.22202551339278395	0.23362510621288468	0.10281169281680722	0.388109066682336	0.6848695875791799	1.6302608248416401	0.02668471489220015	0.041701263280574295	0.02018846746012456	1.3464566898994406	-0.01179362717159781	-16161.375449826086	-7927.811215361429	-2032.5242836170482
80000	-25372.51316418194	-9975.477218003874	-15397.035946178064	10.419141151147425	2013.7365965537706	193.4925173149637	13.097119345226355	2.372999316804661	11.830357293278707	0.32690662797029796	0.23000532568816237	0.22547221255803865	0.21761583378350116	0.10627553478909055	0.4341155561332101	0.6141597022787054	1.7716805954425892	0.020866632714003068	0.03556218142191548	0.014425192061136485	1.2606902941749805	0.02653256879538088	-15397.035946178064	-7927.811215361429	-2033.5253942201962
100000	-24799.149379888564	-9933.342090815091	-14865.807289073475	7.573752657903922	2016.581985047014	183.70425638326074	12.592092215177702	2.286990045659232	13.162853966120164	0.32396426411323087	0.23293100894512597	0.2186729824800462	0.2244317444615971	0.10894355063975282	0.4091903902432966	0.5876686756049132	1.8246626487901736	0.016938505648227627	0.027015178211385018	0.01255803493074971	1.2285261087589887	0.009635453277251228	-14865.807289073475	-7927.811215361429	-1992.0335385862454
120000	-24164.02947373112	-9918.139312063315	-14245.890161667803	5.237572636335727	2018.9181650685823	176.9387673824933	11.748852428874365	2.474791433449097	11.61497897733781	0.33953917050739607	0.2134792189071958	0.22809848431648636	0.21888312626892184	0.07740393390794564	0.4816691830592512	0.4855994735937366	2.0288010528125286	0.015372974039987629	0.025069201342678118	0.01145336286542788	1.441741921525077	-0.01678963193068089	-14245.890161667803	-7927.811215361429	-1977.307632610977
140000	-23770.240106657217	-9906.95875793241	-13863.281348724806	7.769830916417942	2016.3859067885	177.79598893628824	12.110143034566166	2.815760645181631	11.404910779741748	0.3232782812029079	0.20474302903438957	0.22616108263487983	0.24581760712782272	0.07992437759577233	0.46426681737908215	0.3987197100360622	2.2025605799278756	0.0147198463732036	0.022238584043145215	0.011587154397733161	1.17777194933101	-0.028307298174648884	-13863.281348724806	-7927.811215361429	-1966.1776105325616
160000	-23246.320689071	-9885.731021694415	-13360.589667376586	5.866541642294095	2018.289196062624	166.04383721480667	11.247906727506455	3.004870774035676	11.82000246128906	0.335061682334553	0.2105709582704105	0.22713804271464724	0.22722931668038904	0.02380165010665254	0.5140387063881962	0.39006473971399136	2.2198705205720186	0.010775540375835165	0.015086908488257172	0.009409594063023512	1.050677378382219	-0.027999814704921668	-13360.589667376586	-7927.811215361429	-1945.8046930281223
180000	-22831.122562291457	-9894.15794960316	-12936.964612688298	5.056393750954923	2019.0993439539632	171.3474021990385	12.69950179429458	2.939911252725614	13.754623973244476	0.32719928959504063	0.23419204526105133	0.21094081149199786	0.2276678536519099	0.022432061965206928	0.5409307136138827	0.40374666435544	2.1925066712891192	0.00930745592462526	0.013404111431310645	0.00791986873108961	1.1152027346372484	-0.015044700623528669	-12936.964612688298	-7927.811215361429	-1954.1522919266165
