# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 01:19:29 BST 2024 [seed=1724113168809]
# -overwrite -threads 4 -beagle_thread_count 4 ns_32313212_subsampled_relaxLn_constant.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-26750.382926315197	-7155.797720528585	-19594.58520578661	3.3760381427597643	2018.7856056928565	38.192835013037325	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.005	0.3333333333333333	0.003204198047565589	9.319285415015484	-0.007775990145114883	-19594.58520578661	-6655.224660483726	-493.3941037078147
20000	-16458.928370622874	-7825.859328529238	-8633.069042093637	2.5207721734707524	2019.6408716621456	64.66398520217336	3.7569222485430855	12.057753734189522	26.951219422551826	0.3028998263535777	0.1963047220167029	0.2299923566996923	0.27080309493002724	0.13444193015254272	0.13741809821764706	0.9662238830290043	1.0675522339419925	0.2132013123866397	0.09420158803018662	0.19681965399349463	0.4212228806049528	-0.024533891436803706	-8633.069042093637	-6655.224660483726	-1141.78613523179
40000	-16004.118147029361	-7854.170163133253	-8149.947983896109	2.0014518743515386	2020.160191961265	63.97497983983284	4.21528909430623	8.876650630254435	17.90619590624855	0.3291938520380534	0.19902299563889586	0.20526945893092427	0.26651369339212666	0.1477628567524973	0.16009202566045386	0.8153381499352387	1.3693237001295249	0.10355448677457943	0.04771307416853513	0.09617160551247578	0.44523710039190945	0.009463241126839932	-8149.947983896109	-6655.224660483726	-1176.1901021755768
60000	-15655.626526390379	-7881.6755351470165	-7773.950991243362	2.2765351399342473	2019.8851086956822	66.81485133565569	4.513009707772472	10.087108037951449	17.561160167849003	0.32762762992323197	0.198988225691541	0.21894888651419026	0.254435257871037	0.14724122316043026	0.17831915273537055	0.686527819171461	1.6269443616570802	0.08642052163590352	0.04793725488189321	0.07827879136044014	0.5755590099630198	-0.027984273913016926	-7773.950991243362	-6655.224660483726	-1204.4426155139436
80000	-15408.9124420544	-7906.869863623592	-7502.042578430806	2.4472213521912396	2019.714422483425	69.95630720945148	4.664134834885947	8.209443075528384	14.042801000379326	0.3306278127794931	0.2020743560166591	0.21311102682579516	0.2541868043780528	0.14920717409131537	0.17459164832399315	0.5959599398584515	1.8080801202830992	0.05637805644615489	0.02998673978574476	0.05451286226707281	0.5191773670398526	0.08847033332794721	-7502.042578430806	-6655.224660483726	-1232.7664376916655
100000	-15122.237316385457	-7905.153311602244	-7217.0840047832135	2.2782215783120963	2019.8834222573043	69.65305478158253	4.963737264949123	8.620366094108995	13.915111372624658	0.3197239293023836	0.20168852835016446	0.2125085608917532	0.26607898145569897	0.1695990555953433	0.16208881130963107	0.6077481182401671	1.784503763519668	0.05000989679599174	0.021189318518469447	0.04814809719277885	0.43532017716794946	0.009937912635009444	-7217.0840047832135	-6655.224660483726	-1231.5211439381715
120000	-14915.862552007418	-7911.395663196365	-7004.466888811054	2.936501946026867	2019.2251418895894	71.79051497449412	4.814887904697264	8.200377476328185	23.606157742944482	0.2986383475538872	0.2132598715178783	0.23303244363900535	0.25506933728922937	0.1476083814660593	0.17134819280939567	0.5591389572193102	1.8817220855613814	0.04650417657242997	0.026560785529674735	0.04433036186315984	0.5704193908004312	0.010746871818935678	-7004.466888811054	-6655.224660483726	-1237.0657002469975
140000	-14685.265472740735	-7926.858608539935	-6758.4068642008015	2.1819804112268684	2019.9796634243894	69.99605041986314	4.794952821589967	10.74473632657453	17.388117593446378	0.3512141596136017	0.19716381492994117	0.18906648160750106	0.26255554384895663	0.13791398169329958	0.17746327796771033	0.4624406935758234	2.075118612848358	0.03934285577581738	0.01774496958580407	0.0380886722016803	0.45930673971998404	-0.06733016427220594	-6758.4068642008015	-6655.224660483726	-1253.5492626272217
160000	-14441.90217723699	-7920.46165902431	-6521.44051821268	2.4196751835753703	2019.741968652041	70.03800506185163	4.657897121413977	6.02882238344658	14.37938337720002	0.34114837006459603	0.20615458787025587	0.2131270082867846	0.23957003377836406	0.14024879223633446	0.19125954501397577	0.4132382802459446	2.1735234395081164	0.032178276015044194	0.015107492833577105	0.03278490444121897	0.4580686205732077	-0.004571675056933649	-6521.44051821268	-6655.224660483726	-1249.4110186019336
180000	-14356.582968581248	-7889.4792876276315	-6467.103680953616	2.3034811147466123	2019.8581627208698	68.18343611993602	4.628347850147875	5.625442876877453	21.611346535911693	0.3164040538038083	0.19393782818880323	0.21898894158234497	0.27066917642504384	0.14808983567272901	0.15847612801985134	0.3781425033757899	2.243714993248425	0.039525535390781213	0.023151223568272487	0.040036719065940564	0.5598450636323542	0.055425659355142126	-6467.103680953616	-6655.224660483726	-1216.777488112106
200000	-14150.172312715202	-7884.897002814928	-6265.275309900274	2.208892230549066	2019.9527516050673	68.28370138203601	4.399517842085546	7.288549978716498	15.718791734423585	0.3449439500767266	0.19366762422339737	0.20595058991651233	0.25543783578336393	0.17085972372718827	0.20232541282198643	0.3899848665257792	2.220030266948447	0.03718849628315609	0.02120111772446142	0.036032242350620185	0.5364756164094812	-0.023753282962567703	-6265.275309900274	-6655.224660483726	-1212.6963733461664
220000	-14042.032230624072	-7897.6688922061785	-6144.363338417894	2.08221746517559	2020.0794263704408	68.88387800838979	4.549069314897198	5.322188900956508	13.520458499495147	0.3609490000909099	0.19813456915304897	0.19282346899772718	0.24809296175831416	0.12309916317296095	0.22858509006134428	0.36461578659303984	2.2707684268139277	0.028332430965617585	0.01808523985394966	0.028829901156804043	0.6424117621654106	-0.02511481251965019	-6144.363338417894	-6655.224660483726	-1227.423033953111
240000	-13978.596978379835	-7893.690113320164	-6084.906865059673	2.2017381880700637	2019.9599056475463	68.43777204459526	4.840971509416489	6.4394974563734015	18.5776218027259	0.3582757845199517	0.210319192368748	0.19428456492950855	0.237120458181792	0.1490155955704434	0.1837604148846666	0.35442038552712857	2.2911592289457494	0.027308565507291327	0.012456306353877225	0.027935649466314726	0.45626505692707653	-0.029984973196536282	-6084.906865059673	-6655.224660483726	-1222.622676216753
260000	-13841.243613479217	-7881.072158363426	-5960.171455115791	2.423635475635461	2019.738008359981	68.11721799606266	4.095327906213668	5.899867208513937	17.483743591998625	0.35135818692532517	0.19622690989983715	0.19154116060620516	0.2608737425686325	0.11419842269882723	0.2062825682735066	0.3780362444538615	2.2439275110922865	0.02793648720554867	0.02339770340542971	0.026949500289638856	0.7934277066999935	0.023535450252409586	-5960.171455115791	-6655.224660483726	-1210.3411345688273
280000	-13781.71947255181	-7880.775670995268	-5900.94380155654	3.3273338908493773	2018.834309944767	72.40930009291068	4.177406495848712	6.748353341652669	17.33473919214442	0.3333861752135938	0.1814910558220656	0.213019523134826	0.2721032458295145	0.11531064623337255	0.2332803911319532	0.34411724518141806	2.311765509637175	0.027391468650424095	0.023874351925386977	0.023911404355460682	0.8289301283353748	0.010693180770800724	-5900.94380155654	-6655.224660483726	-1209.857273761008
300000	-13692.526396022888	-7886.393044248563	-5806.133351774324	3.3596201765898766	2018.8020236590264	73.56012805970227	4.753645587658391	6.319123018141713	14.382293955002005	0.3402030012966254	0.17895597681272998	0.21373886877573867	0.267102153114906	0.1291967741194361	0.2183879275869225	0.3353293731939767	2.3293412536120552	0.02898929354894517	0.023955751766634364	0.02528708705032561	0.7499269964153583	-0.003914868200667683	-5806.133351774324	-6655.224660483726	-1215.6202529941747
320000	-13657.237580337132	-7889.502953220595	-5767.734627116537	2.874070499279879	2019.2875733363364	71.8497096698355	4.945912870114595	8.674516326351021	13.835262293921467	0.3601580726065563	0.18918433167864482	0.2068197057157413	0.2438378899990575	0.15148839919348825	0.19813372352800304	0.33385640451379567	2.3322871909724197	0.026205243219541846	0.02472611227288009	0.023423441742171907	0.8725656256141058	-0.017885426415019813	-5767.734627116537	-6655.224660483726	-1218.6438997543119
340000	-13583.666255638971	-7930.709243134892	-5652.95701250408	2.9133823482696735	2019.2482614873468	74.02236683051537	4.931321640617894	4.930587826163152	12.929951206275296	0.3477445786285185	0.1982789943920836	0.21516058796245438	0.2388158390169434	0.09207736756295634	0.22534678577373407	0.3624136375764713	2.2751727248470703	0.024562205170679655	0.02657771410756301	0.02118083573878772	0.928386099372786	-0.013000975181034092	-5652.95701250408	-6655.224660483726	-1261.179867529469
360000	-13547.12751607482	-7934.79231019667	-5612.335205878149	2.4877447554619585	2019.6738990801543	74.29632739530153	4.897763030471719	5.4021204966202605	15.970682455057487	0.3307850727962648	0.19110185063987092	0.22115957354806032	0.2569535030158038	0.19027341090804606	0.24917884657632858	0.37037092708543423	2.259258145829143	0.02474591712280095	0.025600979543089254	0.02142503554892648	0.9251788186845085	-0.014632176473026663	-5612.335205878149	-6655.224660483726	-1264.4352059409389
380000	-13498.381657428028	-7933.399558511866	-5564.982098916161	2.279032453353175	2019.8826113822631	74.31587651755814	4.949653056285253	6.6450510276473445	11.81627358817313	0.3537712003524059	0.18577802065090954	0.22227209215059004	0.23817868684609425	0.08362837232857985	0.34233051161050815	0.5506461672907593	1.8987076654184916	0.012639017263612598	0.009884281981943964	0.011499418122988376	0.7703507149392212	0.014956474144036417	-5564.982098916161	-6655.224660483726	-1265.6402101417923
400000	-13455.264292847261	-7938.154609526249	-5517.109683321012	2.4638587073358442	2019.6977851282804	76.17181159173805	5.096616797565694	5.566413028249045	11.966715858550833	0.3347211128697473	0.2108382882178162	0.19955354250915933	0.2548870564032769	0.12205119929103272	0.37464061956437034	0.5919242938097257	1.8161514123805589	0.00994918706352143	0.007679632376466247	0.008994358226306853	0.7527396323617015	0.009357785448637215	-5517.109683321012	-6655.224660483726	-1271.112751348743
420000	-13341.707510914639	-7893.079058850136	-5448.628452064502	2.397317882859456	2019.764325952757	72.61904242230048	4.871221312554638	5.9572832830968006	13.849689264696757	0.36732155866899324	0.18706976551417615	0.218644681825569	0.22696399399126155	0.08176924250558985	0.32427210453362615	0.5411874213096313	1.917625157380747	0.011820888838163849	0.007649509565029963	0.01098476622715581	0.6604653401438894	0.0048867340261689336	-5448.628452064502	-6655.224660483726	-1225.4206614789493
440000	-13275.746632256512	-7860.361420623133	-5415.385211633379	2.3895256219657606	2019.7721182136506	69.43335088551119	4.166623441961095	6.678015250436838	10.799011962245828	0.3285674376646534	0.1961596184547408	0.2399855567370744	0.23528738714353137	0.10680079650554276	0.2894255311112569	0.5009190116452762	1.998161976709457	0.012586563704567316	0.010096574909581645	0.011798904262338062	0.6982522764887977	0.086999505045606	-5415.385211633379	-6655.224660483726	-1193.009207738221
460000	-13241.983522654189	-7885.331846990075	-5356.651675664114	2.3481802078667595	2019.8134636277496	70.69239518056338	4.700236482365928	6.261029272778495	12.909474963751698	0.327497692514639	0.2103104035723122	0.22306036531856738	0.2391315385944816	0.028322682344792	0.40026780480034735	0.5672348732186389	1.8655302535627316	0.011332704455300999	0.012393027092421646	0.009635005905240931	0.9781015089019485	-0.024208062475454945	-5356.651675664114	-6655.224660483726	-1217.8306730801355
480000	-13186.94489639283	-7833.932511595692	-5353.012384797138	3.718779187147502	2018.442864648469	71.39568180883236	4.085708832626349	4.90668586580886	11.981106753465948	0.3328902345901306	0.19607745941345534	0.23322723988757146	0.2378050661088426	0.13943343415532852	0.32685323955301226	0.5800332606697267	1.839933478660556	0.0116294160424838	0.009862877899514736	0.010302591101973992	0.7805463043811287	0.02466780261256333	-5353.012384797138	-6655.224660483726	-1166.9360457569253
500000	-13179.373282076376	-7855.612429594487	-5323.76085248189	3.5854465921241885	2018.576197243492	72.75823111185791	4.1393562508564	7.396336227389444	9.096043023969365	0.32724566442484265	0.1876444700215543	0.24028698520697606	0.244822880346627	0.08206223090565598	0.4435904213414804	0.5573421130414254	1.8853157739171584	0.01275821919295039	0.011641610256704559	0.010909138659480842	0.7993618034423503	-0.01603403191291802	-5323.76085248189	-6655.224660483726	-1188.1142299892904
520000	-13086.280074397691	-7835.404211015965	-5250.875863381727	2.7075494739247588	2019.4540943616917	70.06543841505326	4.1425138063274165	5.044569388328765	8.660829387441403	0.3391343949699522	0.20190881151987009	0.22157006638018584	0.2373867271299917	0.05755623267680247	0.34732264102790994	0.5776579384636324	1.8446841230727444	0.010489628284344764	0.007626700491088772	0.00945906684718563	0.7061448750557493	0.025110606468868944	-5250.875863381727	-6655.224660483726	-1169.3565906753545
540000	-13011.993421532958	-7818.348588830162	-5193.644832702796	2.720649400878841	2019.4409944347376	69.71508074746312	4.087446230615491	6.752948300628636	7.5281561080365735	0.3341508294980826	0.19120270843477968	0.2239207144850261	0.2507257475821113	0.13141863611398	0.367387708805863	0.5660482916867702	1.867903416626469	0.009295155289479157	0.00730803125898534	0.008384861976625016	0.7837459680325162	0.020012954356276518	-5193.644832702796	-6655.224660483726	-1152.2309954526606
560000	-13001.690907289329	-7855.828962102629	-5145.861945186699	2.7657058679205497	2019.3959379676958	71.52838282615346	4.347492945734412	6.090579951181683	9.195269006965612	0.3300627429034583	0.19285828908112784	0.2173142631830206	0.25976470483239306	0.09502553718543702	0.4226486070787377	0.5702001174933244	1.8595997650133609	0.00990518617520811	0.008934122264964834	0.00850570041756932	0.8461787417498302	-0.02449223481116837	-5145.861945186699	-6655.224660483726	-1189.2686433403444
580000	-13032.574177187213	-7865.992859317661	-5166.581317869553	2.396429019140191	2019.7652148164761	70.95712705170173	4.405512782996179	8.003683549598737	7.52348933872777	0.3268156909657837	0.19873030060158484	0.22449818097523055	0.2499558274574007	0.08758134753111617	0.5365952912766031	0.5730093256294302	1.8539813487411494	0.009881346879994979	0.0071382088037065805	0.008737385902212182	0.6990198404634221	0.056503341024526574	-5166.581317869553	-6655.224660483726	-1199.1238620112993
600000	-12967.25902542516	-7859.678337195768	-5107.580688229393	2.556944137131866	2019.6046996984844	70.83626000324759	4.375110639361016	5.9039512612816525	13.902091065482276	0.3544048389663611	0.20173336393442304	0.20112871873211438	0.24273307836710117	0.11775759616152495	0.44300924304837414	0.6385565078770594	1.722886984245891	0.008899795044550683	0.006542279833648652	0.007985586096487722	0.6868138788702814	0.05959404487120076	-5107.580688229393	-6655.224660483726	-1192.5469754921376
620000	-12913.66814534279	-7827.270122710113	-5086.398022632677	2.7587454404700944	2019.4028983951462	71.69030732951306	3.858153566624804	5.641575235969337	9.156869810947276	0.3636512226258007	0.19125038368960187	0.20197220703210278	0.2431261866524941	0.09302986650303939	0.45733662429212985	0.552863190582744	1.8942736188345217	0.009154580268099122	0.008078387791135209	0.007986576830750543	0.7719875583156695	0.005082021349613904	-5086.398022632677	-6655.224660483726	-1161.0795305538877
640000	-12936.196797141707	-7851.244920557678	-5084.95187658403	3.040431905468778	2019.1212119301476	71.51810557557705	4.086857966965043	6.98810032851763	8.376930227268561	0.3150427643587737	0.2049460532915091	0.23280498505651265	0.24720619729320423	0.0683870084360739	0.42359176477136556	0.5609107198645319	1.878178560270946	0.009176178977650912	0.005987889580281377	0.008753034159676609	0.6429400537062515	-0.010398867572771548	-5084.95187658403	-6655.224660483726	-1184.9411445417506
660000	-12854.02305305258	-7810.565159436825	-5043.457893615757	2.601116424061641	2019.5605274115546	66.81883939620711	3.867905513004953	5.350186648443776	18.311624205076413	0.3495514904400232	0.1966747909404563	0.21603296008291956	0.23774075853660062	0.06442241925283135	0.3803698575040242	0.5142933442597938	1.9714133114804222	0.009947161944523716	0.008025735774967008	0.009460593366475487	0.8065521299073768	-0.06359309782465704	-5043.457893615757	-6655.224660483726	-1143.0728817621457
680000	-12863.84410303011	-7849.822768912401	-5014.021334117708	2.6391383458902062	2019.5225054897262	70.07795181736365	4.693684233124733	6.027856042509474	12.87425305737647	0.3401370802354572	0.20352876291018215	0.23500527952042835	0.22132887733393183	0.03234192109377189	0.4681244256503631	0.4995256148159801	2.0009487703680495	0.009905712143263906	0.0076518012707046165	0.008810898930017777	0.7718539828090355	0.019104260703914345	-5014.021334117708	-6655.224660483726	-1182.6043530255602
