# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Aug 20 01:19:29 BST 2024 [seed=1724113169010]
# -overwrite -threads 4 -beagle_thread_count 4 pa_11414114_subsampled_relaxLn_constant.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	CP1+2.kappa	CP3.kappa	frequencies1	frequencies2	frequencies3	frequencies4	CP1+2.alpha	CP3.alpha	CP1+2.mu	CP3.mu	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-29004.472491734927	-3885.69665346121	-25118.775838273716	2.5059483390511432	2021.2858324828667	29.351033632532552	1.0	2.0	2.0	0.2500000002	0.25	0.25	0.24999999979999998	0.5	0.5	1.0	1.0	0.005	0.3333333333333333	0.0027588643016214303	8.786946953795743	-0.015151197048353698	-25118.775838273716	-3587.644248263002	-290.8734488611649
20000	-15007.081711567247	-4698.827664520014	-10308.254047047232	2.9990587240357827	2020.792722097882	122.45349557203514	17.537967598402794	5.284096137123894	9.89044351564254	0.34653727754372743	0.19144911260039957	0.24066929239709042	0.22134431745878247	0.039870859796515314	0.2316790586392157	0.6410427090741636	1.7179145818516728	0.00741663917298372	0.00641532893009342	0.006313100102791714	0.7617193496909095	0.005169741544105981	-10308.254047047232	-3587.644248263002	-1099.6892630738487
40000	-13943.35952541626	-4658.60642852917	-9284.753096887089	3.3777257788362327	2020.4140550430816	116.14656052283553	14.502809987137901	4.9385121532114145	10.957173546583084	0.3453558277039306	0.18648520593781184	0.24182973094960755	0.22632923540865	0.047878989209922944	0.2724725407544939	0.31497218987181974	2.3700556202563607	0.005312708457741566	0.003742893414801616	0.004836449609841347	0.6411487581167117	0.051855282037223505	-9284.753096887089	-3587.644248263002	-1060.082890916579
60000	-13220.322791109798	-4668.000945897567	-8552.321845212231	3.121011063659536	2020.6707697582583	114.45697128218463	16.033669945508997	4.916876650331903	10.952915493122628	0.35866583546086106	0.1915400530504691	0.22787899126311925	0.22191512022555043	0.07356666495943631	0.3839989094679165	0.36448557072504756	2.271028858549901	0.003509895916010971	0.0022526612211317527	0.0031418852660007202	0.6009630365020584	0.008221502400249733	-8552.321845212231	-3587.644248263002	-1069.6480071503581
80000	-12888.472983239346	-4638.527193640281	-8249.945789599064	2.856003695089351	2020.9357771268285	105.78262441334482	15.32467883347965	4.467530148580353	11.085606951570435	0.3480254154288861	0.18642272227849493	0.23682501921814972	0.22872684307446894	0.08048192542190027	0.36470058927754184	0.4063044695003186	2.1873910609993574	0.0033770112717708147	0.0017145424871037984	0.0031870490334680013	0.4906171236227068	0.015092781151308117	-8249.945789599064	-3587.644248263002	-1040.3893996195936
100000	-12664.205645806334	-4619.565999071135	-8044.6396467352	2.3970416475609113	2021.394739174357	97.87139711549634	14.175473830013857	3.9736206644624423	11.522132307434484	0.3348903322639729	0.2014733626032589	0.23753538340909797	0.22610092172366986	0.05824567688155367	0.47310981178747485	0.3303753827047398	2.339249234590517	0.002824664423389852	7.643109550405585E-4	0.002811082287998353	0.2742095810784675	-0.05618853817090226	-8044.6396467352	-3587.644248263002	-1021.5566071188815
120000	-12386.96358246195	-4577.367377502305	-7809.5962049596465	2.3238803842482696	2021.4679004376696	88.22747667824528	11.841587167088758	3.8258123051009	10.368449852390963	0.33351680413476215	0.20062868670474346	0.22935396704867045	0.2365005421118235	0.0775114598712131	0.4466123761056368	0.4095876448451515	2.1808247103096923	0.003111161715934777	8.514912568361225E-4	0.003054709243731485	0.2707382231117891	-0.01478267373973272	-7809.5962049596465	-3587.644248263002	-979.726147688934
140000	-12193.187300969741	-4522.619689653286	-7670.567611316455	1.995502518073234	2021.7962783038447	78.0258073298314	9.828556454785572	4.125529398707776	13.449158477645177	0.33819906022913254	0.18845836385491704	0.23531233914761548	0.23803023676833465	0.028971837863795487	0.4124102696818124	0.38268569805302305	2.2346286038939467	0.0036176673784802773	0.0015450222682855629	0.003632880087188063	0.4305539815397129	-0.015091995725213804	-7670.567611316455	-3587.644248263002	-924.5903228655045
160000	-12040.696222399905	-4490.031600939425	-7550.664621460481	2.666469757712233	2021.1253110642056	77.47036843626073	8.28449570109257	6.451643317467084	10.702560237017133	0.34909209148007014	0.19779890616192367	0.21313318571285125	0.2399758166451546	0.041120473116099586	0.6551113852600523	0.3805268196999565	2.238946360600078	0.003438798815155115	0.0016097469289407306	0.003209753363199428	0.46399689632341773	-0.06992112374327338	-7550.664621460481	-3587.644248263002	-891.5287640650932
180000	-11985.111083469215	-4485.484100481375	-7499.62698298784	2.2436341770966846	2021.5481466448211	75.1642803395396	7.659517360514077	5.991972062560623	12.048670723600214	0.33970834493263363	0.19877730311582537	0.23677611534558313	0.22473823660595785	0.039101992632275054	0.4346261941373649	0.38480360556974885	2.2303927888604913	0.0031963906568017765	0.0014309992301231836	0.003056025949555866	0.41920881271607474	0.020416613779400683	-7499.62698298784	-3587.644248263002	-887.4577421831074
