tipnames	collection_regionname	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_12572661|anseriformes|china|2_6_1_1_6_1_1_1|2022-02-22	eastern asia	anseriformes-wild	26.8128279303549	106.867407716617
H5N1|2344b|EPI_ISL_17606815|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-09	eastern asia	anseriformes-wild	35.7159281817874	127.140659781938
H5N1|2344b|EPI_ISL_6829533|galliformes|japan|2_6_1_1_6_1_1_1|2021-11-12	eastern asia	galliformes-domestic	30.9949222722596	130.419711465505
H5N1|2344b|EPI_ISL_17606819|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-10	eastern asia	anseriformes-wild	36.737850075983	127.830446360213
H5N1|2344b|EPI_ISL_17606816|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-15	eastern asia	anseriformes-wild	37.5315346337798	127.181023197189
H5N1|2344b|EPI_ISL_6959593|galliformes|south_korea|2_6_1_1_6_1_1_1|2021-11-08	eastern asia	galliformes-wild	36.737850075983	127.830446360213
H5N1|2344b|EPI_ISL_15732766|anseriformes|japan|2_6_1_1_6_1_1_1|2022-10-23	eastern asia	anseriformes-wild	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_18755528|anseriformes|united_states|2_6_1_1_6_1_1_1|2022-10-14	northern america	anseriformes-wild	63.9513927980493	-152.396756538795
H5N1|2344b|EPI_ISL_12572655|anseriformes|china|2_6_1_1_6_1_1_1|2021-12-08	eastern asia	anseriformes-wild	23.33624359406	113.398153372919
H5N1|2344b|EPI_ISL_17371282|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04	south-eastern asia	anseriformes-wild	-2.99309303653839	115.439680623362
H5N1|2344b|EPI_ISL_17606822|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-11-17	eastern asia	anseriformes-wild	34.8733358026855	126.897223705092
