tipnames	collection_regionname	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_15004379|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-11	northern america	anseriformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_16171487|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-28	northern america	anseriformes-wild	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_18132296|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-25	northern america	anseriformes-wild	47.4503665532251	-100.466131733191
H5N1|2344b|EPI_ISL_18133170|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-28	northern america	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_18132829|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-19	northern america	galliformes-domestic	47.4503665532251	-100.466131733191
H5N1|2344b|EPI_ISL_11971481|galliformes|united_states|4_3_1_1_2_1_1_3|2022-03-21	northern america	galliformes-domestic	44.4440561554676	-100.227146799835
H5N1|2344b|EPI_ISL_16023345|carnivora|canada|4_3_1_1_2_1_1_3|2022-05-05	northern america	mammal	54.9859148218572	-114.405475342745
H5N1|2344b|EPI_ISL_16003253|carnivora|canada|4_3_1_1_2_1_1_3|2022-04-07	northern america	mammal	54.7409130620601	-97.4886310680955
H5N1|2344b|EPI_ISL_16022233|carnivora|canada|4_3_1_1_2_1_1_3|2022-05-19	northern america	mammal	54.194222787673	-105.873214717175
H5N1|2344b|EPI_ISL_15078253|carnivora|united_states|4_3_1_1_2_1_1_3|2022-06-08	northern america	mammal	44.8415390367134	-85.6692662146994
H5N1|2344b|EPI_ISL_18132924|accipitriformes|united_states|4_3_1_1_2_1_1_3|2022-03-20	northern america	other-bird	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_18133057|passeriformes|united_states|4_3_1_1_2_1_1_3|2022-04-21	northern america	other-bird	47.4503665532251	-100.466131733191
H5N1|2344b|EPI_ISL_15004378|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-11	northern america	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_15004390|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-10	northern america	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_16102174|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-15	northern america	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_15004405|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-11	northern america	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_15004407|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-11	northern america	galliformes-domestic	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_16171406|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-22	northern america	anseriformes-domestic	44.8415390367134	-85.6692662146994
H5N1|2344b|EPI_ISL_18132534|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-18	northern america	anseriformes-wild	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_18133206|anseriformes|united_states|4_3_1_1_2_1_1_3|2022-04-03	northern america	anseriformes-wild	44.627499166429	-89.7126755416022
H5N1|2344b|EPI_ISL_18133209|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-22	northern america	galliformes-domestic	44.8415390367134	-85.6692662146994
H5N1|2344b|EPI_ISL_18132992|galliformes|united_states|4_3_1_1_2_1_1_3|2022-04-26	northern america	galliformes-domestic	44.627499166429	-89.7126755416022
H5N1|2344b|EPI_ISL_15078249|carnivora|united_states|4_3_1_1_2_1_1_3|2022-05-13	northern america	mammal	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_15078248|carnivora|united_states|4_3_1_1_2_1_1_3|2022-05-24	northern america	mammal	44.627499166429	-89.7126755416022
H5N1|2344b|EPI_ISL_18133527|strigiformes|united_states|4_3_1_1_2_1_1_3|2022-04-03	northern america	other-bird	46.3193148536411	-94.1968042401401
H5N1|2344b|EPI_ISL_17260680|carnivora|united_states|4_3_1_1_2_1_1_3|2022-06-06	northern america	mammal	44.3508979602385	-114.612704502938
