tipnames	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_4061714|accipitriformes|japan|7_1_5_2_3_3_1_2|2021-02-03	eastern asia	japan	profile0003	other-bird	43.3824165431654	142.542521870972
H5N8|2344b|EPI_ISL_978898|galliformes|japan|7_1_5_2_3_3_1_2|2021-02-01	eastern asia	japan	profile0003	galliformes-domestic	36.3027610877484	140.318971903473
H5N8|2344b|EPI_ISL_1041177|falconiformes|japan|7_1_5_2_3_3_1_2|2021-02-15	eastern asia	japan	profile0003	other-bird	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_1273441|accipitriformes|japan|7_1_5_2_3_3_1_2|2021-03-03	eastern asia	japan	profile0003	other-bird	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_1240997|accipitriformes|japan|7_1_5_2_3_3_1_2|2021-03-03	eastern asia	japan	profile0003	other-bird	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_759853|galliformes|japan|7_1_5_2_3_3_1_2|2020-12-23	eastern asia	japan	profile0003	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_759851|galliformes|japan|7_1_5_2_3_3_1_2|2020-12-23	eastern asia	japan	profile0003	galliformes-domestic	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_985204|anseriformes|south_korea|7_1_5_2_3_3_1_2|2020-12-23	eastern asia	south korea	profile0003	anseriformes-wild	34.8733358026855	126.897223705092
H5N8|2344b|EPI_ISL_4061713|anseriformes|japan|7_1_5_2_3_3_1_2|2021-02-08	eastern asia	japan	profile0003	anseriformes-wild	37.3790195184946	140.222918340857
H5N8|2344b|EPI_ISL_17086336|galliformes|japan|NA|2021-01-02	eastern asia	japan	profile0003	galliformes-domestic	35.7777527627362	137.055033768037
H5N8|2344b|EPI_ISL_17086342|environment|japan|NA|2020-11-16	eastern asia	japan	profile0003	environment	37.5201743528051	138.914818034069
H5N8|2344b|EPI_ISL_16405667|environment|japan|7_9_5_2_1_3_1_2|2020-11-30	eastern asia	japan	profile0003	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17805841|environment|japan|7_9_5_2_1_3_1_2|2020-11-30	eastern asia	japan	profile0003	environment	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_985233|anseriformes|japan|7_1_5_2_3_3_1_2|2021-02-08	eastern asia	japan	profile0003	anseriformes-wild	37.5201743528051	138.914818034069
H5N8|2344b|EPI_ISL_738057|galliformes|japan|7_1_5_2_3_3_1_2|2020-12-18	eastern asia	japan	profile0003	galliformes-domestic	33.9191788356518	134.242093496813
H5N8|2344b|EPI_ISL_1009679|anseriformes|south_korea|7_1_5_2_3_3_1_2|2020-12-28	eastern asia	south korea	profile0003	anseriformes-wild	36.5298116066164	126.847825775926
H5N8|2344b|EPI_ISL_17805886|NA|japan|7_1_5_2_3_3_1_2|2021-02-05	eastern asia	japan	profile0003	other-bird	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_854604|galliformes|japan|7_1_5_2_3_3_1_2|2021-01-01	eastern asia	japan	profile0003	galliformes-domestic	35.7777527627362	137.055033768037
H5N8|2344b|EPI_ISL_17086224|environment|japan|NA|2020-11-05	eastern asia	japan	profile0003	environment	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_708711|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01	eastern asia	japan	profile0003	galliformes-domestic	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_708717|galliformes|japan|7_1_5_2_1_3_1_2|2020-12-01	eastern asia	japan	profile0003	galliformes-domestic	34.217379070784	133.968927545016
H5N8|2344b|EPI_ISL_17086228|environment|japan|NA|2020-11-25	eastern asia	japan	profile0003	environment	35.0390049694389	134.828550655208
H5N8|2344b|EPI_ISL_1273413|galliformes|japan|7_1_5_2_1_3_1_2|2020-11-25	eastern asia	japan	profile0003	galliformes-domestic	35.0390049694389	134.828550655208
H5N8|2344b|EPI_ISL_1184508|galliformes|japan|1_1_7_2_3_3_1_2|2021-02-24	eastern asia	japan	profile0003	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_1184509|galliformes|japan|1_1_7_2_3_3_1_2|2021-02-24	eastern asia	japan	profile0003	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_1184511|galliformes|japan|1_1_7_2_3_3_1_2|2021-02-24	eastern asia	japan	profile0003	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_1184510|galliformes|japan|1_1_7_2_3_3_1_2|2021-02-24	eastern asia	japan	profile0003	galliformes-domestic	32.1919114758892	131.298614512671
H5N8|2344b|EPI_ISL_4061715|falconiformes|japan|7_1_5_3_1_3_1_2|2021-01-28	eastern asia	japan	profile0003	other-bird	43.3824165431654	142.542521870972
H5N8|2344b|EPI_ISL_5260457|anseriformes|china|1_1_7_2_3_3_1_2|2021-01-23	eastern asia	china	profile0003	anseriformes-wild	36.3536638777003	118.136153809721
H5N8|2344b|EPI_ISL_1041172|accipitriformes|japan|1_1_7_2_3_3_1_2|2021-02-10	eastern asia	japan	profile0003	other-bird	36.6374969915777	137.269020761504
H5N8|2344b|EPI_ISL_1041173|accipitriformes|japan|1_1_7_2_3_3_1_2|2021-02-10	eastern asia	japan	profile0003	other-bird	36.6374969915777	137.269020761504
H5N8|2344b|EPI_ISL_985180|galliformes|south_korea|7_1_5_2_1_3_1_2|2020-12-01	eastern asia	south korea	profile0003	galliformes-domestic	36.3474789243827	128.748576389097
H5N8|2344b|EPI_ISL_4061712|anseriformes|japan|7_1_5_2_1_3_1_1|2021-02-17	eastern asia	japan	profile0003	anseriformes-wild	38.446036231103	140.92583944453
H5N8|2344b|EPI_ISL_681281|anseriformes|japan|7_1_5_2_1_3_1_2|2020-11-16	eastern asia	japan	profile0003	anseriformes-wild	37.5201743528051	138.914818034069
H5N8|2344b|EPI_ISL_16405650|environment|japan|7_1_13_2_1_3_1_2|2020-11-09	eastern asia	japan	profile0003	environment	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_17805848|environment|japan|7_1_13_2_1_3_1_2|2020-11-09	eastern asia	japan	profile0003	environment	37.3996665395305	137.574137168765
H5N8|2344b|EPI_ISL_697771|anseriformes|japan|7_1_5_2_1_3_1_2|2020-10-24	eastern asia	japan	profile0003	anseriformes-wild	43.3824165431654	142.542521870972
