tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,clade.x,collection_original,cluster_profile,cluster_label.x,collection_tipdate,collection_dateerror,cluster_label.y,clade.y,number_Conti,number_hostType,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Mammal,prop_Mammal,group
H5N1|2344b|EPI_ISL_17371282|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04,H5N1,EPI_ISL_17371282,A/duck/Hulu Sungai Utara/A0522064-06/2022,2022-04-04,2022.25479452055,2022-04,2022,anseriformes domestic,anseriformes,NA,NA,NA,NA,domestic,anseriformes-domestic,south-eastern asia,indonesia,idn,-2.28622572968828,117.242699644596,kalimantan selatan,id.ks,-2.99309303653839,115.439680623362,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-04-04,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17371283|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04,H5N1,EPI_ISL_17371283,A/duck/Hulu Sungai Utara/A0522064-03-04/2022,2022-04-04,2022.25479452055,2022-04,2022,anseriformes domestic,anseriformes,NA,NA,NA,NA,domestic,anseriformes-domestic,south-eastern asia,indonesia,idn,-2.28622572968828,117.242699644596,kalimantan selatan,id.ks,-2.99309303653839,115.439680623362,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-04-04,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17371284|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04,H5N1,EPI_ISL_17371284,A/duck/Hulu Sungai Utara/A0522067-06-07/2022,2022-04-04,2022.25479452055,2022-04,2022,anseriformes domestic,anseriformes,NA,NA,NA,NA,domestic,anseriformes-domestic,south-eastern asia,indonesia,idn,-2.28622572968828,117.242699644596,kalimantan selatan,id.ks,-2.99309303653839,115.439680623362,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-04-04,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17851883|galliformes|japan|2_6_1_1_6_1_1_1|2022-12-01,H5N1,EPI_ISL_17851883,A/chicken/Japan/AZRC-TU-17/2022,2022-12-01,2022.91506849315,2022-12,2022,galliformes,galliformes,NA,NA,NA,NA,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,tottori,jp.tt,35.3595547900768,133.863177571414,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-12-01,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_18284466|galliformes|japan|2_6_1_1_6_1_1_1|2022-10-28,H5N1,EPI_ISL_18284466,A/chicken/Okayama/22A1T/2022,2022-10-28,2022.82191780822,2022-10,2022,galliformes,galliformes,NA,NA,NA,NA,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,okayama,jp.oy,34.8921234580739,133.826171708594,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-10-28,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_18373234|anseriformes|south_korea|2_6_1_1_6_1_1_1|2022-01-27,H5N1,EPI_ISL_18373234,A/Spot-billed duck/Korea/21WC143/2022,2022-01-27,2022.07123287671,2022-01,2022,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,gyeongsangnam-do,kr.kn,35.3225325644814,128.261669154089,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-01-27,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_18373239|anseriformes|south_korea|2_6_1_1_6_1_1_1|2022-02-04,H5N1,EPI_ISL_18373239,A/Gadwall/Korea/21WC196/2022,2022-02-04,2022.09315068493,2022-02,2022,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,jeju,kr.cj,33.3869876346889,126.553618799527,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-02-04,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_8599974|anseriformes|china|2_6_1_1_6_1_1_1|2021-11-15,H5N1,EPI_ISL_8599974,A/black_swan/Eastern_China/11.15_ZJHZ74-Lg/2021,2021-11-15,2021.87123287671,2021-11,2021,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,zhejiang,cn.zj,29.1745873279179,120.086382279697,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2021-11-15,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_18245816|anseriformes|poland|2_6_1_1_6_1_1_1|2022-04-07,H5N1,EPI_ISL_18245816,A/mute_swan/Poland/MB122/2022,2022-04-07,2022.26301369863,2022-04,2022,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,eastern europe,poland,pol,52.1141994014432,19.4236724631525,warmińsko-mazurskie,na,53.857820060305,20.8226086933633,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-04-07,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_18755528|anseriformes|united_states|2_6_1_1_6_1_1_1|2022-10-14,H5N1,EPI_ISL_18755528,A/american wigeon/Alaska/USGS-0890/2022,2022-10-14,2022.78356164384,2022-10,2022,anseriformes wild,anseriformes,NA,NA,NA,NA,wild,anseriformes-wild,northern america,united states,usa,44.75294654392,-103.651025114044,alaska,us.ak,63.9513927980493,-152.396756538795,2344b,NA,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2022-10-14,FALSE,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
