tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,collection_original,profile_lab,cluster_label.x,collection_tipdate,collection_dateerror,cluster_profile,cluster_label.y,clade,number_Conti,number_hostType,Num_Sequence,Range_of_Host,Range_of_HostType,Host_Range_Per_Continent,Continent_of_Earliest_Date,Host_of_Earliest_Sample_Date,Range_of_Continent,Length_Between_First_Last_Sample,number_Mammal,prop_Mammal,group
H5N1|2344b|EPI_ISL_6829533|galliformes|japan|2_6_1_1_6_1_1_1|2021-11-12,H5N1,EPI_ISL_6829533,a/chicken/kagoshima/21a6t/2021,2021-11-12,2021-11,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagoshima,jp.ks,30.9949222722596,130.419711465505,Asia / Japan / Kagoshima / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-12,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_6959592|anseriformes|south_korea|2_6_1_1_6_1_1_1|2021-10-26,H5N1,EPI_ISL_6959592,a/mandarin_duck/korea/wa585/2021,2021-10-26,2021-10,2021,Aves,anseriformes,anatidae,aix galericulata,mandarin duck,TRUE,wild,anseriformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongnam-do,kr.gn,36.5298116066164,126.847825775926,Asia / Korea / Chungcheongnam-do / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-10-26,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_6959593|galliformes|south_korea|2_6_1_1_6_1_1_1|2021-11-08,H5N1,EPI_ISL_6959593,a/quail/korea/h526/2021,2021-11-08,2021-11,2021,Aves,galliformes,phasianidae,synoicus/coturnix sp.,old world quail sp.,TRUE,wild,galliformes-wild,eastern asia,south korea,kor,36.341057964317,127.784630688405,chungcheongbuk-do,kr.gb,36.737850075983,127.830446360213,Asia / Korea / Chungcheongbuk-do / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-11-08,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_15732766|anseriformes|japan|2_6_1_1_6_1_1_1|2022-10-23,H5N1,EPI_ISL_15732766,a/eurasian_wigeon/hokkaido/m184/2022,2022-10-23,2022-10,2022,Aves,anseriformes,anatidae,mareca americana,american wigeon,TRUE,wild,anseriformes-wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,Asia / Japan / Hokkaido / the Komuke Lake / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2022-10-23,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_12572654|anseriformes|china|2_6_1_1_6_1_1_1|2021-12-08,H5N1,EPI_ISL_12572654,a/duck/guangdong/s4518/2021,2021-12-08,2021-12,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-12-08,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_12572655|anseriformes|china|2_6_1_1_6_1_1_1|2021-12-08,H5N1,EPI_ISL_12572655,a/duck/guangdong/s4525/2021,2021-12-08,2021-12,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,Asia / China / Guangdong / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2021-12-08,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_12572656|anseriformes|china|2_6_1_1_6_1_1_1|2022-02-22,H5N1,EPI_ISL_12572656,a/duck/guizhou/s1321/2022,2022-02-22,2022-02,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guizhou,cn.gz,26.8128279303549,106.867407716617,Asia / China / Guizhou / NA / NA,NA,H5N1/2021/R4_Asia,2022-02-22,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_12572659|anseriformes|china|2_6_1_1_6_1_1_1|2022-01-10,H5N1,EPI_ISL_12572659,a/duck/hubei/se220/2022,2022-01-10,2022-01,2022,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,hubei,cn.hu,30.9806813015582,112.277189482252,Asia / China / Hubei / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2022-01-10,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_12572661|anseriformes|china|2_6_1_1_6_1_1_1|2022-02-22,H5N1,EPI_ISL_12572661,a/goose/guizhou/s1541/2022,2022-02-22,2022-02,2022,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guizhou,cn.gz,26.8128279303549,106.867407716617,Asia / China / Guizhou / NA / NA,NA,H5N1/2021/R4_Asia,2022-02-22,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_15923322|falconiformes|japan|2_6_1_1_6_1_1_1|2022-09-25,H5N1,EPI_ISL_15923322,a/peregrine_falcon/kanagawa/1409c001t1/2022,2022-09-25,2022-09,2022,Aves,falconiformes,falconidae,falco peregrinus,peregrine falcon,TRUE,wild,other,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kanagawa,jp.kn,35.4153490493937,139.338928797101,Asia / Japan / Kanagawa / NA / NA,H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2022-09-25,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_15576617|anseriformes|japan|2_6_1_1_6_1_1_1|2022-10-08,H5N1,EPI_ISL_15576617,a/eurasian_wigeon/hokkaido/q71/2022,2022-10-08,2022-10,2022,Aves,anseriformes,anatidae,mareca americana,american wigeon,TRUE,wild,anseriformes-wild,eastern asia,japan,jpn,37.3996665395305,137.574137168765,hokkaido,jp.hk,43.3824165431654,142.542521870972,"Asia / Japan / Hokkaido / Noduke Peninsula, Bekkai town / NA",H5N1/2021/R4_Asia,H5N1/2021/R4_Asia,2022-10-08,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17371282|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04,H5N1,EPI_ISL_17371282,A/duck/Hulu Sungai Utara/A0522064-06/2022,2022-04-04,2022-04,2022,anseriformes domestic,anseriformes,NA,NA,NA,NA,domestic,anseriformes-domestic,south-eastern asia,indonesia,idn,-2.28622572968828,117.242699644596,kalimantan selatan,id.ks,-2.99309303653839,115.439680623362,NA,NA,H5N1/2021/R4_Asia,2022-04-04,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17371283|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04,H5N1,EPI_ISL_17371283,A/duck/Hulu Sungai Utara/A0522064-03-04/2022,2022-04-04,2022-04,2022,anseriformes domestic,anseriformes,NA,NA,NA,NA,domestic,anseriformes-domestic,south-eastern asia,indonesia,idn,-2.28622572968828,117.242699644596,kalimantan selatan,id.ks,-2.99309303653839,115.439680623362,NA,NA,H5N1/2021/R4_Asia,2022-04-04,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
H5N1|2344b|EPI_ISL_17371284|anseriformes|indonesia|2_6_1_1_6_1_1_1|2022-04-04,H5N1,EPI_ISL_17371284,A/duck/Hulu Sungai Utara/A0522067-06-07/2022,2022-04-04,2022-04,2022,anseriformes domestic,anseriformes,NA,NA,NA,NA,domestic,anseriformes-domestic,south-eastern asia,indonesia,idn,-2.28622572968828,117.242699644596,kalimantan selatan,id.ks,-2.99309303653839,115.439680623362,NA,NA,H5N1/2021/R4_Asia,2022-04-04,FALSE,2_6_1_1_6_1_1_1,H5N1/2021/R4_Asia,2.3.4.4b,3,5,60,"Galliformes, Anseriformes, Falconiformes, environment","Galliformes, Anseriformes wild, Anseriformes domestic, Avian other, environment","Galliformes - Asia, Anseriformes wild - Asia, Anseriformes domestic - Asia, Avian other - Asia, environment - Asia, Anseriformes wild - Europe, Anseriformes wild - North America",Asia,Anseriformes wild,"Asia, Europe, North America",1.147945205479573,0,0,dominant
