tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.NA.EPI_ISL_18244810.accipitriformes.poland.NA.2021-02-19	H5N8	2021-02-19	2021.13	2021-02-01	eastern europe	poland	pol	52.1141994014432	19.4236724631525	NA	NA	NA	NA	NA	2021-02-19	profile003	accipitriformes	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_1057106.anseriformes.czechia.1.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	jihočeský	cz.ck	49.0928166218663	14.4391547985202	Europe / Czech Republic / Jihocesky Kraj / Okres Tabor / Sobeslav	2021-02-04	profile003	anseriformes	14.4391547985202	49.0928166218663
H5N8.2344b.EPI_ISL_1399245.anseriformes.czechia.1.2021-03-06	H5N8	2021-03-06	2021.18	2021-03-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	moravskoslezský	cz.vk	49.8368899304208	17.9578982609586	Europe / Czech Republic / Morovskoslezsky Kraj / Okres Opava / Katerinky u Opavy, Stribrne jezero; GPS: N 49Â°57.29960, E 17Â°53.78212	2021-03-06	profile003	anseriformes	17.9578982609586	49.8368899304208
H5N8.2344b.EPI_ISL_5096104.anseriformes.germany.1.2021-01-20	H5N8	2021-01-20	2021.05	2021-01-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Stade / NA	2021-01-20	profile003	anseriformes	9.16783937293005	52.7642105761026
H5N8.2344b.EPI_ISL_2234811.anseriformes.france.1.2021-01-07	H5N8	2021-01-07	2021.02	2021-01-01	western europe	france	fra	46.5103009447381	2.5780749353201	auvergne-rhône-alpes	fr.ar	45.5190780558984	4.54715006428513	Europe / Spain / NA / NA / NA	2021-01-07	profile003	anseriformes	4.54715006428513	45.5190780558984
H5N8.2344b.EPI_ISL_2932614.anseriformes.kazakhstan.1.2020-09-21	H5N8	2020-09-21	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / Mamlyutsky district, Mamlyutsky, Mamlyutka village / NA	2020-09-21	profile003	anseriformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_615065.anseriformes.kazakhstan.1.2020-09-22	H5N8	2020-09-22	2020.72	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	qostanay	kz.qs	51.5322283786231	64.0853293002361	Asia / Kazakhstan / Kostanay / NA / NA	2020-09-22	profile003	anseriformes	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_3102061.anseriformes.poland.1.2021-04-09	H5N8	2021-04-09	2021.27	2021-04-01	eastern europe	poland	pol	52.1141994014432	19.4236724631525	wielkopolskie	na	52.3269678786096	17.250141052842	Europe / Poland / Wielkopolskie / NA / NA	2021-04-09	profile003	anseriformes	17.250141052842	52.3269678786096
H5N8.NA.EPI_ISL_5058630.anseriformes.germany.NA.2020-10-31	H5N8	2020-10-31	2020.83	2020-10-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	NA	2020-10-31	profile003	anseriformes	9.81577342948134	54.1814850326718
H5N8.NA.EPI_ISL_18244181.anseriformes.poland.NA.2021-01-19	H5N8	2021-01-19	2021.05	2021-01-01	eastern europe	poland	pol	52.1141994014432	19.4236724631525	NA	NA	NA	NA	NA	2021-01-19	profile003	anseriformes	19.4236724631525	52.1141994014432
H5N8.2344b.EPI_ISL_984690.falconiformes.denmark.1.2020-11-06	H5N8	2020-11-06	2020.85	2020-11-01	northern europe	denmark	dnk	55.9512996898935	10.0707816763207	syddanmark	dk.sd	55.3568797999445	9.45020901930698	Europe / Denmark / Region Syddanmark / Svendborg Kommune / NA	2020-11-06	profile003	falconiformes	9.45020901930698	55.3568797999445
H5N8.2344b.EPI_ISL_1058020.galliformes.czechia.1.2021-02-10	H5N8	2021-02-10	2021.11	2021-02-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	jihočeský	cz.ck	49.0928166218663	14.4391547985202	Europe / Czech Republic / Jihocesky Kraj / Okres Strakonice / Katovice	2021-02-10	profile003	galliformes	14.4391547985202	49.0928166218663
H5N8.2344b.EPI_ISL_1033030.galliformes.czechia.1.2021-02-03	H5N8	2021-02-03	2021.09	2021-02-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	pardubický	cz.ek	49.9006406346158	16.1892997029385	Europe / Czech Republic / Pardubicky kraj / Okres Chrudim / Ronov nad Doubravou; GPS 49Â°532.573N, 15Â°322.451E	2021-02-03	profile003	galliformes	16.1892997029385	49.9006406346158
H5N8.2344b.EPI_ISL_1697182.galliformes.czechia.1.2021-03-25	H5N8	2021-03-25	2021.23	2021-03-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	královéhradecký	cz.hk	50.3852537596798	15.8661896036913	Europe / Czech Republic / Kralovehradecky Kraj / Okres Jicin / Vysoke Veseli	2021-03-25	profile003	galliformes	15.8661896036913	50.3852537596798
H5N8.2344b.EPI_ISL_1399234.galliformes.czechia.1.2021-02-27	H5N8	2021-02-27	2021.16	2021-02-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	plzeňský	cz.pk	49.5901077813144	13.2328532454248	Europe / Czech Republic / Plzensky Kraj / Okres Klatovy / Hnevnice; GPS: N 49Â°44.08495, E 13Â°6.00505	2021-02-27	profile003	galliformes	13.2328532454248	49.5901077813144
H5N8.2344b.EPI_ISL_1697200.galliformes.czechia.1.2021-04-03	H5N8	2021-04-03	2021.25	2021-04-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	prague	cz.sk	50.0636978575423	14.4763649175255	Europe / Czech Republic / Hlavni mesto Praha / Okres Praha / Trebotov; GPS: 49.6993983N, 14.2870908E	2021-04-03	profile003	galliformes	14.4763649175255	50.0636978575423
H5N8.2344b.EPI_ISL_1697189.galliformes.czechia.1.2021-04-01	H5N8	2021-04-01	2021.25	2021-04-01	eastern europe	czechia	cze	49.7450575142012	15.3371651897674	moravskoslezský	cz.vk	49.8368899304208	17.9578982609586	Europe / Czech Republic / Morovskoslezsky Kraj / Okres Bruntal / Zator	2021-04-01	profile003	galliformes	17.9578982609586	49.8368899304208
H5N8.2344b.EPI_ISL_5099367.galliformes.germany.1.2021-02-07	H5N8	2021-02-07	2021.1	2021-02-01	western europe	germany	deu	51.0533277435649	10.373650933319	bayern	de.by	48.9386109033625	11.4278546586472	Europe / Germany / Bavaria / WeiÃŸenburg-Gunzenhausen / NA	2021-02-07	profile003	galliformes	11.4278546586472	48.9386109033625
H5N8.2344b.EPI_ISL_5064825.galliformes.germany.1.2020-12-26	H5N8	2020-12-26	2020.98	2020-12-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Cloppenburg / NA	2020-12-26	profile003	galliformes	9.16783937293005	52.7642105761026
H5N8.2344b.EPI_ISL_5143586.galliformes.germany.1.2021-03-24	H5N8	2021-03-24	2021.22	2021-03-01	western europe	germany	deu	51.0533277435649	10.373650933319	sachsen	de.sn	51.0528694457593	13.3447264729352	Europe / Germany / Saxony / Mittelsachsen / NA	2021-03-24	profile003	galliformes	13.3447264729352	51.0528694457593
H5N8.2344b.EPI_ISL_666890.galliformes.croatia.1.2020-11-17	H5N8	2020-11-17	2020.88	2020-11-01	southern europe	croatia	hrv	45.0210446789036	16.3887129948206	koprivničko-križevačka	hr.kk	46.0941050136215	16.8104817428003	Europe / Croatia / Koprivnicko-Krizevacka Zupanija / Delovi / NA	2020-11-17	profile003	galliformes	16.8104817428003	46.0941050136215
H5N8.2344b.EPI_ISL_739687.galliformes.kazakhstan.1.2020-09-18	H5N8	2020-09-18	2020.71	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	north kazakhstan	kz.nk	53.8421826489217	69.2722074369824	Asia / Kazakhstan / North Kazakhstan / NA / NA	2020-09-18	profile003	galliformes	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_846604.galliformes.poland.1.2020-12-07	H5N8	2020-12-07	2020.93	2020-12-01	eastern europe	poland	pol	52.1141994014432	19.4236724631525	mazowieckie	na	52.3411657327183	21.0998506797105	Europe / Poland / Masovian Voivodeship / mazowieckie / NA	2020-12-07	profile003	galliformes	21.0998506797105	52.3411657327183
H5N8.2344b.EPI_ISL_647969.galliformes.sweden.1.2020-11-13	H5N8	2020-11-13	2020.87	2020-11-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Tomelilla Kommun / NA	2020-11-13	profile003	galliformes	13.595146733816	55.9474024317265
H5N8.2344b.EPI_ISL_7379509.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangdong	cn.gd	23.33624359406	113.398153372919	Asia / China / Guangdong Province / NA / NA	2021-01	profile003	anseriformes	113.398153372919	23.33624359406
H5N8.2344b.EPI_ISL_5260422.anseriformes.china.1.2021-02-01	H5N8	2021-02-01	2021.08	2021-02-01	eastern asia	china	chn	36.6848135465548	103.513718494908	guangxi	cn.gx	23.82591453975	108.782865094166	Asia / China / Guangxi / NA / NA	2021-02-01	profile003	anseriformes	108.782865094166	23.82591453975
H5N8.2344b.EPI_ISL_14836027.anseriformes.china.1.2020-11-14	H5N8	2020-11-14	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-14	profile003	anseriformes	113.614527263456	33.8761853651454
H5N8.2344b.EPI_ISL_2555542.anseriformes.china.1.2020-11-12	H5N8	2020-11-12	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Jiangxi Province / NA / NA	2020-11-12	profile003	anseriformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_5260469.anseriformes.china.1.2021-01-26	H5N8	2021-01-26	2021.07	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	jiangsu	cn.js	32.9645721858222	119.470797338049	Asia / China / Jiangsu / NA / NA	2021-01-26	profile003	anseriformes	119.470797338049	32.9645721858222
H5N8.2344b.EPI_ISL_625672.anseriformes.china.1.2020-10-17	H5N8	2020-10-17	2020.79	2020-10-01	eastern asia	china	chn	36.6848135465548	103.513718494908	nei mongol	cn.nm	44.083329648604	113.188484632426	Asia / China / Inner Mongolia Autonomous Region / NA / NA	2020-10-17	profile003	anseriformes	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_14822357.anseriformes.china.1.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2021-03-11	profile003	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_1760446.anseriformes.china.1.2020-11-09	H5N8	2020-11-09	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shaanxi	cn.sa	35.1531910315733	108.845281415025	Asia / China / Shaanxi Province / NA / NA	2020-11-09	profile003	anseriformes	108.845281415025	35.1531910315733
H5N8.2344b.EPI_ISL_7349517.anseriformes.china.1.2021-01	H5N8	NA	NA	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	sichuan	cn.sc	30.6066264180489	102.711402322843	Asia / China / Sichuan Province / NA / NA	2021-01	profile003	anseriformes	102.711402322843	30.6066264180489
