tipnames	collection_regionname	collection_countryname	host_simplifiedhost	lat	long
H5N1|2344b|EPI_ISL_10220429|carnivora|netherlands|2_1_1_1_1_1_1_1|2022-02-09	western europe	netherlands	mammal	52.0617180422494	5.94466833784019
H5N1|2344b|EPI_ISL_10255587|carnivora|netherlands|2_1_1_1_1_1_1_1|2022-02-11	western europe	netherlands	mammal	52.5811544669078	4.87272777813315
H5N1|2344b|EPI_ISL_1048240|accipitriformes|netherlands|2_1_1_1_1_1_1_1|2021-01-09	western europe	netherlands	other-bird	52.0617180422494	5.94466833784019
H5N1|2344b|EPI_ISL_1048241|anseriformes|netherlands|2_1_1_1_1_1_1_1|2021-01-14	western europe	netherlands	anseriformes-wild	52.5811544669078	4.87272777813315
H5N1|2344b|EPI_ISL_10943657|accipitriformes|sweden|2_1_1_1_1_1_1_1|2022-01-25	northern europe	sweden	other-bird	58.2955067014075	12.8595382920252
H5N1|2344b|EPI_ISL_10993196|charadriiformes|netherlands|2_1_1_1_1_1_1_1|2022-01-29	western europe	netherlands	charadriiformes-wild	53.2180813959811	6.7445168668343
H5N1|2344b|EPI_ISL_11007534|charadriiformes|slovenia|2_1_1_1_1_1_1_1|2021-12-30	southern europe	slovenia	charadriiformes-wild	46.124137393352	14.813678667363
H5N1|2344b|EPI_ISL_11007535|anseriformes|slovenia|2_1_1_1_1_1_1_1|2022-01-03	southern europe	slovenia	anseriformes-wild	46.124137393352	14.813678667363
H5N1|2344b|EPI_ISL_11007542|galliformes|niger|2_1_1_1_1_1_1_1|2022-01-01	western africa	niger	galliformes-domestic	17.416961812486	9.34752038596442
H5N1|2344b|EPI_ISL_11007545|galliformes|niger|2_1_1_1_1_1_1_1|2022-01-01	western africa	niger	galliformes-wild	17.416961812486	9.34752038596442
H5N1|2344b|EPI_ISL_11019882|carnivora|netherlands|2_1_1_1_1_1_1_1|2022-02-07	western europe	netherlands	mammal	52.0617180422494	5.94466833784019
H5N1|2344b|EPI_ISL_1122425|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2020-12-15	northern europe	united kingdom	galliformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_1123361|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2021-02-10	northern europe	united kingdom	galliformes-wild	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_11259263|accipitriformes|ireland|2_1_1_1_1_1_1_1|2022-01-07	northern europe	ireland	other-bird	53.1625189533631	-8.16313556364258
H5N1|2344b|EPI_ISL_11259273|anseriformes|ireland|2_1_1_1_1_1_1_1|2021-12-11	northern europe	ireland	anseriformes-wild	53.1625189533631	-8.16313556364258
H5N1|2344b|EPI_ISL_11259274|accipitriformes|ireland|2_1_1_1_1_1_1_1|2021-11-03	northern europe	ireland	other-bird	53.1625189533631	-8.16313556364258
H5N1|2344b|EPI_ISL_11259284|anseriformes|ireland|2_1_1_1_1_1_1_1|2022-02-14	northern europe	ireland	anseriformes-wild	53.1625189533631	-8.16313556364258
H5N1|2344b|EPI_ISL_11259292|anseriformes|france|2_1_1_1_1_1_1_1|2021-12-22	western europe	france	anseriformes-wild	45.5190780558984	4.54715006428513
H5N1|2344b|EPI_ISL_11259317|ciconiiformes|france|2_1_1_1_1_1_1_1|2022-01-17	western europe	france	other-bird	45.5190780558984	4.54715006428513
H5N1|2344b|EPI_ISL_11327090|galliformes|czechia|2_1_1_1_1_1_1_1|2022-01-03	eastern europe	czechia	galliformes-domestic	50.5294097303953	13.8509106160886
H5N1|2344b|EPI_ISL_11330431|accipitriformes|japan|2_1_1_1_1_1_1_1|2022-01-02	eastern asia	japan	other-bird	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_1139102|anseriformes|netherlands|2_1_1_1_1_1_1_1|2020-11-10	western europe	netherlands	anseriformes-wild	52.5811544669078	4.87272777813315
H5N1|2344b|EPI_ISL_11561591|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2022-02-08	northern europe	united kingdom	anseriformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_11561593|charadriiformes|united_kingdom|2_1_1_1_1_1_1_1|2022-02-03	northern europe	united kingdom	charadriiformes-wild	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_11580255|anseriformes|sweden|2_1_1_1_1_1_1_1|2022-01-21	northern europe	sweden	anseriformes-wild	55.9474024317265	13.595146733816
H5N1|2344b|EPI_ISL_11628212|galliformes|united_states|2_1_1_1_1_1_1_1|2022-02-11	northern america	united states	galliformes-domestic	37.521949382177	-78.8510941434989
H5N1|2344b|EPI_ISL_11628224|galliformes|united_states|2_1_1_1_1_1_1_1|2022-02-21	northern america	united states	galliformes-domestic	39.0074334461459	-75.5054386281869
H5N1|2344b|EPI_ISL_11628228|galliformes|united_states|2_1_1_1_1_1_1_1|2022-02-18	northern america	united states	galliformes-domestic	39.9052340570169	-86.2873458441382
H5N1|2344b|EPI_ISL_11628234|galliformes|united_states|2_1_1_1_1_1_1_1|2022-02-22	northern america	united states	galliformes-wild	42.9905358128524	-75.6520434129946
H5N1|2344b|EPI_ISL_11633614|anseriformes|china|2_1_1_1_1_1_1_1|2021-12-20	eastern asia	china	anseriformes-wild	30.9806813015582	112.277189482252
H5N1|2344b|EPI_ISL_11725962|galliformes|germany|2_1_1_1_1_1_1_1|2021-10-29	western europe	germany	galliformes-domestic	52.4686720071996	13.4043192497063
H5N1|2344b|EPI_ISL_11725988|galliformes|germany|2_1_1_1_1_1_1_1|2021-11-02	western europe	germany	galliformes-domestic	52.4686720071996	13.4043192497063
H5N1|2344b|EPI_ISL_11725994|accipitriformes|germany|2_1_1_1_1_1_1_1|2021-11-09	western europe	germany	other-bird	54.1814850326718	9.81577342948134
H5N1|2344b|EPI_ISL_11798566|anseriformes|denmark|2_1_1_1_1_1_1_1|2021-04-18	northern europe	denmark	anseriformes-wild	56.2490598335433	9.39675377639095
H5N1|2344b|EPI_ISL_11798568|anseriformes|denmark|2_1_1_1_1_1_1_1|2021-10-26	northern europe	denmark	anseriformes-wild	55.2791973821106	11.7026524381832
H5N1|2344b|EPI_ISL_11798569|anseriformes|denmark|2_1_1_1_1_1_1_1|2021-10-30	northern europe	denmark	anseriformes-wild	56.2490598335433	9.39675377639095
H5N1|2344b|EPI_ISL_11798570|galliformes|denmark|2_1_1_1_1_1_1_1|2021-11-02	northern europe	denmark	galliformes-domestic	55.2791973821106	11.7026524381832
H5N1|2344b|EPI_ISL_11798575|charadriiformes|denmark|2_1_1_1_1_1_1_1|2021-05-14	northern europe	denmark	charadriiformes-wild	56.2490598335433	9.39675377639095
H5N1|2344b|EPI_ISL_11897673|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-07	northern america	united states	galliformes-domestic	39.0074334461459	-75.5054386281869
H5N1|2344b|EPI_ISL_11897675|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-04	northern america	united states	galliformes-domestic	39.0551372724782	-76.7907951867475
H5N1|2344b|EPI_ISL_11897697|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-15	northern america	united states	galliformes-domestic	43.6815083646185	-71.5810130976219
H5N1|2344b|EPI_ISL_11922814|anseriformes|poland|2_1_1_1_1_1_1_1|2022-02-17	eastern europe	poland	anseriformes-wild	52.1141994014432	19.4236724631525
H5N1|2344b|EPI_ISL_11922816|anseriformes|italy|2_1_1_1_1_1_1_1|2022-02-01	eastern europe	romania	anseriformes-wild	45.8353861913577	24.9959408037042
H5N1|2344b|EPI_ISL_11922817|anseriformes|italy|2_1_1_1_1_1_1_1|2022-02-03	eastern europe	romania	anseriformes-wild	45.8353861913577	24.9959408037042
H5N1|2344b|EPI_ISL_11922822|anseriformes|italy|2_1_1_1_1_1_1_1|2022-03-07	eastern europe	romania	anseriformes-wild	45.8353861913577	24.9959408037042
H5N1|2344b|EPI_ISL_12069288|carnivora|netherlands|2_1_1_1_1_1_1_1|2022-01-10	western europe	netherlands	mammal	51.5616727876811	5.19541346074046
H5N1|2344b|EPI_ISL_12139999|anseriformes|czechia|2_1_1_1_1_1_1_1|2022-01-10	eastern europe	czechia	anseriformes-wild	49.9969098943343	14.5545810187162
H5N1|2344b|EPI_ISL_12150661|anseriformes|czechia|2_1_1_1_1_1_1_1|2022-01-29	eastern europe	czechia	anseriformes-wild	49.2395239668424	17.7694110590927
H5N1|2344b|EPI_ISL_12174842|carnivora|japan|2_1_1_1_1_1_1_1|2022-03-31	eastern asia	japan	mammal	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_12174843|passeriformes|japan|2_1_1_1_1_1_1_1|2022-03-29	eastern asia	japan	other-bird	43.3824165431654	142.542521870972
H5N1|2344b|EPI_ISL_1224946|anseriformes|netherlands|2_1_1_1_1_1_1_1|2021-01-31	western europe	netherlands	anseriformes-wild	53.1100430768808	5.84863928632393
H5N1|2344b|EPI_ISL_1224989|accipitriformes|netherlands|2_1_1_1_1_1_1_1|2021-02-01	western europe	netherlands	other-bird	53.1100430768808	5.84863928632393
H5N1|2344b|EPI_ISL_12325995|anseriformes|czechia|2_1_1_1_1_1_1_1|2021-12-18	eastern europe	czechia	anseriformes-wild	49.0928166218663	14.4391547985202
H5N1|2344b|EPI_ISL_12567532|anseriformes|united_states|2_1_1_1_1_1_1_1|2022-03-24	northern america	united states	anseriformes-domestic	41.5381860818162	-99.7937041398577
H5N1|2344b|EPI_ISL_12572664|anseriformes|china|2_1_1_1_1_1_1_1|2021-11-25	eastern asia	china	anseriformes-wild	39.5182972347816	116.100714730353
H5N1|2344b|EPI_ISL_12690908|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-28	northern america	united states	galliformes-wild	42.9905358128524	-75.6520434129946
H5N1|2344b|EPI_ISL_12749687|galliformes|israel|2_1_1_1_1_1_1_1|2021-10-12	western asia	israel	galliformes-domestic	32.8188711917581	35.3874708538776
H5N1|2344b|EPI_ISL_12754534|galliformes|italy|2_1_1_1_1_1_1_1|2022-03-26	eastern europe	romania	galliformes-domestic	44.1436454445562	25.8816770793838
H5N1|2344b|EPI_ISL_12968593|anseriformes|canada|2_1_1_1_1_1_1_1|2021-12-17	northern america	canada	anseriformes-domestic	54.7409130620601	-97.4886310680955
H5N1|2344b|EPI_ISL_12968823|galliformes|canada|2_1_1_1_1_1_1_1|2021-12-21	northern america	canada	galliformes-domestic	52.7585447043339	-60.1747989980888
H5N1|2344b|EPI_ISL_13026104|anseriformes|luxembourg|2_1_1_1_1_1_1_1|2021-11-24	western europe	luxembourg	anseriformes-wild	49.6868212553332	6.34949296820615
H5N1|2344b|EPI_ISL_13026106|anseriformes|luxembourg|2_1_1_1_1_1_1_1|2021-12-10	western europe	luxembourg	anseriformes-wild	49.6868212553332	6.34949296820615
H5N1|2344b|EPI_ISL_13026245|anseriformes|luxembourg|2_1_1_1_1_1_1_1|2022-01-17	western europe	luxembourg	anseriformes-wild	49.6868212553332	6.34949296820615
H5N1|2344b|EPI_ISL_13246267|galliformes|iceland|2_1_1_1_1_1_1_1|2022-04-14	northern europe	iceland	galliformes-domestic	64.13445881442	-19.2442817605907
H5N1|2344b|EPI_ISL_13285245|galliformes|united_states|2_1_1_1_1_1_1_1|2022-03-29	northern america	united states	galliformes-wild	31.4721370523578	-99.3297472206491
H5N1|2344b|EPI_ISL_13338081|suliformes|sweden|2_1_1_1_1_1_1_1|2022-05-25	northern europe	sweden	other-bird	58.2955067014075	12.8595382920252
H5N1|2344b|EPI_ISL_13369740|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-11-03	northern europe	united kingdom	anseriformes-wild	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13370249|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-11-30	northern europe	united kingdom	anseriformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13370519|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-06	northern europe	united kingdom	anseriformes-domestic	54.0438440515314	-2.78687513666638
H5N1|2344b|EPI_ISL_13370522|anseriformes|united_kingdom|2_1_1_1_1_1_1_1|2021-12-06	northern europe	united kingdom	anseriformes-wild	56.7931587491509	-4.20419908814114
H5N1|2344b|EPI_ISL_13370693|anseriformes|isle_of_man|2_1_1_1_1_1_1_1|2022-01-14	northern europe	isle of man	anseriformes-wild	54.2274459818122	-4.5394736212416
H5N1|2344b|EPI_ISL_13370695|galliformes|united_kingdom|2_1_1_1_1_1_1_1|2022-01-20	northern europe	united kingdom	galliformes-domestic	54.0438440515314	-2.78687513666638
