tipnames	collection_regionname	collection_countryname	host_simplifiedhost	lat	long
H5N8|2344b|EPI_ISL_1009687|galliformes|south_korea|3_2_3_1_3_2_1_2|2020-12-31	eastern asia	south korea	galliformes-wild	36.3474789243827	128.748576389097
H5N8|2344b|EPI_ISL_1009688|galliformes|south_korea|3_2_3_1_3_2_1_2|2021-01-01	eastern asia	south korea	galliformes-domestic	34.8733358026855	126.897223705092
H5N8|2344b|EPI_ISL_1009690|galliformes|south_korea|3_2_3_1_3_2_1_2|2021-01-04	eastern asia	south korea	galliformes-domestic	36.5298116066164	126.847825775926
H5N8|2344b|EPI_ISL_1009691|anseriformes|south_korea|3_2_3_1_3_2_1_2|2021-01-04	eastern asia	south korea	anseriformes-wild	35.7159281817874	127.140659781938
H5N8|2344b|EPI_ISL_1009692|anseriformes|south_korea|3_2_3_1_3_2_1_2|2021-01-05	eastern asia	south korea	anseriformes-wild	36.737850075983	127.830446360213
H5N8|2344b|EPI_ISL_1009693|galliformes|south_korea|3_2_3_1_3_2_1_2|2021-01-08	eastern asia	south korea	galliformes-domestic	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_1009694|anseriformes|south_korea|3_2_3_1_3_2_1_2|2021-01-09	eastern asia	south korea	anseriformes-wild	35.3225325644814	128.261669154089
H5N8|2344b|EPI_ISL_1009698|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-11-25	eastern asia	south korea	anseriformes-wild	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_1009707|NA|south_korea|3_2_3_1_3_2_1_2|2020-12-14	eastern asia	south korea	other-bird	36.737850075983	127.830446360213
H5N8|2344b|EPI_ISL_1009708|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-12-15	eastern asia	south korea	anseriformes-wild	37.5315346337798	127.181023197189
H5N8|2344b|EPI_ISL_1009709|NA|south_korea|3_2_3_1_3_2_1_2|2020-12-16	eastern asia	south korea	other-bird	33.3869876346889	126.553618799527
H5N8|2344b|EPI_ISL_1009710|anseriformes|south_korea|3_2_3_1_3_2_1_2|2020-11-17	eastern asia	south korea	anseriformes-wild	33.3869876346889	126.553618799527
H5N8|2344b|EPI_ISL_1033029|galliformes|czechia|3_2_3_1_3_2_1_2|2021-02-03	eastern europe	czechia	galliformes-domestic	49.9006406346158	16.1892997029385
H5N8|2344b|EPI_ISL_1038924|primates|russia|3_2_3_1_3_2_1_2|2020-12-12	eastern europe	russia	human	47.1064465901659	47.3587677312838
H5N8|2344b|EPI_ISL_1039235|galliformes|russia|3_2_3_1_3_2_1_2|2020-12-12	eastern europe	russia	galliformes-domestic	47.1064465901659	47.3587677312838
H5N8|2344b|EPI_ISL_1041133|galliformes|japan|3_2_3_1_3_2_1_2|2021-02-08	eastern asia	japan	galliformes-domestic	33.9191788356518	134.242093496813
H5N8|2344b|EPI_ISL_1041152|anseriformes|japan|3_2_3_1_3_2_1_2|2021-01-23	eastern asia	japan	anseriformes-wild	35.5094511865639	140.198261340312
H5N8|2344b|EPI_ISL_1046889|galliformes|netherlands|3_2_3_1_3_2_1_2|2021-02-19	western europe	netherlands	galliformes-domestic	51.5616727876811	5.19541346074046
H5N8|2344b|EPI_ISL_1058020|galliformes|czechia|3_2_3_1_3_2_1_2|2021-02-10	eastern europe	czechia	galliformes-domestic	49.0928166218663	14.4391547985202
H5N8|2344b|EPI_ISL_1058022|galliformes|czechia|3_2_3_1_3_2_1_2|2021-02-12	eastern europe	czechia	galliformes-domestic	49.5901077813144	13.2328532454248
H5N8|2344b|EPI_ISL_1080579|gruiformes|czechia|3_2_3_1_3_2_1_2|2021-02-14	eastern europe	czechia	other-bird	50.7015712481419	14.9927241891218
H5N8|2344b|EPI_ISL_1081353|anseriformes|japan|3_2_3_1_3_2_1_2|2021-02-14	eastern asia	japan	anseriformes-wild	36.6894768729176	139.818920628006
H5N8|2344b|EPI_ISL_1093425|anseriformes|sweden|3_2_3_1_3_2_1_2|2021-02-16	northern europe	sweden	anseriformes-wild	55.9474024317265	13.595146733816
H5N8|2344b|EPI_ISL_1095365|anseriformes|sweden|3_2_3_1_3_2_1_2|2021-02-07	northern europe	sweden	anseriformes-wild	56.2754954629495	15.2029498652564
H5N8|2344b|EPI_ISL_1095453|galliformes|sweden|3_2_3_1_3_2_1_2|2020-11-17	northern europe	sweden	galliformes-domestic	55.9474024317265	13.595146733816
H5N8|2344b|EPI_ISL_1095454|accipitriformes|sweden|3_2_3_1_3_2_1_2|2021-02-11	northern europe	sweden	other-bird	55.9474024317265	13.595146733816
H5N8|2344b|EPI_ISL_1098830|gruiformes|japan|3_2_3_1_3_2_1_2|2021-01-19	eastern asia	japan	other-bird	30.9949222722596	130.419711465505
H5N8|2344b|EPI_ISL_1114735|galliformes|russia|3_2_3_1_3_2_1_2|2020-09-26	central asia	russia	galliformes-domestic	57.6472366156513	69.1218349161945
H5N8|2344b|EPI_ISL_1114740|galliformes|italy|3_2_3_1_3_2_1_2|2020-10-17	southern europe	italy	galliformes-domestic	41.979336323661	12.7721450906831
H5N8|2344b|EPI_ISL_1114748|galliformes|russia|3_2_3_1_3_2_1_2|2020-10-25	eastern europe	russia	galliformes-domestic	47.725861660493	41.3470662241277
H5N8|2344b|EPI_ISL_1114749|galliformes|russia|3_2_3_1_3_2_1_2|2020-12-11	eastern europe	russia	galliformes-domestic	44.927089080414	43.4103582512603
H5N8|2344b|EPI_ISL_1114754|anseriformes|netherlands|3_2_3_1_3_2_1_2|2020-12-31	western europe	netherlands	anseriformes-wild	51.5616727876811	5.19541346074046
H5N8|2344b|EPI_ISL_1114757|galliformes|russia|3_2_3_1_3_2_1_2|2021-01-29	eastern europe	russia	galliformes-domestic	47.725861660493	41.3470662241277
H5N8|2344b|EPI_ISL_1114762|galliformes|russia|3_2_3_1_3_2_1_2|2021-01-05	central asia	russia	galliformes-domestic	65.951077439978	95.3658732364833
H5N8|2344b|EPI_ISL_1114763|galliformes|russia|3_2_3_1_3_2_1_2|2021-01-05	central asia	russia	galliformes-domestic	65.951077439978	95.3658732364833
H5N8|2344b|EPI_ISL_1123351|anseriformes|united_kingdom|3_2_3_1_3_2_1_2|2020-12-18	northern europe	united kingdom	anseriformes-wild	54.0438440515314	-2.78687513666638
