id,tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number,collection.datemonth,group,location_code,todrop
ha_southamerica,H5N1.2344b.EPI_ISL_16013752.pelecaniformes.venezuela.4_1_1_1_2_1_1_8.2022-11-25,H5N1,EPI_ISL_16013752,a/pelican/venezuela/pel3/2022,2022-11-25,2022.9,2022-11,2022,Aves,pelecaniformes,pelecanidae,pelecanus sp.,pelican sp.,TRUE,wild,other,south america,venezuela,ven,7.13172612392755,-66.1349690012146,anzoátegui,na,8.89363259762319,-64.4049370136296,a,2022-47,2344b,South America / Venezuela / Estado Anzoategui / NA / NA,4_1_1_1_2_1_1_8,H5N1/2022/R10_NAmerica,29,dominant,#338ecc,2022-11-25,ha,FALSE,ha,profile001,2022-11-01,1,anzoátegui,keep
ha_southamerica,H5N1.NA.EPI_ISL_16854397.pelecaniformes.venezuela.NA.2022-11-25,H5N1,EPI_ISL_16854397,A/Pelecanus_occidentalis/Venezuela/3S4/2022,2022-11-25,2022.9,2022-11,2022,Aves,pelecaniformes,pelecanidae,pelecanus sp.,pelican sp.,TRUE,wild,other,south america,venezuela,ven,7.13172612392755,-66.1349690012146,NA,NA,NA,NA,A,2022-47,2344b,NA,NA,NA,NA,NA,NA,2022-11-25,ha,FALSE,ha,profile001,2022-11-01,1,venezuela,keep
ha_southamerica,H5N1.2344b.EPI_ISL_16891400.anseriformes.chile.5_3_1_1_2_1_1_4.2022-12-02,H5N1,EPI_ISL_16891400,a/gray_gull/chile/c61947/2022,2022-12-02,2022.92,2022-12,2022,Aves,anseriformes,anatidae,anser anser,greylag goose,TRUE,wild,anseriformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,NA,NA,NA,NA,a,2022-48,2344b,South America / Chile / NA / NA / NA,5_3_1_1_2_1_1_4,H5N1/2022/R8_NAmerica,9,dominant,#bacc99,2022-12-02,ha,FALSE,ha,profile001,2022-12-01,2,chile,keep
ha_southamerica,H5N1.NA.EPI_ISL_17885951.anseriformes.chile.NA.2023-01-18,H5N1,EPI_ISL_17885951,A/gray_gull/Tarapaca/232825-1/2023,2023-01-18,2023.05,2023-01,2023,Aves,anseriformes,anatidae,anser anser,greylag goose,TRUE,wild,anseriformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,tarapacá,cl.ta,-20.1723893841755,-69.3557535441909,A,2023-03,2344b,NA,NA,NA,NA,NA,NA,2023-01-18,ha,FALSE,ha,profile001,2023-01-01,2,tarapacá,keep
ha_southamerica,H5N1.2344b.EPI_ISL_17011958.charadriiformes.chile.5_3_1_1_2_1_1_4.2022-12-07,H5N1,EPI_ISL_17011958,a/gull/chile/7023-3/2022,2022-12-07,2022.93,2022-12,2022,Aves,charadriiformes,laridae,larinae sp.,gull sp.,TRUE,wild,charadriiformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,NA,NA,NA,NA,a,2022-49,2344b,South America / Chile / NA / NA / NA,5_3_1_1_2_1_1_4,H5N1/2022/R8_NAmerica,9,dominant,#bacc99,2022-12-07,ha,FALSE,ha,profile001,2022-12-01,2,chile,keep
ha_southamerica,H5N1.NA.EPI_ISL_17885978.charadriiformes.chile.NA.2023-03-03,H5N1,EPI_ISL_17885978,A/sanderling/Arica_y_Parinacota/240265/2023,2023-03-03,2023.17,2023-03,2023,Aves,charadriiformes,scolopacidae,calidris alba,sanderling,TRUE,wild,charadriiformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,arica y parinacota,cl.ap,-18.4968307906384,-69.6296363253853,A,2023-09,2344b,NA,NA,NA,NA,NA,NA,2023-03-03,ha,FALSE,ha,profile001,2023-03-01,2,arica y parinacota,keep
ha_southamerica,H5N1.NA.EPI_ISL_17885960.charadriiformes.chile.NA.2023-03-05,H5N1,EPI_ISL_17885960,A/whimbrel/Coquimbo/239964/2023,2023-03-05,2023.17,2023-03,2023,Aves,charadriiformes,scolopacidae,numenius phaeopus,whimbrel,TRUE,wild,charadriiformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,coquimbo,cl.co,-30.6129967369273,-70.8586891785209,A,2023-09,2344b,NA,NA,NA,NA,NA,NA,2023-03-05,ha,FALSE,ha,profile001,2023-03-01,2,coquimbo,keep
ha_southamerica,H5N1.NA.EPI_ISL_17885972.charadriiformes.chile.NA.2023-03-01,H5N1,EPI_ISL_17885972,A/kelp_gull/Maule/239349/2023,2023-03-01,2023.16,2023-03,2023,Aves,charadriiformes,laridae,larus dominicanus,kelp gull,TRUE,wild,charadriiformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,maule,cl.ml,-35.6204383329149,-71.4454635697529,A,2023-09,2344b,NA,NA,NA,NA,NA,NA,2023-03-01,ha,FALSE,ha,profile001,2023-03-01,2,maule,keep
ha_southamerica,H5N1.NA.EPI_ISL_17885953.charadriiformes.chile.NA.2022-12-23,H5N1,EPI_ISL_17885953,A/elegant_tern/Tarapaca/229133-1/2022,2022-12-23,2022.98,2022-12,2022,Aves,charadriiformes,laridae,thalasseus elegans,elegant tern,TRUE,wild,charadriiformes-wild,south america,chile,chl,-36.352932692973,-71.0631434301439,tarapacá,cl.ta,-20.1723893841755,-69.3557535441909,A,2022-51,2344b,NA,NA,NA,NA,NA,NA,2022-12-23,ha,FALSE,ha,profile001,2022-12-01,2,tarapacá,keep
ha_southamerica,H5N1.NA.EPI_ISL_17885967.charadriiformes.NA.NA.2023-03-06,H5N1,EPI_ISL_17885967,A/blackish_oystercatcher/OHiggins/240628/2023,2023-03-06,2023.18,2023-03,2023,Aves,charadriiformes,haematopodidae,haematopus ater,blackish oystercatcher,TRUE,wild,charadriiformes-wild,NA,NA,NA,NA,NA,NA,NA,NA,NA,A,2023-10,2344b,NA,NA,NA,NA,NA,NA,2023-03-06,ha,FALSE,ha,profile001,2023-03-01,2,NA,keep
