segment ...1 tipnames virus.subtype isolate.id isolate.name collection.date collection.datedecimal collection.datemonth host.class host.order host.family host.sciname host.commonname host.isbird host.isdomestic collection.region.name collection.country.name collection.country.code collection.country.lat collection.country.long collection.subdiv1.name collection.subdiv1.code collection.subdiv1.lat collection.subdiv1.long collection.subdiv2.name collection.subdiv2.code collection.subdiv2.lat collection.subdiv2.long clade.x collection.original profile profile.lab genome collection.tipdate group todrop clade tiplocation_lon tiplocation_lat cluster.segment cluster.number
N2 1 H5N2|EPI_ISL_1760455|Anseriformes|china|286|2020-11-10 H5N2 EPI_ISL_1760455 a/whooper_swan/shanxi/sx116/2020 2020-11-10 2020.86 2020-11 Anseriformes_wild Anseriformes Anatidae "cygnus cygnus" "whooper swan" bird wild "eastern asia" china CN 35.86166 104.195397 shanxi CN-14 28.4560996 117.9215965 NA NA NA NA 2.3.4.4b "Asia / China / Shanxi Province / NA / NA" 22_38_22_2_6_66_1_2 NA 286 2020-11-10 1 keep 2.3.4.4b 117.9215965 28.4560996 n2 66
N2 22 H5N2|EPI_ISL_15732741|Passeriformes|japan|297|2022-10-28 H5N2 EPI_ISL_15732741 a/large-billed_crow/hokkaido/b003/2022 2022-10-28 2022.82 2022-10 Passeriformes_wild Passeriformes Corvidae "corvus macrorhynchos" "large-billed crow" bird wild "eastern asia" japan JP 36.204824 138.252924 hokkaido JP-01 44 143 NA NA NA NA 2.3.4.4b "Asia / Japan / Hokkaido / Sapporo / NA" 60_1_78_1_1_78_1_1 NA 297 2022-10-28 NA keep 2.3.4.4b 143 44 n2 78
N2 23 H5N2|EPI_ISL_18284476|Galliformes|japan|NA|2023-01-17 H5N2 EPI_ISL_18284476 A/chicken/Oita/22A4T/2023 2023-01-17 2023.04 2023-01 Galliformes_domestic Galliformes Phasianidae "gallus gallus (domestic type)" "red junglefowl (domestic type)" bird domestic "eastern asia" japan JP 36.204824 138.252924 oita JP-44 33.2395578 131.609272 NA NA NA NA NA NA NA NA NA 2023-01-17 NA keep 2.3.4.4b 131.609272 33.2395578 n2 NA
N2 17 H9N2|EPI_ISL_14867047|Anseriformes|japan|NA|2021-09-01 H9N2 EPI_ISL_14867047 A/Spotbill_duck/Nagasaki/NIES609/2021 2021-09-01 2021.67 2021-09 Anseriformes_wild Anseriformes Anatidae "anas poecilorhyncha" "indian spot-billed duck" bird wild "eastern asia" japan JP 36.204824 138.252924 nagasaki JP-42 32.7502856 129.877667 NA NA NA NA NA NA NA NA NA 2021-09-01 NA keep 2.3.4.4b 129.877667 32.7502856 n2 NA
N2 4 H3N2|EPI_ISL_9572777|Anseriformes|viet_nam|NA|2020-07-29 H3N2 EPI_ISL_9572777 A/duck/Vietnam/HN6471/2020 2020-07-29 2020.57 2020-07 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "south-eastern asia" "viet nam" VN 14.058324 108.277199 NA NA NA NA NA NA NA NA NA NA NA NA NA 2020-07-29 3 keep 2.3.4.4b 108.277199 14.058324 n2 NA
N2 21 H11N2|EPI_ISL_9572797|Anseriformes|viet_nam|NA|2019-12-30 H11N2 EPI_ISL_9572797 A/duck/Vietnam/HN6036/2019 2019-12-30 2019.99 2019-12 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "south-eastern asia" "viet nam" VN 14.058324 108.277199 NA NA NA NA NA NA NA NA NA NA NA NA NA 2019-12-30 NA keep 2.3.4.4b 108.277199 14.058324 n2 NA
N2 3 H5N2|EPI_ISL_china_11|Anseriformes|china|101|2022-01-26 H5N2 EPI_ISL_china_11 a/duck/hunan/01.26_yywlp-o7/2022 2022-01-26 2022.07 2022-01 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "eastern asia" china CN 35.86166 104.195397 hunan CN-43 27.2498042 113.6176643 NA NA NA NA NA "Asia / China / Hunan / NA / NA" 3_14_3_1_15_22_1_2 H5N2/2021/R1_Asia 101 2022-01-26 2 keep 2.3.4.4b 113.6176643 27.2498042 n2 22
N2 8 H6N2|EPI_ISL_16886900|Anseriformes|south_korea|NA|2022-03-02 H6N2 EPI_ISL_16886900 A/Anser_albifrons/South_Korea/50/2022 2022-03-02 2022.16 2022-03 Anseriformes_wild Anseriformes Anatidae "anser albifrons" "greater white-fronted goose" bird wild "eastern asia" "south korea" KR 35.907757 127.766922 NA NA NA NA NA NA NA NA NA NA NA NA NA 2022-03-02 7 keep NA 127.766922 35.907757 n2 NA
N2 16 H5N2|EPI_ISL_6780573|Anseriformes|japan|NA|2020-12-15 H5N2 EPI_ISL_6780573 A/duck/Tottori/311215/2020 2020-12-15 2020.95 2020-12 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "eastern asia" japan JP 36.204824 138.252924 tottori JP-31 35.5011326 134.2350914 NA NA NA NA NA NA NA NA NA 2020-12-15 NA keep NA 134.2350914 35.5011326 n2 NA
N2 12 H3N2|EPI_ISL_14776042|Anseriformes|bangladesh|NA|2020-10-22 H3N2 EPI_ISL_14776042 A/duck/Bangladesh/46090/2020 2020-10-22 2020.81 2020-10 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "southern asia" bangladesh BD 23.684994 90.356331 NA NA NA NA NA NA NA NA NA NA NA NA NA 2020-10-22 NA keep NA 90.356331 23.684994 n2 NA
N2 18 H9N2|EPI_ISL_14835568|Anseriformes|south_korea|NA|2021-03-02 H9N2 EPI_ISL_14835568 Anser_fabalis/South_Korea/KNU2021-39/2021 2021-03-02 2021.16 2021-03 Anseriformes_wild Anseriformes Anatidae "anser fabalis/serrirostris" "taiga/tundra bean-goose" bird wild "eastern asia" "south korea" KR 35.907757 127.766922 NA NA NA NA NA NA NA NA NA NA NA NA NA 2021-03-02 NA keep NA 127.766922 35.907757 n2 NA
N2 19 H4N2|EPI_ISL_503345|Anseriformes|mongolia|NA|2019-09-12 H4N2 EPI_ISL_503345 A/duck/Mongolia/296/2019 2019-09-12 2019.7 2019-09 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "eastern asia" mongolia MN 46.862496 103.846656 NA NA NA NA NA NA NA NA NA NA NA NA NA 2019-09-12 NA keep NA 103.846656 46.862496 n2 NA
N2 27 H5N2|EPI_ISL_369335|NA|south_korea|NA|2017-12-06 H5N2 EPI_ISL_369335 A/wild_bird_feces/Korea/H49/2017 2017-12-06 2017.93 2017-12 unknown NA NA "aves sp." "bird sp." other wild "eastern asia" "south korea" KR 35.907757 127.766922 NA NA NA NA NA NA NA NA NA NA NA NA NA 2017-12-06 NA keep NA 127.766922 35.907757 n2 NA
N2 9 H9N2|EPI_ISL_9593362|Anseriformes|iran|NA|2019-10-01 H9N2 EPI_ISL_9593362 A/Greater_white-fronted_goose/Iran/C2382020/2019 2019-10-01 2019.75 2019-10 Anseriformes_wild Anseriformes Anatidae "anser albifrons/erythropus" "greater/lesser white-fronted goose" bird wild "southern asia" iran IR 32.427908 53.688046 NA NA NA NA NA NA NA NA NA NA NA NA NA 2019-10-01 8 keep NA 53.688046 32.427908 n2 NA
N2 11 H4N2|EPI_ISL_18287397|Anseriformes|thailand|NA|2018-11-01 H4N2 EPI_ISL_18287397 A/duck/Thailand/CU-22668/2018 2018-11-01 2018.83 2018-11 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "south-eastern asia" thailand TH 15.870032 100.992541 NA NA NA NA NA NA NA NA NA NA NA NA NA 2018-11-01 10 keep NA 100.992541 15.870032 n2 NA
N2 13 H6N2|EPI_ISL_244552|Anseriformes|china|NA|2014-12-22 H6N2 EPI_ISL_244552 A/Anser_fabalis/China/Anhui/L180/2014 2014-12-22 2014.97 2014-12 Anseriformes_wild Anseriformes Anatidae "anser fabalis/serrirostris" "taiga/tundra bean-goose" bird wild "eastern asia" china CN 35.86166 104.195397 NA NA NA NA NA NA NA NA NA NA NA NA NA 2014-12-22 NA keep NA 104.195397 35.86166 n2 NA
N2 10 NA|EPI_ISL_209117|Anseriformes|mongolia|NA|2015-08-30 NA EPI_ISL_209117 A/duck/Mongolia/154/2015 2015-08-30 2015.66 2015-08 Anseriformes_wild Anseriformes Anatidae "anatidae (duck sp.)" "duck sp." bird wild "eastern asia" mongolia MN 46.862496 103.846656 NA NA NA NA NA NA NA NA NA NA NA NA NA 2015-08-30 9 keep NA 103.846656 46.862496 n2 NA
N2 20 H6N2|EPI_ISL_243406|Anseriformes|netherlands|NA|2011-11-04 H6N2 EPI_ISL_243406 A/gadwall_duck/Netherlands/1/2011 2011-11-04 2011.84 2011-11 Anseriformes_wild Anseriformes Anatidae "mareca strepera" gadwall bird wild "western europe" netherlands NL 52.132633 5.29126599999995 NA NA NA NA NA NA NA NA NA NA NA NA NA 2011-11-04 NA keep NA 5.29126599999995 52.132633 n2 NA
N2 5 H5N2|EPI_ISL_3229260|Anseriformes|china|NA|2018-12-25 H5N2 EPI_ISL_3229260 A/whooper_swan/Henan/Y127/2018 2018-12-25 2018.98 2018-12 Anseriformes_wild Anseriformes Anatidae "cygnus cygnus" "whooper swan" bird wild "eastern asia" china CN 35.86166 104.195397 henan CN-41 32.1277675 114.0791925 NA NA NA NA NA NA NA NA NA 2018-12-25 4 keep NA 114.0791925 32.1277675 n2 NA
N2 25 H6N2|EPI_ISL_1636527|environment|japan|NA|2018-11-12 H6N2 EPI_ISL_1636527 A/environment/Kagoshima/KU-4a/2018 2018-11-12 2018.86 2018-11 unknown environment environment environment environment other wild "eastern asia" japan JP 36.204824 138.252924 kagoshima JP-46 31.5965535 130.5571158 NA NA NA NA NA NA NA NA NA 2018-11-12 NA keep NA 130.5571158 31.5965535 n2 NA
N2 7 H6N2|EPI_ISL_462611|Anseriformes|china|NA|2019-11-19 H6N2 EPI_ISL_462611 A/mallard/Anhui/2-682/2019 2019-11-19 2019.88 2019-11 Anseriformes_wild Anseriformes Anatidae "anas platyrhynchos" mallard bird wild "eastern asia" china CN 35.86166 104.195397 anhui CN-34 31.844419 117.254331 NA NA NA NA NA NA NA NA NA 2019-11-19 6 keep NA 117.254331 31.844419 n2 NA
N2 26 H4N2|EPI_ISL_700932|NA|china|NA|2019-10-31 H4N2 EPI_ISL_700932 A/wild_bird/China/Y13/2019 2019-10-31 2019.83 2019-10 unknown NA NA "aves sp." "bird sp." other wild "eastern asia" china CN 35.86166 104.195397 NA NA NA NA NA NA NA NA NA NA NA NA NA 2019-10-31 NA keep NA 104.195397 35.86166 n2 NA
N2 14 H4N2|EPI_ISL_17811772|Anseriformes|china|NA|2019-11-09 H4N2 EPI_ISL_17811772 A/Eastern_Spot-billed_Duck/Shanghai/NH19798/2019 2019-11-09 2019.85 2019-11 Anseriformes_wild Anseriformes Anatidae "anas zonorhyncha" "eastern spot-billed duck" bird wild "eastern asia" china CN 35.86166 104.195397 shanghai CN-31 31.230393 121.473704 NA NA NA NA NA NA NA NA NA 2019-11-09 NA keep NA 121.473704 31.230393 n2 NA
N2 15 H6N2|EPI_ISL_462607|Anseriformes|china|NA|2019-11-19 H6N2 EPI_ISL_462607 A/mallard/Anhui/1-451/2019 2019-11-19 2019.88 2019-11 Anseriformes_wild Anseriformes Anatidae "anas platyrhynchos" mallard bird wild "eastern asia" china CN 35.86166 104.195397 anhui CN-34 31.844419 117.254331 NA NA NA NA NA NA NA NA NA 2019-11-19 NA keep NA 117.254331 31.844419 n2 NA
N2 6 H6N2|EPI_ISL_4071038|Anseriformes|south_korea|NA|2019-11-06 H6N2 EPI_ISL_4071038 Anas_crecca/South_Korea/KNU2019-69/2019 2019-11-06 2019.85 2019-11 Anseriformes_wild Anseriformes Anatidae "anas crecca" "green-winged teal" bird wild "eastern asia" "south korea" KR 35.907757 127.766922 NA NA NA NA NA NA NA NA NA NA NA NA NA 2019-11-06 5 keep NA 127.766922 35.907757 n2 NA
N2 24 H9N2|EPI_ISL_13156588|Charadriiformes|china|NA|2020-09-10 H9N2 EPI_ISL_13156588 A/Eurasian_curlew/Shanghai/CM090410/2020 2020-09-10 2020.69 2020-09 Charadriiformes_wild Charadriiformes Scolopacidae "numenius arquata" "eurasian curlew" bird wild "eastern asia" china CN 35.86166 104.195397 shanghai CN-31 31.230393 121.473704 NA NA NA NA NA NA NA NA NA 2020-09-10 NA keep NA 121.473704 31.230393 n2 NA
N2 2 H9N2|EPI_ISL_1760456|Anseriformes|china|NA|2020-11-10 H9N2 EPI_ISL_1760456 A/whooper_swan/Shanxi/SX126/2020 2020-11-10 2020.86 2020-11 Anseriformes_wild Anseriformes Anatidae "cygnus cygnus" "whooper swan" bird wild "eastern asia" china CN 35.86166 104.195397 shanxi CN-14 28.4560996 117.9215965 NA NA NA NA NA NA NA NA NA 2020-11-10 1 keep NA 117.9215965 28.4560996 n2 NA
