tipnames	collection_regionname	collection_countryname	collection_original	host_simplifiedhost	lat	long
H5N5|2344b|EPI_ISL_16209277|anseriformes|russia|2_1_6_1_1_4_1_1|2021-11-08	eastern europe	russia	Europe / Russia / Republic of Kalmykia / NA / NA	anseriformes-wild	46.4151671964121	45.3925155882675
H5N5|2344b|EPI_ISL_18592433|charadriiformes|united_kingdom|2_1_6_1_1_4_1_1|2023-10-10	northern europe	united kingdom	NA	charadriiformes-wild	54.0438440515314	-2.78687513666638
H5N5|2344b|EPI_ISL_18592415|charadriiformes|united_kingdom|2_1_6_1_1_4_1_1|2023-09-25	northern europe	united kingdom	NA	charadriiformes-wild	56.7931587491509	-4.20419908814114
H5N5|2344b|EPI_ISL_18455200|charadriiformes|norway|2_1_6_1_1_4_1_1|2022-06-15	northern europe	norway	NA	charadriiformes-wild	69.9513862077346	25.7942901828565
H5N5|2344b|EPI_ISL_18513245|charadriiformes|norway|2_1_6_1_1_4_1_1|2023-10-17	northern europe	norway	NA	charadriiformes-wild	61.4039788611207	6.56350876344656
H5N5|2344b|EPI_ISL_18455200|charadriiformes|norway|2_1_6_1_1_4_1_1|2022-06-15	northern europe	norway	NA	charadriiformes-wild	63.9836330810339	12.3044196327525
H5N5|2344b|EPI_ISL_16209275|charadriiformes|russia|2_1_6_1_1_4_1_1|2021-04-01	eastern europe	russia	Europe / Russia / Republic of Dagestan / NA / NA	charadriiformes-wild	43.0199724243525	46.8879064209307
H5N5|2344b|EPI_ISL_19055087|passeriformes|japan|2_1_6_1_1_4_1_1|2024-03-16	eastern asia	japan	NA	other	43.3824165431654	142.542521870972
H5N5|2344b|EPI_ISL_19055420|passeriformes|japan|2_1_6_1_1_4_1_1|2024-03-01	eastern asia	japan	NA	other	39.5914074346158	141.361222721758
H5N5|2344b|EPI_ISL_18592416|suliformes|united_kingdom|2_1_6_1_1_4_1_1|2023-10-09	northern europe	united kingdom	NA	other	56.7931587491509	-4.20419908814114
H5N5|2344b|EPI_ISL_18860084|accipitriformes|norway|2_1_6_1_1_4_1_1|2022-02-25	northern europe	norway	NA	other	66.8739426293338	14.6374619966548
H5N5|2344b|EPI_ISL_12754535|accipitriformes|norway|2_1_6_1_1_4_1_1|2022-03-25	northern europe	norway	Europe / Norway / Tromso / NA / NA	other	69.2782075900742	19.5016391581555
H5N5|2344b|EPI_ISL_16209274|pelecaniformes|russia|2_1_6_1_1_4_1_1|2021-04-01	eastern europe	russia	Europe / Russia / Republic of Dagestan / NA / NA	other	43.0199724243525	46.8879064209307
H5N5|2344b|EPI_ISL_3102054|charadriiformes|bulgaria|2_1_6_1_1_4_1_1|2021-03-30	eastern europe	bulgaria	Europe / Bulgaria / Kiten, Burgas / NA / NA	charadriiformes-wild	42.4909591338488	27.308077813051
H5N5|2344b|EPI_ISL_3102055|pelecaniformes|bulgaria|2_1_6_1_1_4_1_1|2021-03-30	eastern europe	bulgaria	Europe / Bulgaria / Kiten, Burgas / NA / NA	other	42.4909591338488	27.308077813051
H5N5|2344b|EPI_ISL_2234821|anseriformes|italy|2_1_6_1_1_4_1_1|2021-01-08	southern europe	italy	Europe / Romania / NA / NA / NA	anseriformes-wild	41.979336323661	12.7721450906831
H5N5|2344b|EPI_ISL_18455201|charadriiformes|norway|2_1_6_1_1_4_1_1|2022-06-15	northern europe	norway	NA	charadriiformes-wild	69.9513862077346	25.7942901828565
H5N5|2344b|EPI_ISL_18455201|charadriiformes|norway|2_1_6_1_1_4_1_1|2022-06-15	northern europe	norway	NA	charadriiformes-wild	63.9836330810339	12.3044196327525
H5N5|2344b|EPI_ISL_18454937|charadriiformes|svalbard_and_jan_mayen|2_1_6_1_1_4_1_1|2022-06-13	northern europe	svalbard and jan mayen	NA	charadriiformes-wild	78.8392895921084	18.3682224736526
H5N5|2344b|EPI_ISL_19014083|charadriiformes|germany|2_1_6_1_1_4_1_1|2024-02-08	western europe	germany	NA	charadriiformes-wild	51.0533277435649	10.373650933319
H5N5|2344b|EPI_ISL_19016255|accipitriformes|united_kingdom|2_1_6_1_1_4_1_1|2024-02-20	northern europe	united kingdom	NA	other	54.0438440515314	-2.78687513666638
H5N5|2344b|EPI_ISL_19053252|procellariiformes|netherlands|2_1_6_1_1_4_1_1|2024-01-24	western europe	netherlands	NA	other	52.5811544669078	4.87272777813315
H5N5|2344b|EPI_ISL_18497662|anseriformes|iceland|2_1_6_1_1_4_1_1|2023-09-25	northern europe	iceland	NA	anseriformes-wild	64.9850461261102	-18.587320734043
H5N5|2344b|EPI_ISL_2234822|anseriformes|italy|2_1_6_1_1_4_1_1|2021-01-12	southern europe	italy	Europe / Romania / NA / NA / NA	anseriformes-wild	41.979336323661	12.7721450906831
H5N5|2344b|EPI_ISL_16209276|anseriformes|russia|2_1_6_1_1_4_1_1|2020-12-29	eastern europe	russia	Europe / Russia / Rostov Oblast / NA / NA	anseriformes-wild	47.725861660493	41.3470662241277
H5N5|2344b|EPI_ISL_18454937|charadriiformes|norway|2_1_6_1_1_4_1_1|2022-06-13	northern europe	norway	NA	charadriiformes-wild	63.9836330810339	12.3044196327525
H5N5|2344b|EPI_ISL_18851332|accipitriformes|norway|2_1_6_1_1_4_1_1|2023-03-13	northern europe	norway	NA	other	59.1011717616927	6.20933683167012
H5N5|2344b|EPI_ISL_18838519|accipitriformes|norway|2_1_6_1_1_4_1_1|2024-01-16	northern europe	norway	NA	other	61.4039788611207	6.56350876344656
H5N5|2344b|EPI_ISL_12754536|accipitriformes|norway|2_1_6_1_1_4_1_1|2022-03-24	northern europe	norway	Europe / Norway / Hitra / NA / NA	other	63.1212358892601	10.3794531007054
H5N5|2344b|EPI_ISL_16209278|strigiformes|russia|2_1_6_1_1_4_1_1|2021-09-28	eastern europe	russia	Europe / Russia / NA / NA / NA	other	66.0376616061812	95.7970903417469
