tipnames	virus.subtype	collection.date	collection.datedecimal	collection.datemonth	collection.region.name	collection.country.name	collection.country.code	collection.country.lat	collection.country.long	collection.subdiv1.name	collection.subdiv1.code	collection.subdiv1.lat	collection.subdiv1.long	collection.original	collection.tipdate	cluster.number	host.order	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_614401.anseriformes.kazakhstan.1.2020-09-23	H5N8	2020-09-23	2020.73	2020-09-01	central asia	kazakhstan	kaz	48.3645677524915	67.2060737287064	aqmola	kz.am	51.7623557428944	69.9739209295215	Asia / Kazakhstan / Akmola / NA / NA	2020-09-23	profile001	anseriformes	69.9739209295215	51.7623557428944
H5N8.2344b.EPI_ISL_644122.anseriformes.russia.1.2020-08-13	H5N8	2020-08-13	2020.61	2020-08-01	central asia	russia	rus	66.0376616061812	95.7970903417469	omsk	ru.om	56.0596108837778	73.3669499849514	Europe / Russia / Omsk Oblast / Omsk region / NA	2020-08-13	profile001	anseriformes	73.3669499849514	56.0596108837778
H5N8.2344b.EPI_ISL_5102449.accipitriformes.germany.1.2020-10-29	H5N8	2020-10-29	2020.83	2020-10-01	western europe	germany	deu	51.0533277435649	10.373650933319	schleswig-holstein	de.sh	54.1814850326718	9.81577342948134	Europe / Germany / Schleswig-Holstein / Nordfriesland / NA	2020-10-29	profile001	accipitriformes	9.81577342948134	54.1814850326718
H5N8.2344b.EPI_ISL_1239110.accipitriformes.sweden.1.2021-02-22	H5N8	2021-02-22	2021.14	2021-02-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	blekinge	se.bl	56.2754954629495	15.2029498652564	Europe / Sweden / Blekinge Lan / Karlshamns Kommun / NA	2021-02-22	profile001	accipitriformes	15.2029498652564	56.2754954629495
H5N8.2344b.EPI_ISL_1389398.accipitriformes.sweden.1.2021-03-15	H5N8	2021-03-15	2021.2	2021-03-01	northern europe	sweden	swe	62.374013544985	16.2835241791686	skåne	se.sn	55.9474024317265	13.595146733816	Europe / Sweden / Skane Lan / Kavlinge Kommun / NA	2021-03-15	profile001	accipitriformes	13.595146733816	55.9474024317265
H5N5.2344b.EPI_ISL_614399.accipitriformes.germany.36.2020-10-29	H5N5	2020-10-29	2020.83	2020-10-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Mecklenburg-Vorpommern / NA / NA	2020-10-29	profile001	accipitriformes	12.5509509363277	53.7551744161606
H5N8.2344b.EPI_ISL_1719914.anseriformes.bulgaria.1.2021-02-04	H5N8	2021-02-04	2021.09	2021-02-01	eastern europe	bulgaria	bgr	42.7584172195881	25.2179149681535	pleven	bg.pv	43.4863324718956	24.6106292568625	Europe / Bulgaria / Slavyanovo / NA / NA	2021-02-04	profile001	anseriformes	24.6106292568625	43.4863324718956
H5N8.2344b.EPI_ISL_14835976.anseriformes.china.1.2020-11-13	H5N8	2020-11-13	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	henan	cn.he	33.8761853651454	113.614527263456	Asia / China / Henan Province / NA / NA	2020-11-13	profile001	anseriformes	113.614527263456	33.8761853651454
H5N8.2344b.EPI_ISL_2555543.anseriformes.china.1.2020-11-12	H5N8	2020-11-12	2020.86	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	hubei	cn.hu	30.9806813015582	112.277189482252	Asia / China / Jiangxi Province / NA / NA	2020-11-12	profile001	anseriformes	112.277189482252	30.9806813015582
H5N8.2344b.EPI_ISL_14822357.anseriformes.china.1.2021-03-11	H5N8	2021-03-11	2021.19	2021-03-01	eastern asia	china	chn	36.6848135465548	103.513718494908	ningxia hui	cn.nx	37.2602231520297	106.161545856493	Asia / China / Ningxia Hui Autonomous Region / NA / NA	2021-03-11	profile001	anseriformes	106.161545856493	37.2602231520297
H5N8.2344b.EPI_ISL_14770172.anseriformes.china.1.2020-11-13	H5N8	2020-11-13	2020.87	2020-11-01	eastern asia	china	chn	36.6848135465548	103.513718494908	shandong	cn.sd	36.3536638777003	118.136153809721	Asia / China / NA / NA / NA	2020-11-13	profile001	anseriformes	118.136153809721	36.3536638777003
H5N8.2344b.EPI_ISL_15435500.anseriformes.china.1.2021-01-21	H5N8	2021-01-21	2021.05	2021-01-01	eastern asia	china	chn	36.6848135465548	103.513718494908	yunnan	cn.yn	24.9645779206387	101.495556215566	Asia / China / Yunnan Province / Huize Black-necked Crane National Nature Reserve, Yunnan Province,China / NA	2021-01-21	profile001	anseriformes	101.495556215566	24.9645779206387
H5N8.2344b.EPI_ISL_5099356.anseriformes.germany.1.2021-02-17	H5N8	2021-02-17	2021.13	2021-02-01	western europe	germany	deu	51.0533277435649	10.373650933319	brandenburg	de.br	52.4686720071996	13.4043192497063	Europe / Germany / Brandenburg / MÃ¤rkisch-Oderland / NA	2021-02-17	profile001	anseriformes	13.4043192497063	52.4686720071996
H5N8.2344b.EPI_ISL_5096070.anseriformes.germany.1.2021-01-20	H5N8	2021-01-20	2021.05	2021-01-01	western europe	germany	deu	51.0533277435649	10.373650933319	mecklenburg-vorpommern	de.mv	53.7551744161606	12.5509509363277	Europe / Germany / Mecklenburg-Vorpommern / Vorpommern-Greifswald / NA	2021-01-20	profile001	anseriformes	12.5509509363277	53.7551744161606
H5N8.2344b.EPI_ISL_5098153.anseriformes.germany.1.2020-11-19	H5N8	2020-11-19	2020.88	2020-11-01	western europe	germany	deu	51.0533277435649	10.373650933319	niedersachsen	de.ni	52.7642105761026	9.16783937293005	Europe / Germany / Lower Saxony / Hannover / NA	2020-11-19	profile001	anseriformes	9.16783937293005	52.7642105761026
