tipnames,sequence_isolate,sequence_id,virus_subtype,collection_date,collection_year,host_commonname,host_sciname,host_order,host_family,host_class,collection_country,collection_subdiv1,collection_subdiv1_hanzi,collection_subdiv2,collection_subdiv2_hanzi,geometry,elevation,elevation_class,old_tipnames
H5N8|2344b|EPI_ISL_14836593|anseriformes|china|NA|2020-12-06,EPI_ISL_14836593,B312,H5N8,2020-12-06,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B312_2020_H5N8
H5N8|2344b|EPI_ISL_14840107|anseriformes|china|NA|2021-03-15,EPI_ISL_14840107,B413,H5N8,2021-03-15,2021,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B413_2021_H5N8
H5N8|2344b|EPI_ISL_14838179|anseriformes|china|NA|2020-12-12,EPI_ISL_14838179,B497,H5N8,2020-12-12,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B497_2020_H5N8
H5N8|2344b|EPI_ISL_14836426|anseriformes|china|NA|2020-12-01,EPI_ISL_14836426,B560,H5N8,2020-12-01,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B560_2020_H5N8
H5N8|2344b|EPI_ISL_14839943|anseriformes|china|NA|2021-01-15,EPI_ISL_14839943,B1109,H5N8,2021-01-15,2021,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B1109_2021_H5N8
H5N8|2344b|EPI_ISL_14840034|anseriformes|china|NA|2020-01-15,EPI_ISL_14840034,B1770,H5N8,2020-01-15,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B1770_2020_H5N8
H5N8|2344b|EPI_ISL_14840053|anseriformes|china|NA|2021-01-21,EPI_ISL_14840053,B2465,H5N8,2021-01-21,2021,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.137646, 34.779495)",345,sea-level,A_Whooper_swan_Sanmenxia_B2465_2021_H5N8
H5N8|2344b|EPI_ISL_14823424|anseriformes|china|NA|2020-10-30,EPI_ISL_14823424,Y1,H5N8,2020-10-30,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y1_2020_H5N8
H5N8|2344b|EPI_ISL_14823425|anseriformes|china|NA|2020-11-04,EPI_ISL_14823425,G2,H5N8,2020-11-04,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_G2_2020_H5N8
H5N8|2344b|EPI_ISL_14823426|anseriformes|china|NA|2020-11-05,EPI_ISL_14823426,Y6,H5N8,2020-11-05,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y6_2020_H5N8
H5N8|2344b|EPI_ISL_14823549|anseriformes|china|NA|2020-11-05,EPI_ISL_14823549,Y8,H5N8,2020-11-05,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y8_2020_H5N8
H5N8|2344b|EPI_ISL_14823646|anseriformes|china|NA|2020-11-08,EPI_ISL_14823646,Y10,H5N8,2020-11-08,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y10_2020_H5N8
H5N8|2344b|EPI_ISL_14823672|anseriformes|china|NA|2020-11-08,EPI_ISL_14823672,Y11,H5N8,2020-11-08,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y11_2020_H5N8
H5N8|2344b|EPI_ISL_14823811|anseriformes|china|NA|2020-11-08,EPI_ISL_14823811,Y12,H5N8,2020-11-08,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y12_2020_H5N8
H5N8|2344b|EPI_ISL_14823812|anseriformes|china|NA|2020-11-09,EPI_ISL_14823812,G13,H5N8,2020-11-09,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_G13_2020_H5N8
H5N8|2344b|EPI_ISL_14823813|anseriformes|china|NA|2020-11-09,EPI_ISL_14823813,Y14,H5N8,2020-11-09,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y14_2020_H5N8
H5N8|2344b|EPI_ISL_14823863|anseriformes|china|NA|2020-11-09,EPI_ISL_14823863,Y51,H5N8,2020-11-09,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y51_2020_H5N8
H5N8|2344b|EPI_ISL_14824026|anseriformes|china|NA|2020-11-10,EPI_ISL_14824026,G15,H5N8,2020-11-10,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_G15_2020_H5N8
H5N8|2344b|EPI_ISL_14824091|anseriformes|china|NA|2020-11-10,EPI_ISL_14824091,Y15,H5N8,2020-11-10,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y15_2020_H5N8
H5N8|2344b|EPI_ISL_14824095|anseriformes|china|NA|2020-11-10,EPI_ISL_14824095,Y16,H5N8,2020-11-10,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y16_2020_H5N8
H5N8|2344b|EPI_ISL_14824122|anseriformes|china|NA|2020-11-10,EPI_ISL_14824122,Y52,H5N8,2020-11-10,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y52_2020_H5N8
H5N8|2344b|EPI_ISL_14835960|anseriformes|china|NA|2020-11-11,EPI_ISL_14835960,H1,H5N8,2020-11-11,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_H1_2020_H5N8
H5N8|2344b|EPI_ISL_14835963|anseriformes|china|NA|2020-11-11,EPI_ISL_14835963,H615,H5N8,2020-11-11,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_H615_2020_H5N8
H5N8|2344b|EPI_ISL_14835964|anseriformes|china|NA|2020-11-11,EPI_ISL_14835964,H735,H5N8,2020-11-11,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_H735_2020_H5N8
H5N8|2344b|EPI_ISL_14835965|anseriformes|china|NA|2020-11-11,EPI_ISL_14835965,H810,H5N8,2020-11-11,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_H810_2020_H5N8
H5N8|2344b|EPI_ISL_14835968|anseriformes|china|NA|2020-11-12,EPI_ISL_14835968,Y24,H5N8,2020-11-12,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y24_2020_H5N8
H5N8|2344b|EPI_ISL_14835971|anseriformes|china|NA|2020-11-13,EPI_ISL_14835971,Y17,H5N8,2020-11-13,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y17_2020_H5N8
H5N8|2344b|EPI_ISL_14835974|anseriformes|china|NA|2020-11-13,EPI_ISL_14835974,Y18,H5N8,2020-11-13,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y18_2020_H5N8
H5N8|2344b|EPI_ISL_14835976|anseriformes|china|NA|2020-11-13,EPI_ISL_14835976,Y56,H5N8,2020-11-13,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y56_2020_H5N8
H5N8|2344b|EPI_ISL_14836024|anseriformes|china|NA|2020-11-14,EPI_ISL_14836024,Y19,H5N8,2020-11-14,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y19_2020_H5N8
H5N8|2344b|EPI_ISL_14836025|anseriformes|china|NA|2020-11-14,EPI_ISL_14836025,Y20,H5N8,2020-11-14,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y20_2020_H5N8
H5N8|2344b|EPI_ISL_14836026|anseriformes|china|NA|2020-11-14,EPI_ISL_14836026,Y21,H5N8,2020-11-14,2020,whooper swan,cygnus cygnus,anseriformes,anatidae,Aves,China,Henan,河南,Sanmenxia,三门峡市,"c(111.2000526, 34.7727068)",391,sea-level,A_Whooper_swan_Sanmenxia_Y21_2020_H5N8
