"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N8|EPI_ISL_2932617|Passeriformes|kazakhstan|1|2020-09-15","H5N8","EPI_ISL_2932617","a/crow/kazakhstan/15-20-b-talg-4/2020","2020-09-15","2020.7","2020-38","Passeriformes","Corvidae","corvus sp.","crow/raven sp.","bird","wild","central asia","kazakhstan","KZ","48.019573","66.923684",NA,NA,NA,NA,NA,NA,NA,NA,"2020-09",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-09","2020-09-15","1","KZ"
"2","H5N8|EPI_ISL_2555536|Charadriiformes|china|1|2020-11-16","H5N8","EPI_ISL_2555536","a/chlidonias_hybrida/hubei/55/2020","2020-11-16","2020.87","2020-47","Charadriiformes","Laridae","chlidonias hybrida","whiskered tern","bird","wild","eastern asia","china","CN","35.86166","104.195397","hubei","CN-42","30.9894798","112.8721355",NA,NA,NA,NA,"2020-11",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-11","2020-11-16","3","CN-42"
"3","H5N8|EPI_ISL_16215736|Galliformes|china|1|2020-12","H5N8","EPI_ISL_16215736","a/chicken/china/jm01/2020",NA,NA,"2020-12","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","china","CN","35.86166","104.195397",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-12","2020-12","3","CN"
"4","H5N8|EPI_ISL_2820259|Anseriformes|china|10|2020-10-15","H5N8","EPI_ISL_2820259","a/common_teal/ningxia/181/2020","2020-10-15","2020.79","2020-42","Anseriformes","Anatidae","anas crecca","green-winged teal","bird","wild","eastern asia","china","CN","35.86166","104.195397","ningxia","CN-64","31.2313805","121.4137827",NA,NA,NA,NA,"2020-10",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-10","2020-10-15","4","CN-64"
"5","H5N8|EPI_ISL_1009700|Anseriformes|south_korea|16|2020-11-26","H5N8","EPI_ISL_1009700","a/spot-billed_duck/korea/wa854/2020","2020-11-26","2020.9","2020-48","Anseriformes","Anatidae","anas zonorhyncha","eastern spot-billed duck","bird","wild","eastern asia","south korea","KR","35.907757","127.766922",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-11","2020-11-26","7","KR"
"6","H5N8|EPI_ISL_17086343|Anseriformes|japan|NA|2020-12-03","H5N8","EPI_ISL_17086343","A/mandarin_duck/Wakayama/3012A002/2020","2020-12-03","2020.92","2020-49","Anseriformes","Anatidae","aix galericulata","mandarin duck","bird","wild","eastern asia","japan","JP","36.204824","138.252924","wakayama","JP-30","34.2305113","135.1708083",NA,NA,NA,NA,"2020-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-12-03","7","JP-30"
"7","H5N8|EPI_ISL_1009697|NA|south_korea|16|2020-11-23","H5N8","EPI_ISL_1009697","a/wild_bird/korea/h357/2020","2020-11-23","2020.89","2020-48","NA","NA","aves sp.","bird sp.","other","wild","eastern asia","south korea","KR","35.907757","127.766922",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-11","2020-11-23","7","KR"
"8","H5N8|EPI_ISL_718106|Galliformes|japan|16|2020-12-07","H5N8","EPI_ISL_718106","a/chicken/miyazaki/d5c/2020","2020-12-07","2020.93","2020-50","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","miyazaki","JP-45","31.9076736","131.4202411",NA,NA,NA,NA,"2020-12",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-12","2020-12-07","7","JP-45"
"9","H5N8|EPI_ISL_710434|Galliformes|japan|16|2020-12-06","H5N8","EPI_ISL_710434","a/chicken/hiroshima/1t/2020","2020-12-06","2020.93","2020-49","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","hiroshima","JP-34","34.3852029","132.4552927",NA,NA,NA,NA,"2020-12",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-12","2020-12-06","8","JP-34"
"10","H5N8|EPI_ISL_17086334|Galliformes|japan|NA|2020-12-12","H5N8","EPI_ISL_17086334","A/chicken/Kochi/T27-22/2020","2020-12-12","2020.95","2020-50","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kochi","JP-39","33.5588035","133.5311675",NA,NA,NA,NA,"2020-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-12-12","8","JP-39"
