"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N1|EPI_ISL_14886675|Anseriformes|bangladesh|19|2021-12-19","H5N1","EPI_ISL_14886675","a/duck/bangladesh/51601/2021","2021-12-19","2021.96","2021-50","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",19,"2021-12","2021-12-19",97,"BD"
"2","H5N1|EPI_ISL_13243698|Anseriformes|bangladesh|19|2021-12-22","H5N1","EPI_ISL_13243698","a/duck/bangladesh/19d1819/2021 /NA","2021-12-22","2021.97","2021-51","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2021-12",2,1,1,1,1,1,1,1,"2_1_1_1_1_1_1_1",19,"2021-12","2021-12-22",NA,"BD"
"3","H4N2|EPI_ISL_4071725|Anseriformes|bangladesh|NA|2019-12-08","H4N2","EPI_ISL_4071725","A/duck/Bangladesh/41653/2019","2019-12-08","2019.93","2019-49","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","southern asia","bangladesh","BD","23.684994","90.356331",NA,NA,NA,NA,NA,NA,NA,NA,"2019-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2019-12-08",NA,"BD"
"4","H5N1|EPI_ISL_16183656|Anseriformes|canada|9|2022-04-27","H5N1","EPI_ISL_16183656","A/Canada_Goose/AB/FAV-0505-19/2022","2022-04-27","2022.32","2022-17","Anseriformes","Anatidae","branta canadensis","canada goose","bird","wild","northern america","canada","CA","56.130366","-106.346771","alberta","CA-AB","53.9332706","-116.5765035",NA,NA,NA,NA,"2022-04",5,3,1,1,2,1,1,4,"5_3_1_1_2_1_1_4",9,"2022-04","2022-04-27",169,"CA-AB"
"5","H5N1|EPI_ISL_16023376|Carnivora|canada|9|2022-05-31","H5N1","EPI_ISL_16023376","A/Skunk/AB/FAV-0835-11/2022","2022-05-31","2022.41","2022-22","Carnivora","Mephitidae","NA","skunk","other","wild","northern america","canada","CA","56.130366","-106.346771","alberta","CA-AB","53.9332706","-116.5765035",NA,NA,NA,NA,"2022-05",5,3,1,1,2,1,1,4,"5_3_1_1_2_1_1_4",9,"2022-05","2022-05-31",169,"CA-AB"
"6","H5N1|EPI_ISL_16023372|Carnivora|canada|9|2022-06-28","H5N1","EPI_ISL_16023372","A/Skunk/AB/FAV-0897-01/2022","2022-06-28","2022.49","2022-26","Carnivora","Mephitidae","NA","skunk","other","wild","northern america","canada","CA","56.130366","-106.346771","alberta","CA-AB","53.9332706","-116.5765035",NA,NA,NA,NA,"2022-06",5,3,1,1,2,1,1,4,"5_3_1_1_2_1_1_4",9,"2022-06","2022-06-28",NA,"CA-AB"
"7","H5N1|EPI_ISL_16183504|Galliformes|canada|9|2022-05-16","H5N1","EPI_ISL_16183504","A/Chicken/AB/FAV-0222-01/2022","2022-05-16","2022.37","2022-20","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","northern america","canada","CA","56.130366","-106.346771","alberta","CA-AB","53.9332706","-116.5765035",NA,NA,NA,NA,"2022-05",5,3,1,1,2,1,1,4,"5_3_1_1_2_1_1_4",9,"2022-05","2022-05-16",NA,"CA-AB"
"8","H5N1|EPI_ISL_16189912|Strigiformes|canada|9|2022-04-28","H5N1","EPI_ISL_16189912","A/Great_Horned_Owl/AB/FAV-0505-19/2022","2022-04-28","2022.32","2022-17","Strigiformes","Strigidae","bubo virginianus","great horned owl","bird","wild","northern america","canada","CA","56.130366","-106.346771","alberta","CA-AB","53.9332706","-116.5765035",NA,NA,NA,NA,"2022-04",5,3,1,1,2,1,1,4,"5_3_1_1_2_1_1_4",9,"2022-04","2022-04-28",169,"CA-AB"
"9","H5N1|EPI_ISL_17051393|Pelecaniformes|canada|9|2022-08-12","H5N1","EPI_ISL_17051393","A/pelican/BC/AIVPHL-229/2022","2022-08-12","2022.61","2022-32","Pelecaniformes","Pelecanidae","pelecanus sp.","pelican sp.","bird","wild","northern america","canada","CA","56.130366","-106.346771","british columbia","CA-BC","53.7266683","-127.6476206",NA,NA,NA,NA,"2022-08",5,3,1,1,2,1,1,4,"5_3_1_1_2_1_1_4",9,"2022-08","2022-08-12",171,"CA-BC"
"10","H5N1|EPI_ISL_17051343|Pelecaniformes|canada|NA|2022-06-02","H5N1","EPI_ISL_17051343","A/american_white_pelican/BC/AIVPHL-141/2022","2022-06-02","2022.42","2022-22","Pelecaniformes","Pelecanidae","pelecanus erythrorhynchos","american white pelican","bird","wild","northern america","canada","CA","56.130366","-106.346771","british columbia","CA-BC","53.7266683","-127.6476206",NA,NA,NA,NA,"2022-06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2022-06-02",171,"CA-BC"
"11","H5N8|EPI_ISL_16209048|Anseriformes|canada|81|2021-09-16","H5N8","EPI_ISL_16209048","a/duck/cambodia/f1pporeu241d3_c/2021","2021-09-16","2021.71","2021-37","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","northern america","canada","CA","56.130366","-106.346771","manitoba","CA-MB","53.7608608","-98.8138763",NA,NA,NA,NA,"2021-09",40,1,12,1,6,2,1,17,"40_1_12_1_6_2_1_17",81,"2021-09","2021-09-16",99,"CA-MB"
"12","H5N8|EPI_ISL_13295078|Anseriformes|canada|81|2021-10-15","H5N8","EPI_ISL_13295078","a/duck/cambodia/f4k241d3_c/2021","2021-10-15","2021.79","2021-41","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","northern america","canada","CA","56.130366","-106.346771","manitoba","CA-MB","53.7608608","-98.8138763",NA,NA,NA,NA,"2021-10",1,1,12,1,6,2,1,17,"1_1_12_1_6_2_1_17",81,"2021-10","2021-10-15",100,"CA-MB"
"13","H5N8|EPI_ISL_13295170|Anseriformes|canada|81|2021-11-16","H5N8","EPI_ISL_13295170","a/duck/cambodia/f6t241d4/2021","2021-11-16","2021.87","2021-46","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","northern america","canada","CA","56.130366","-106.346771","manitoba","CA-MB","53.7608608","-98.8138763",NA,NA,NA,NA,"2021-11",1,1,12,1,6,2,1,17,"1_1_12_1_6_2_1_17",81,"2021-11","2021-11-16",103,"CA-MB"
"14","H5N8|EPI_ISL_17760581|Anseriformes|canada|81|2021-09-16","H5N8","EPI_ISL_17760581","a/duck/cambodia/f1ppchba241d6/2021","2021-09-16","2021.71","2021-37","Anseriformes","Anatidae","anatidae (duck sp.)","duck sp.","bird","wild","northern america","canada","CA","56.130366","-106.346771","manitoba","CA-MB","53.7608608","-98.8138763",NA,NA,NA,NA,"2021-09",1,1,12,1,6,2,1,17,"1_1_12_1_6_2_1_17",81,"2021-09","2021-09-16",104,"CA-MB"
"15","H5N8|EPI_ISL_17088884|Anseriformes|china|1|2021-01-29","H5N8","EPI_ISL_17088884","a/goose/china/1/2021","2021-01-29","2021.08","2021-04","Anseriformes","Anatidae","anatidae (goose sp.)","goose sp.","bird","wild","eastern asia","china","CN","35.86166","104.195397",NA,NA,NA,NA,NA,NA,NA,NA,"2021-01",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2021-01","2021-01-29",NA,"CN"
"16","H5N6|EPI_ISL_372804|Anseriformes|china|NA|2016-04-10","H5N6","EPI_ISL_372804","A/goose/China/GS37-1.seq/2016","2016-04-10","2016.27","2016-14","Anseriformes","Anatidae","anatidae (goose sp.)","goose sp.","bird","wild","eastern asia","china","CN","35.86166","104.195397",NA,NA,NA,NA,NA,NA,NA,NA,"2016-04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-04-10",NA,"CN"
"17","H5N6|EPI_ISL_16886862|Rodentia|china|309|2021-10-01","H5N6","EPI_ISL_16886862","A/Rattus_norvegicus/China/FS21/2021","2021-10-01","2021.75","2021-39","Rodentia","Muridae","rattus norvegicus","brown rat","other","wild","eastern asia","china","CN","35.86166","104.195397",NA,NA,NA,NA,NA,NA,NA,NA,"2021-10",26,23,46,58,13,50,2,30,"26_23_46_58_13_50_2_30",309,"2021-10","2021-10-01",NA,"CN"
"18","H5N8|EPI_ISL_14778363|NA|china|NA|2020-11-25","H5N8","EPI_ISL_14778363","A/Wild_bird/China/Cixi02/2020","2020-11-25","2020.9","2020-48","NA","NA","aves sp.","bird sp.","other","wild","eastern asia","china","CN","35.86166","104.195397",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-11-25",NA,"CN"
"19","H5N8|EPI_ISL_16215736|Galliformes|china|1|2020-12","H5N8","EPI_ISL_16215736","a/chicken/china/jm01/2020",NA,NA,"2020-12","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","china","CN","35.86166","104.195397",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-12","2020-12",NA,"CN"
