tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N8.2344b.EPI_ISL_614401.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-23	H5N8	2020-09-23	2020.73	2020-09	2020	central asia	kazakhstan	48.3645677524915	67.2060737287064	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-wild	69.9739209295215	51.7623557428944
H5N8.2344b.EPI_ISL_615065.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-22	H5N8	2020-09-22	2020.72	2020-09	2020	central asia	kazakhstan	48.3645677524915	67.2060737287064	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_615068.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-20	H5N8	2020-09-20	2020.72	2020-09	2020	central asia	kazakhstan	48.3645677524915	67.2060737287064	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	69.9739209295215	51.7623557428944
H5N8.2344b.EPI_ISL_615072.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-25	H5N8	2020-09-25	2020.73	2020-09	2020	central asia	kazakhstan	48.3645677524915	67.2060737287064	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	64.0853293002361	51.5322283786231
H5N8.2344b.EPI_ISL_615073.anseriformes.kazakhstan.3_2_3_1_1_2_1_2.2020-09-19	H5N8	2020-09-19	2020.72	2020-09	2020	central asia	kazakhstan	48.3645677524915	67.2060737287064	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-domestic	69.2722074369824	53.8421826489217
H5N8.2344b.EPI_ISL_623074.galliformes.iraq.3_2_3_1_1_2_1_2.2020-05-12	H5N8	2020-05-12	2020.36	2020-05	2020	western asia	iraq	33.017872044376	43.8055120134245	profile003	3_2_3_1_1_2_1_2	dominant	galliformes	TRUE	galliformes-domestic	42.4617230992077	35.9913317126514
H5N8.2344b.EPI_ISL_625671.anseriformes.china.3_2_3_1_1_2_1_2.2020-10-17	H5N8	2020-10-17	2020.79	2020-10	2020	eastern asia	china	36.6848135465548	103.513718494908	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-wild	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_625672.anseriformes.china.3_2_3_1_1_2_1_2.2020-10-17	H5N8	2020-10-17	2020.79	2020-10	2020	eastern asia	china	36.6848135465548	103.513718494908	profile003	3_2_3_1_1_2_1_2	dominant	anseriformes	TRUE	anseriformes-wild	113.188484632426	44.083329648604
H5N8.2344b.EPI_ISL_631824.anseriformes.south_korea.6_1_5_2_1_3_1_2.2020-10-21	H5N8	2020-10-21	2020.8	2020-10	2020	eastern asia	south korea	36.341057964317	127.784630688405	profile006	6_1_5_2_1_3_1_2	dominant	anseriformes	TRUE	anseriformes-wild	127.830446360213	36.737850075983
H5N8.2344b.EPI_ISL_666687.anseriformes.south_korea.6_1_5_2_1_3_1_2.2020-10-24	H5N8	2020-10-24	2020.81	2020-10	2020	eastern asia	south korea	36.341057964317	127.784630688405	profile006	6_1_5_2_1_3_1_2	dominant	anseriformes	TRUE	anseriformes-wild	127.181023197189	37.5315346337798
H5N8.2344b.EPI_ISL_682297.environment.japan.6_1_5_2_1_3_1_2.2020-11-09	H5N8	2020-11-09	2020.86	2020-11	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	environment	FALSE	environment	130.419711465505	30.9949222722596
H5N8.2344b.EPI_ISL_708701.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708702.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708703.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708704.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708705.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708706.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708707.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708708.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708709.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708710.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708711.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708712.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708713.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708714.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708715.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708716.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708717.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708718.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708719.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_708720.galliformes.japan.6_1_5_2_1_3_1_2.2020-12-01	H5N8	2020-12-01	2020.92	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile006	6_1_5_2_1_3_1_2	dominant	galliformes	TRUE	galliformes-domestic	133.968927545016	34.217379070784
H5N8.2344b.EPI_ISL_718106.galliformes.japan.9_1_5_2_1_3_1_2.2020-12-07	H5N8	2020-12-07	2020.93	2020-12	2020	eastern asia	japan	37.3996665395305	137.574137168765	profile009	9_1_5_2_1_3_1_2	major	galliformes	TRUE	galliformes-domestic	131.298614512671	32.1919114758892
