id,tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number,collection.datemonth,group,location_code,todrop
ns_africa,H5N8.NA.EPI_ISL_250231.anseriformes.russia.NA.2016-01-01,H5N8,EPI_ISL_250231,A/domestic_duck/Siberia/49_feather/2016,2016-01-01,2016,2016-01,2016,Aves,anseriformes,anatidae,anas platyrhynchos (domestic type),mallard (domestic type),TRUE,domestic,anseriformes-domestic,central asia,russia,rus,66.0376616061812,95.7970903417469,krasnoyarsk,ru.kx,65.951077439978,95.3658732364833,A,2016-53,NA,NA,NA,NA,NA,NA,NA,2016-01-01,ns,FALSE,ns,profileNA,2016-01-01,1,krasnoyarsk,keep
ns_africa,H5N8.2344b.EPI_ISL_9594306.galliformes.egypt.6_2_64_12_34_32_1_2.2020-04-01,H5N8,EPI_ISL_9594306,a/chicken/egypt/s18182c/2020,2020-04-01,2020.25,2020-04,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern africa,egypt,egy,26.5331366423868,29.7934978487062,NA,NA,NA,NA,a,2020-14,2344b,Africa / Egypt / NA / NA / NA,6_2_64_12_34_32_1_2,NA,7,minor,#cc8966,2020-04-01,ns,FALSE,ns,profile002,2020-04-01,1,egypt,keep
ns_africa,H5N8.NA.EPI_ISL_237554.ciconiiformes.india.NA.2016-10-20,H5N8,EPI_ISL_237554,A/painted_stork/India/10CA03/2016,2016-10-20,2016.8,2016-10,2016,Aves,ciconiiformes,ciconiidae,mycteria leucocephala,painted stork,TRUE,wild,other,southern asia,india,ind,22.2417444721501,79.3532012780795,NA,NA,NA,NA,A,2016-42,NA,NA,NA,NA,NA,NA,NA,2016-10-20,ns,FALSE,ns,profileNA,2016-10-01,1,india,keep
ns_africa,H5N1.2344b.EPI_ISL_11798566.anseriformes.denmark.2_1_1_1_1_1_1_1.2021-04-18,H5N1,EPI_ISL_11798566,A/barnacle/goose_Denmark/19027-1.02/2021-04-18/NA,2021-04-18,2021.29,2021-04,2021,Aves,anseriformes,anatidae,branta leucopsis,barnacle goose,TRUE,wild,anseriformes-wild,northern europe,denmark,dnk,55.9512996898935,10.0707816763207,midtjylland,dk.mj,56.2490598335433,9.39675377639095,A,2021-15,2344b,Europe / Denmark / Region Midtjylland / Viborg Kommune / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2021-04-18,ns,FALSE,ns,profile001,2021-04-01,2,denmark,keep
ns_africa,H5N1.2344b.EPI_ISL_5146291.anseriformes.germany.2_1_1_1_1_1_1_1.2021-04-14,H5N1,EPI_ISL_5146291,A/barnacle_goose/Germany-NI/AI03980/2021,2021-04-14,2021.28,2021-04,2021,Aves,anseriformes,anatidae,branta leucopsis,barnacle goose,TRUE,wild,anseriformes-wild,western europe,germany,deu,51.0533277435649,10.373650933319,niedersachsen,de.ni,52.7642105761026,9.16783937293005,A,2021-15,2344b,Europe / Germany / Lower Saxony / Leer / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2021-04-14,ns,FALSE,ns,profile001,2021-04-01,2,germany,keep
ns_africa,H5N1.2344b.EPI_ISL_683592.anseriformes.italy.2_1_1_1_1_1_1_1.2020-11-21,H5N1,EPI_ISL_683592,A/Eurasian_wigeon/Italy/20VIR7301-206/2020,2020-11-21,2020.89,2020-11,2020,Aves,anseriformes,anatidae,mareca americana,american wigeon,TRUE,wild,anseriformes-wild,southern europe,italy,ita,42.7080607219025,12.208345049127,veneto,na,45.6595758067318,11.8428083995249,A,2020-47,2344b,Europe / Italy / Veneto / Province of Venice / Jesolo,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2020-11-21,ns,FALSE,ns,profile001,2020-11-01,2,italy,keep
ns_africa,H5N1.2344b.EPI_ISL_17414662.anseriformes.nigeria.2_1_1_1_1_1_1_1.2021-05-28,H5N1,EPI_ISL_17414662,a/goose/nigeria/vrd-21-293_21vir7423-26/2021,2021-05-28,2021.4,2021-05,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,western africa,nigeria,nga,9.58907159716497,8.08769036750384,lagos,ng.la,6.52719428768168,3.56492158964815,a,2021-21,2344b,Africa / Nigeria / Lagos State / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,2,dominant,#66cc7c,2021-05-28,ns,FALSE,ns,profile001,2021-05-01,2,lagos,keep
ns_africa,H5N1.2344b.EPI_ISL_2227277.anseriformes.netherlands.2_1_1_1_1_1_1_1.2021-05-13,H5N1,EPI_ISL_2227277,A/barnacle_goose/Netherlands/21028534-002/2021,2021-05-13,2021.36,2021-05,2021,Aves,anseriformes,anatidae,branta leucopsis,barnacle goose,TRUE,wild,anseriformes-wild,western europe,netherlands,nld,52.2573048104135,5.56251311224367,gelderland,nl.ge,52.0617180422494,5.94466833784019,A,2021-19,2344b,Europe / Netherlands / Provincie Groningen / Waterhuizen / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2021-05-13,ns,FALSE,ns,profile001,2021-05-01,2,netherlands,keep
ns_africa,H5N1.2344b.EPI_ISL_6596216.anseriformes.sweden.2_1_1_1_1_1_1_1.2021-11-02,H5N1,EPI_ISL_6596216,A/barnacle_goose/Sweden/SVA211102SZ0402/FB004395/M-2021/NA,2021-11-02,2021.84,2021-11,2021,Aves,anseriformes,anatidae,branta leucopsis,barnacle goose,TRUE,wild,anseriformes-wild,northern europe,sweden,swe,62.374013544985,16.2835241791686,skåne,se.sn,55.9474024317265,13.595146733816,A,2021-44,2344b,Europe / Sweden / Skane Lan / Malmo Kommun / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2021-11-02,ns,FALSE,ns,profile001,2021-11-01,2,sweden,keep
ns_africa,H5N1.2344b.EPI_ISL_13370624.anseriformes.united_kingdom.2_1_1_1_1_1_1_1.2021-12-29,H5N1,EPI_ISL_13370624,A/Whooper_swan/England/000556/2021,2021-12-29,2021.99,2021-12,2021,Aves,anseriformes,anatidae,cygnus cygnus,whooper swan,TRUE,wild,anseriformes-wild,northern europe,united kingdom,gbr,54.0438440515314,-2.78687513666638,NA,NA,NA,NA,A,2021-52,2344b,Europe / United Kingdom / England / NA / NA,2_1_1_1_1_1_1_1,H5N1/2020/R2_Europe,5,dominant,#66cc7c,2021-12-29,ns,FALSE,ns,profile001,2021-12-01,2,united kingdom,keep
