tipnames	virus_subtype	collection_regionname	collection_countryname	collection_original	cluster_profile	host_simplifiedhost	lat	long
H5N6|2344b|EPI_ISL_18058056|anseriformes|china|16_8_10_1_8_6_1_8|2021-05-01	H5N6	eastern asia	china	NA	16_8_10_1_8_6_1_8	anseriformes-domestic	30.6066264180489	102.711402322843
H5N6|2344b|EPI_ISL_6760679|anseriformes|china|18_12_18_1_4_12_1_11|2021-07	H5N6	eastern asia	china	Asia / China / Sichuan Province / NA / NA	18_12_18_1_4_12_1_11	anseriformes-wild	30.6066264180489	102.711402322843
H5N6|2344b|EPI_ISL_11208198|anseriformes|china|18_12_18_1_4_12_1_11|2021-11-02	H5N6	eastern asia	china	Asia / China / Yunnan / NA / NA	18_12_18_1_4_12_1_11	anseriformes-wild	24.9645779206387	101.495556215566
H5N6|2344b|EPI_ISL_6914131|galliformes|china|18_12_18_1_4_60_1_11|2021-06-10	H5N6	eastern asia	china	Asia / China / Chongqinq Municipality / NA / NA	18_12_18_1_4_60_1_11	galliformes-domestic	30.0551333912638	107.864488420692
H5N6|2344b|EPI_ISL_6760430|anseriformes|china|18_40_18_1_4_12_1_11|2021-07	H5N6	eastern asia	china	Asia / China / Sichuan Province / NA / NA	18_40_18_1_4_12_1_11	anseriformes-wild	30.6066264180489	102.711402322843
H5N6|2344b|EPI_ISL_6757629|anseriformes|china|26_23_46_1_13_50_1_30|2021-03	H5N6	eastern asia	china	Asia / China / Guangdong Province / NA / NA	26_23_46_1_13_50_1_30	anseriformes-wild	23.33624359406	113.398153372919
H5N1|2344b|EPI_ISL_china_20230835|anseriformes|china|2_1_9_1_1_4_1_1|2021-10-08	H5N1	eastern asia	china	Asia / China / Inner_Mongolia / _Mongolia / _Mongolia	2_1_9_1_1_4_1_1	anseriformes-wild	44.083329648604	113.188484632426
H5N2|2344b|EPI_ISL_china_9|anseriformes|china|3_14_3_1_15_22_1_1|2022-01-26	H5N2	eastern asia	china	Asia / China / Hunan / NA / NA	3_14_3_1_15_22_1_1	anseriformes-wild	27.5978523947888	111.713471439142
H5N2|2344b|EPI_ISL_china_7|anseriformes|china|3_14_3_1_15_22_1_2|2022-01-26	H5N2	eastern asia	china	Asia / China / Hunan / NA / NA	3_14_3_1_15_22_1_2	anseriformes-wild	27.5978523947888	111.713471439142
H5N6|2344b|EPI_ISL_11208200|anseriformes|china|3_18_3_1_16_20_1_11|2021-12-08	H5N6	eastern asia	china	Asia / China / Guangdong / NA / NA	3_18_3_1_16_20_1_11	anseriformes-wild	23.33624359406	113.398153372919
H5N6|2344b|EPI_ISL_11208196|anseriformes|china|3_18_3_1_16_20_1_11|2021-12-01	H5N6	eastern asia	china	Asia / China / Hunan / NA / NA	3_18_3_1_16_20_1_11	anseriformes-wild	27.5978523947888	111.713471439142
H5N8|2344b|EPI_ISL_16215736|galliformes|china|3_2_3_1_1_2_1_2|2020-12	H5N8	eastern asia	china	Asia / China / NA / NA / NA	3_2_3_1_1_2_1_2	galliformes-domestic	36.6848135465548	103.513718494908
H5N8|2344b|EPI_ISL_china_3|galliformes|china|3_2_3_1_1_2_1_2|2021-06-26	H5N8	eastern asia	china	Asia / China / Anhui / NA / NA	3_2_3_1_1_2_1_2	galliformes-domestic	31.8128943962267	117.235219497068
H5N8|2344b|EPI_ISL_977599|anseriformes|china|3_2_3_1_1_2_1_2|2020-12-21	H5N8	eastern asia	china	Asia / China / Shandong Province / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	40.1838367941588	116.40878248942
H5N8|2344b|EPI_ISL_5260452|anseriformes|china|3_2_3_1_1_2_1_2|2021-01-20	H5N8	eastern asia	china	Asia / China / Guangdong / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	23.33624359406	113.398153372919
H5N8|2344b|EPI_ISL_5260422|anseriformes|china|3_2_3_1_1_2_1_2|2021-02-01	H5N8	eastern asia	china	Asia / China / Guangxi / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	23.82591453975	108.782865094166
H5N8|2344b|EPI_ISL_14775517|anseriformes|china|3_2_3_1_1_2_1_2|2021-01	H5N8	eastern asia	china	Asia / China / Hebei Province / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	39.5182972347816	116.100714730353
H5N8|2344b|EPI_ISL_7379465|anseriformes|china|3_2_3_1_1_2_1_2|2021-01	H5N8	eastern asia	china	Asia / China / Henan Province / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	33.8761853651454	113.614527263456
H5N8|2344b|EPI_ISL_5260448|anseriformes|china|3_2_3_1_1_2_1_2|2021-03-19	H5N8	eastern asia	china	Asia / China / Hunan / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	27.5978523947888	111.713471439142
H5N8|2344b|EPI_ISL_2713170|anseriformes|china|3_2_3_1_1_2_1_2|2020-11-16	H5N8	eastern asia	china	Asia / China / Hubei Province / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	30.9806813015582	112.277189482252
H5N8|2344b|EPI_ISL_5260444|anseriformes|china|3_2_3_1_1_2_1_2|2021-03-09	H5N8	eastern asia	china	Asia / China / Jiangxi / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	27.6016362656629	115.709570895796
H5N8|2344b|EPI_ISL_625672|anseriformes|china|3_2_3_1_1_2_1_2|2020-10-17	H5N8	eastern asia	china	Asia / China / Inner Mongolia Autonomous Region / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	44.083329648604	113.188484632426
H5N8|2344b|EPI_ISL_2815336|anseriformes|china|3_2_3_1_1_2_1_2|2020-10-11	H5N8	eastern asia	china	Asia / China / Ningxia Hui Autonomous Region / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	37.2602231520297	106.161545856493
H5N8|2344b|EPI_ISL_1760446|anseriformes|china|3_2_3_1_1_2_1_2|2020-11-09	H5N8	eastern asia	china	Asia / China / Shaanxi Province / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	35.1531910315733	108.845281415025
H5N8|2344b|EPI_ISL_7379464|anseriformes|china|3_2_3_1_1_2_1_2|2021-01	H5N8	eastern asia	china	Asia / China / Sichuan Province / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	30.6066264180489	102.711402322843
H5N8|2344b|EPI_ISL_5260454|anseriformes|china|3_2_3_1_1_2_1_2|2021-02-22	H5N8	eastern asia	china	Asia / China / Shandong / NA / NA	3_2_3_1_1_2_1_2	anseriformes-wild	36.3536638777003	118.136153809721
