tipnames	virus.subtype	host.class	host.order	collection.region.name	clade	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_614401.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile003
H5N8.EPI_ISL_615065.Anseriformes.kazakhstan.1.2020-09-22	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2147	63.6305	profile003
H5N8.EPI_ISL_615072.Anseriformes.kazakhstan.1.2020-09-25	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2147	63.6305	profile003
H5N8.EPI_ISL_14836079.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile003
H5N8.EPI_ISL_625672.Anseriformes.china.1.2020-10-17	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	38.852843	105.7008601	profile003
H5N8.EPI_ISL_615073.Anseriformes.kazakhstan.1.2020-09-19	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2804	69.3762	profile003
H5N8.EPI_ISL_2932619.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile003
H5N8.EPI_ISL_1041133.Galliformes.japan.1.2021-02-08	H5N8	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	34.0702703	134.5548438	profile003
H5N8.EPI_ISL_17086341.environment.japan.NA.2021-02-09	H5N8	unknown	environment	eastern asia	2.3.4.4b	34.0702703	134.5548438	profile003
H5N8.EPI_ISL_1041134.Galliformes.japan.1.2021-02-08	H5N8	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	34.0702703	134.5548438	profile003
