tipnames	virus_subtype	collection_regionname	collection_countryname	cluster_number	host_simplifiedhost	lat	long
H5N5|2344b|EPI_ISL_18851332|accipitriformes|norway|2_1_6_1_1_4_1_1|2023-03-13	H5N5	northern europe	norway	profile0004	other-bird	59.1011717616927	6.20933683167012
H5N5|2344b|EPI_ISL_12754536|accipitriformes|norway|2_1_6_1_1_4_1_1|2022-03-24	H5N5	northern europe	norway	profile0004	other-bird	63.1212358892601	10.3794531007054
H5N5|2344b|EPI_ISL_18592416|suliformes|united_kingdom|2_1_6_1_1_4_1_1|2023-10-09	H5N5	northern europe	united kingdom	profile0004	other-bird	56.7931587491509	-4.20419908814114
H5N5|2344b|EPI_ISL_18592431|charadriiformes|united_kingdom|2_1_6_1_1_4_1_1|2023-10-27	H5N5	northern europe	united kingdom	profile0004	charadriiformes-wild	54.0438440515314	-2.78687513666638
H5N5|2344b|EPI_ISL_18592433|charadriiformes|united_kingdom|2_1_6_1_1_4_1_1|2023-10-10	H5N5	northern europe	united kingdom	profile0004	charadriiformes-wild	54.0438440515314	-2.78687513666638
H5N5|2344b|EPI_ISL_18454937|charadriiformes|svalbard_and_jan_mayen|2_1_6_1_1_4_1_1|2022-06-13	H5N5	northern europe	svalbard and jan mayen	profile0004	charadriiformes-wild	78.8392895921084	18.3682224736526
H5N5|2344b|EPI_ISL_18455201|charadriiformes|norway|2_1_6_1_1_4_1_1|2022-06-15	H5N5	northern europe	norway	profile0004	charadriiformes-wild	69.9513862077346	25.7942901828565
H5N5|2344b|EPI_ISL_16209277|anseriformes|russia|2_1_6_1_1_4_1_1|2021-11-08	H5N5	eastern europe	russia	profile0004	anseriformes-wild	46.4151671964121	45.3925155882675
H5N5|2344b|EPI_ISL_16209278|strigiformes|russia|2_1_6_1_1_4_1_1|2021-09-28	H5N5	eastern europe	russia	profile0004	other-bird	66.0376616061812	95.7970903417469
H5N5|2344b|EPI_ISL_19016256|accipitriformes|united_kingdom|2_1_6_1_1_4_1_1|2024-02-21	H5N5	northern europe	united kingdom	profile0004	other-bird	54.0438440515314	-2.78687513666638
H5N5|2344b|EPI_ISL_18497662|anseriformes|iceland|2_1_6_1_1_4_1_1|2023-09-25	H5N5	northern europe	iceland	profile0004	anseriformes-wild	64.9850461261102	-18.587320734043
H5N5|2344b|EPI_ISL_19053253|procellariiformes|netherlands|2_1_6_1_1_4_1_1|2024-01-25	H5N5	western europe	netherlands	profile0004	other-bird	52.5811544669078	4.87272777813315
H5N5|2344b|EPI_ISL_19014083|charadriiformes|germany|2_1_6_1_1_4_1_1|2024-02-08	H5N5	western europe	germany	profile0004	charadriiformes-wild	51.0533277435649	10.373650933319
H5N5|2344b|EPI_ISL_18838519|accipitriformes|norway|2_1_6_1_1_4_1_1|2024-01-16	H5N5	northern europe	norway	profile0004	other-bird	61.4039788611207	6.56350876344656
H5N5|2344b|EPI_ISL_12754535|accipitriformes|norway|2_1_6_1_1_4_1_1|2022-03-25	H5N5	northern europe	norway	profile0004	other-bird	69.2782075900742	19.5016391581555
H5N5|2344b|EPI_ISL_18860084|accipitriformes|norway|2_1_6_1_1_4_1_1|2022-02-25	H5N5	northern europe	norway	profile0004	other-bird	66.8739426293338	14.6374619966548
H5N5|2344b|EPI_ISL_16209276|anseriformes|russia|2_1_6_1_1_4_1_1|2020-12-29	H5N5	eastern europe	russia	profile0004	anseriformes-wild	47.725861660493	41.3470662241277
H5N5|2344b|EPI_ISL_16209275|charadriiformes|russia|2_1_6_1_1_4_1_1|2021-04-01	H5N5	eastern europe	russia	profile0004	charadriiformes-wild	43.0199724243525	46.8879064209307
H5N5|2344b|EPI_ISL_3102081|anseriformes|italy|2_1_1_1_1_4_1_1|2021-04-08	H5N5	southern europe	italy	profile0004	anseriformes-wild	41.979336323661	12.7721450906831
H5N5|2344b|EPI_ISL_1665258|anseriformes|austria|2_1_1_1_1_4_1_1|2021-02-10	H5N5	western europe	austria	profile0004	anseriformes-wild	47.2699907298467	15.014733244016
H5N5|2344b|EPI_ISL_10364607|anseriformes|czechia|2_1_1_1_1_4_1_1|2021-02-24	H5N5	eastern europe	czechia	profile0004	anseriformes-wild	49.2395239668424	17.7694110590927
H5N5|2344b|EPI_ISL_1665249|galliformes|italy|2_1_1_1_1_4_1_1|2021-02-23	H5N5	southern europe	italy	profile0004	galliformes-domestic	41.979336323661	12.7721450906831
H5N5|2344b|EPI_ISL_1665250|galliformes|slovakia|2_1_1_1_1_4_1_1|2021-01-22	H5N5	eastern europe	slovakia	profile0004	galliformes-domestic	48.353088568306	17.5311650577738
H5N5|2344b|EPI_ISL_1665261|anseriformes|slovakia|2_1_1_1_1_4_1_1|2021-01-29	H5N5	eastern europe	slovakia	profile0004	anseriformes-wild	48.3180982690165	17.1756481471461
H5N5|2344b|EPI_ISL_1665262|anseriformes|slovakia|2_1_1_1_1_4_1_1|2021-01-15	H5N5	eastern europe	slovakia	profile0004	anseriformes-wild	48.3180982690165	17.1756481471461
H5N5|2344b|EPI_ISL_3135926|accipitriformes|hungary|2_1_1_1_1_4_1_1|2021-03-08	H5N5	eastern europe	hungary	profile0004	other-bird	46.4517874466981	17.6018744925749
H5N5|2344b|EPI_ISL_2652004|accipitriformes|sweden|NA|2021-05-24	H5N5	northern europe	sweden	profile0004	other-bird	62.374013544985	16.2835241791686
H5N5|2344b|EPI_ISL_3102054|charadriiformes|bulgaria|2_1_6_1_1_4_1_1|2021-03-30	H5N5	eastern europe	bulgaria	profile0004	charadriiformes-wild	42.4909591338488	27.308077813051
H6N5|2344b|EPI_ISL_18514067|anseriformes|norway|NA|2023-10-08	H6N5	northern europe	norway	profileNA	anseriformes-wild	63.9836330810339	12.3044196327525
H5N5|2344b|EPI_ISL_943553|galliformes|sweden|3_1_2_1_5_5_1_2|2021-01-16	H5N5	northern europe	sweden	profile0005	galliformes-domestic	57.1855292476939	16.1305148015024
H5N5|2344b|EPI_ISL_12980521|galliformes|sweden|3_1_2_1_5_5_1_2|2022-01-21	H5N5	northern europe	sweden	profile0005	galliformes-domestic	57.1855292476939	16.1305148015024
H5N5|2344b|EPI_ISL_436696|galliformes|germany|NA|2017-01-23	H5N5	western europe	germany	profile0005	galliformes-domestic	54.1814850326718	9.81577342948134
H5N5|2344b|EPI_ISL_255189|anseriformes|italy|NA|2017-01-10	H5N5	southern europe	italy	profile0005	anseriformes-wild	42.7080607219025	12.208345049127
H6N5|2344b|EPI_ISL_212380|anseriformes|china|NA|2014-12-02	H6N5	eastern asia	china	profile0005	anseriformes-wild	30.9806813015582	112.277189482252
H6N5|2344b|EPI_ISL_237150|anseriformes|japan|NA|2014-10-01	H6N5	eastern asia	japan	profile0005	anseriformes-wild	35.2533627737984	135.444748136549
H6N5|2344b|EPI_ISL_237141|anseriformes|japan|NA|2014-11-01	H6N5	eastern asia	japan	profile0005	anseriformes-wild	35.0694619009051	132.550118774326
H9N5|2344b|EPI_ISL_203129|charadriiformes|singapore|NA|2015-09-09	H9N5	south-eastern asia	singapore	profile0005	charadriiformes-wild	1.35345915155552	103.815058460924
H12N5|2344b|EPI_ISL_331307|anseriformes|russia|NA|2018-01-23	H12N5	eastern europe	russia	profile0005	anseriformes-wild	43.0199724243525	46.8879064209307
H12N5|2344b|EPI_ISL_502613|anseriformes|belgium|NA|2018-08-29	H12N5	western europe	belgium	profile0005	anseriformes-wild	50.64017310615	4.66939027974939
H12N5|2344b|EPI_ISL_17982398|anseriformes|poland|NA|2018-09-14	H12N5	eastern europe	poland	profile0005	anseriformes-wild	52.1141994014432	19.4236724631525
H7N5|2344b|EPI_ISL_399737|anseriformes|cambodia|NA|2018-04-05	H7N5	south-eastern asia	cambodia	profile0005	anseriformes-wild	12.7097809911859	104.914484966688
H10N5|2344b|EPI_ISL_15620318|environment|bangladesh|NA|2022-01-29	H10N5	southern asia	bangladesh	profile0005	environment	23.8299093538119	90.2865403636969
H10N5|2344b|EPI_ISL_15620315|environment|bangladesh|NA|2022-01-29	H10N5	southern asia	bangladesh	profile0005	environment	23.8299093538119	90.2865403636969
H12N5|2344b|EPI_ISL_1241001|anseriformes|russia|NA|2020-08-29	H12N5	central asia	russia	profile0005	anseriformes-wild	55.2762232202593	79.7845914423443
H5N5|2344b|EPI_ISL_3294584|anseriformes|sweden|3_2_2_1_3_5_1_2|2021-03-30	H5N5	northern europe	sweden	profile0005	anseriformes-wild	59.0743595934023	16.6929745153277
H5N5|2344b|EPI_ISL_644737|falconiformes|denmark|1_2_2_1_5_5_1_2|2020-10-30	H5N5	northern europe	denmark	profile0005	other-bird	55.2791973821106	11.7026524381832
H5N5|2344b|EPI_ISL_18953089|falconiformes|denmark|1_2_2_1_5_5_1_2|2020-10-30	H5N5	northern europe	denmark	profile0005	other-bird	55.9512996898935	10.0707816763207
H5N5|2344b|EPI_ISL_1385792|galliformes|sweden|3_2_2_1_3_5_1_2|2021-03-22	H5N5	northern europe	sweden	profile0005	galliformes-domestic	59.4623673036598	18.1712252623315
H5N5|2344b|EPI_ISL_626647|galliformes|russia|3_2_3_1_3_5_1_2|2020-10-02	H5N5	eastern europe	russia	profile0005	galliformes-domestic	56.0596108837778	73.3669499849514
H5N5|2344b|EPI_ISL_626648|anseriformes|russia|3_2_3_1_3_5_1_2|2020-10-02	H5N5	eastern europe	russia	profile0005	anseriformes-wild	56.0596108837778	73.3669499849514
H5N5|2344b|EPI_ISL_1305777|galliformes|sweden|3_2_2_1_1_5_1_2|2021-03-10	H5N5	northern europe	sweden	profile0005	galliformes-domestic	55.9474024317265	13.595146733816
H5N5|2344b|EPI_ISL_1305779|anseriformes|sweden|3_2_2_1_1_5_1_2|2021-03-10	H5N5	northern europe	sweden	profile0005	anseriformes-wild	55.9474024317265	13.595146733816
H5N5|2344b|EPI_ISL_1391276|accipitriformes|sweden|3_2_2_1_1_5_1_2|2021-02-19	H5N5	northern europe	sweden	profile0005	other-bird	55.9474024317265	13.595146733816
H5N5|2344b|EPI_ISL_3143954|anseriformes|sweden|3_2_2_1_1_5_1_2|2021-07-06	H5N5	northern europe	sweden	profile0005	anseriformes-wild	57.1855292476939	16.1305148015024
H5N5|2344b|EPI_ISL_1305781|anseriformes|sweden|3_2_2_1_3_5_1_2|2021-03-01	H5N5	northern europe	sweden	profile0005	anseriformes-wild	59.0743595934023	16.6929745153277
H5N5|2344b|EPI_ISL_1308010|anseriformes|sweden|3_2_2_1_3_5_1_2|2021-02-26	H5N5	northern europe	sweden	profile0005	anseriformes-wild	57.1855292476939	16.1305148015024
H5N5|2344b|EPI_ISL_614399|accipitriformes|germany|3_2_2_1_3_5_1_2|2020-10-29	H5N5	western europe	germany	profile0005	other-bird	53.7551744161606	12.5509509363277
H5N5|2344b|EPI_ISL_5061617|galliformes|germany|3_2_2_1_3_5_1_2|2020-11-09	H5N5	western europe	germany	profile0005	galliformes-domestic	53.7551744161606	12.5509509363277
H5N5|2344b|EPI_ISL_641378|anseriformes|netherlands|3_2_2_1_3_5_1_2|2020-11-07	H5N5	western europe	netherlands	profile0005	anseriformes-wild	51.9374604216783	4.46477045234472
H5N5|2344b|EPI_ISL_660264|galliformes|belgium|3_2_2_1_3_5_1_2|2020-11-18	H5N5	western europe	belgium	profile0005	galliformes-domestic	51.0391095671615	4.2420548599892
H5N5|2344b|EPI_ISL_722176|anseriformes|sweden|3_2_2_1_3_5_1_2|2020-11-25	H5N5	northern europe	sweden	profile0005	anseriformes-wild	55.9474024317265	13.595146733816
H5N5|2344b|EPI_ISL_1665267|anseriformes|slovenia|3_2_2_1_3_5_1_2|2020-12-24	H5N5	southern europe	slovenia	profile0005	anseriformes-wild	46.124137393352	14.813678667363
H12N5|2344b|EPI_ISL_400270|anseriformes|russia|NA|2019-09-07	H12N5	central asia	russia	profileNA	anseriformes-wild	55.2762232202593	79.7845914423443
H12N5|2344b|EPI_ISL_400276|anseriformes|russia|NA|2019-10-12	H12N5	eastern asia	russia	profileNA	anseriformes-wild	53.5593936765214	109.267398204686
H12N5|2344b|EPI_ISL_400284|anseriformes|russia|NA|2019-09-01	H12N5	central asia	russia	profileNA	anseriformes-wild	56.0596108837778	73.3669499849514
H4N5|2344b|EPI_ISL_84864|anseriformes|japan|NA|2001-01-01	H4N5	eastern asia	japan	profileNA	anseriformes-wild	43.3824165431654	142.542521870972
H4N5|2344b|EPI_ISL_373|anseriformes|japan|NA|2001-01-01	H4N5	eastern asia	japan	profileNA	anseriformes-wild	43.3824165431654	142.542521870972
H10N5|2344b|EPI_ISL_390|anseriformes|mongolia|NA|2003-01-01	H10N5	eastern asia	mongolia	profileNA	anseriformes-wild	46.9660284560213	103.138307461425
