tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,clade,collection_original,cluster_profile,cluster_label,collection_tipdate,collection_dateerror
H9N2|NA|EPI_ISL_8387691|galliformes|morocco|NA|2016-01-26,H9N2,EPI_ISL_8387691,A/chicken/Morocco/19RS1944-2/2016,2016-01-26,2016.07,2016-01,2016,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,northern africa,morocco,mar,31.8293937185367,-6.35032719129954,NA,NA,NA,NA,NA,NA,NA,NA,2016-01-26,FALSE
H5N2|2344b|EPI_ISL_17414667|galliformes|nigeria|2_1_1_1_1_95_36_1|2021-12-28,H5N2,EPI_ISL_17414667,a/chicken/nigeria/743a_22vir3286-80/2021,2021-12-28,2021.99,2021-12,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,bauchi,ng.ba,10.7743712595196,9.98774039325803,2344b,"Africa / Nigeria / Jumpi II, Toro LGA, Bauchi State / NA / NA",2_1_1_1_1_95_36_1,NA,2021-12-28,FALSE
H9N2|NA|EPI_ISL_14768078|galliformes|nigeria|NA|2019-08-02,H9N2,EPI_ISL_14768078,A/chicken/Nigeria/EN-CK26-30T_19VIR8425-19/2019,2019-08-02,2019.58,2019-08,2019,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-08-02,FALSE
H9N2|NA|EPI_ISL_14768079|galliformes|nigeria|NA|2019-07-23,H9N2,EPI_ISL_14768079,A/chicken/Nigeria/AB-L1-4T_19VIR8425-12/2019,2019-07-23,2019.56,2019-07,2019,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-23,FALSE
H9N2|NA|EPI_ISL_14768089|galliformes|nigeria|NA|2019-07-19,H9N2,EPI_ISL_14768089,A/chicken/Nigeria/RV-CK6-10T_19VIR8425-6/2019,2019-07-19,2019.55,2019-07,2019,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-19,FALSE
H9N2|NA|EPI_ISL_14768087|galliformes|nigeria|NA|2019-07-12,H9N2,EPI_ISL_14768087,A/chicken/Nigeria/RV-C11-15OR_19VIR8424-15/2019,2019-07-12,2019.53,2019-07,2019,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-12,FALSE
H9N2|NA|EPI_ISL_14768088|galliformes|nigeria|NA|2019-07-05,H9N2,EPI_ISL_14768088,A/chicken/Nigeria/RV-CK16-20T_19VIR8424-4/2019,2019-07-05,2019.51,2019-07,2019,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-05,FALSE
H9N2|NA|EPI_ISL_14768082|galliformes|nigeria|NA|2019-07-11,H9N2,EPI_ISL_14768082,A/chicken/Nigeria/KD-CK107-111OR_19VIR8424-19/2019,2019-07-11,2019.52,2019-07,2019,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-11,FALSE
H9N2|NA|EPI_ISL_14768096|galliformes|nigeria|NA|2019-07-05,H9N2,EPI_ISL_14768096,A/guinea_fowl/Nigeria/OG-GF6-8T_19VIR8424-5/2019,2019-07-05,2019.51,2019-07,2019,Aves,galliformes,numididae,guttera pucherani/verreauxi/edouardi,crested guineafowl sp.,TRUE,wild,galliformes-wild,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-05,FALSE
H9N2|NA|EPI_ISL_14768094|galliformes|nigeria|NA|2019-07-17,H9N2,EPI_ISL_14768094,A/guinea_fowl/Nigeria/KD-GF152-154T_19VIR8425-1/2019,2019-07-17,2019.54,2019-07,2019,Aves,galliformes,numididae,guttera pucherani/verreauxi/edouardi,crested guineafowl sp.,TRUE,wild,galliformes-wild,western africa,nigeria,nga,9.58907159716497,8.08769036750384,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-17,FALSE
