tipnames	virus.subtype	host.class	host.order	collection.region.name	clade	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_631824.Anseriformes.south_korea.10.2020-10-21	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	36.8	127.7	profile002
H5N8.EPI_ISL_614401.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile002
H5N8.EPI_ISL_644122.Anseriformes.russia.1.2020-08-13	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	54.9885	73.3242	profile002
H5N8.EPI_ISL_615065.Anseriformes.kazakhstan.1.2020-09-22	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2147	63.6305	profile002
H5N8.EPI_ISL_1305776.Galliformes.sweden.1.2021-03-14	H5N8	Galliformes_domestic	Galliformes	northern europe	2.3.4.4b	57.649684	18.714468	profile002
H5N8.EPI_ISL_3102208.Anseriformes.sweden.1.2021-02-01	H5N8	Anseriformes_wild	Anseriformes	northern europe	2.3.4.4b	55.9902572	13.5957691999999	profile002
H5N8.EPI_ISL_1386249.Accipitriformes.sweden.1.2021-03-16	H5N8	Accipitriformes_wild	Accipitriformes	northern europe	2.3.4.4b	57.649684	18.714468	profile002
H5N8.EPI_ISL_1303776.Galliformes.sweden.1.2021-03-13	H5N8	Galliformes_domestic	Galliformes	northern europe	2.3.4.4b	55.9902572	13.5957691999999	profile002
H5N8.EPI_ISL_5095554.Galliformes.germany.1.2021-01-12	H5N8	Galliformes_domestic	Galliformes	western europe	2.3.4.4b	53.6126505	12.4295953	profile002
H5N8.EPI_ISL_5123847.Galliformes.germany.NA.2021-03-11	H5N8	Galliformes_domestic	Galliformes	western europe	2.3.4.4b	54.2193672	9.69611669999995	profile002
H5N8.EPI_ISL_2199986.Anseriformes.poland.NA.2021-02-22	H5N8	Anseriformes_wild	Anseriformes	eastern europe	2.3.4.4b	51.919438	19.145136	profile002
H5N8.EPI_ISL_2932614.Anseriformes.kazakhstan.1.2020-09-21	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	53.2804	69.3762	profile002
H5N8.EPI_ISL_615068.Anseriformes.kazakhstan.1.2020-09-20	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile002
H5N8.EPI_ISL_2932600.Anseriformes.kazakhstan.1.2020-09-01	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	43.255058	76.912628	profile002
H5N8.EPI_ISL_2932608.Galliformes.kazakhstan.1.2020-09-01	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	43.255058	76.912628	profile002
H5N8.EPI_ISL_5096629.Anseriformes.germany.1.2021-01-12	H5N8	Anseriformes_wild	Anseriformes	western europe	2.3.4.4b	52.6367036	9.8450765	profile002
H5N8.EPI_ISL_5095320.Galliformes.germany.1.2021-01-06	H5N8	Galliformes_domestic	Galliformes	western europe	2.3.4.4b	52.6367036	9.8450765	profile002
H5N8.EPI_ISL_2234810.Charadriiformes.italy.1.2021-01-28	H5N8	Charadriiformes_wild	Charadriiformes	southern europe	2.3.4.4b	41.87194	12.56738	profile002
H5N8.EPI_ISL_739687.Galliformes.kazakhstan.1.2020-09-18	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	53.2804	69.3762	profile002
H5N8.EPI_ISL_5099367.Galliformes.germany.1.2021-02-07	H5N8	Galliformes_domestic	Galliformes	western europe	2.3.4.4b	47.795204	12.533457	profile002
H5N8.EPI_ISL_5143586.Galliformes.germany.1.2021-03-24	H5N8	Galliformes_domestic	Galliformes	western europe	2.3.4.4b	51.1045407	13.2017384000001	profile002
H5N8.EPI_ISL_5102136.Galliformes.germany.1.2021-03-02	H5N8	Galliformes_domestic	Galliformes	western europe	2.3.4.4b	47.795204	12.533457	profile002
H5N8.EPI_ISL_666890.Galliformes.croatia.1.2020-11-17	H5N8	Galliformes_domestic	Galliformes	southern europe	2.3.4.4b	46.1568919	16.8390826	profile002
H5N8.EPI_ISL_668456.Falconiformes.sweden.1.2020-11-10	H5N8	Falconiformes_wild	Falconiformes	northern europe	2.3.4.4b	55.9902572	13.5957691999999	profile002
H5N8.EPI_ISL_654958.Anseriformes.italy.1.2020-11-14	H5N8	Anseriformes_wild	Anseriformes	southern europe	2.3.4.4b	45.7223889	11.3879145	profile002
H5N8.EPI_ISL_2113493.Anseriformes.poland.1.2021-03-03	H5N8	Anseriformes_wild	Anseriformes	eastern europe	2.3.4.4b	54.2944252	18.1531164	profile002
H5N8.EPI_ISL_2234811.Anseriformes.france.1.2021-01-07	H5N8	Anseriformes_wild	Anseriformes	western europe	2.3.4.4b	46.2021771	5.22212669999999	profile002
H5N8.EPI_ISL_2113167.Anseriformes.poland.1.2021-02-22	H5N8	Anseriformes_wild	Anseriformes	eastern europe	2.3.4.4b	54.2944252	18.1531164	profile002
H5N8.EPI_ISL_1938478.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	32.1277675	114.0791925	profile002
H5N8.EPI_ISL_1822593.Anseriformes.china.1.2020-11-10	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	28.4560996	117.9215965	profile002
H5N8.EPI_ISL_2713372.Anseriformes.china.1.2020-11-16	H5N8	Anseriformes_wild	Anseriformes	eastern asia	2.3.4.4b	30.9894798	112.8721355	profile002
