tipnames	virus_subtype	collection_date	collection_datedecimal	collection_datemonth	collection_dateyear	collection_regionname	collection_countryname	collection_countrylat	collection_countrylong	cluster_number	profile	cluster_profileclass	host_order	host_isbird	host_simplifiedhost	tiplocation_lon	tiplocation_lat
H5N2.2344b.EPI_ISL_503969.galliformes.bulgaria.1_1_41_12_24_42_11_7.2020-02-21	H5N2	2020-02-21	2020.14	2020-02	2020	eastern europe	bulgaria	42.7584172195881	25.2179149681535	profile042	1_1_41_12_24_42_11_7	minor	galliformes	TRUE	galliformes-domestic	25.2179149681535	42.7584172195881
H5N2.2344b.EPI_ISL_603231.galliformes.bulgaria.1_1_41_12_24_42_11_7.2020-03-02	H5N2	2020-03-02	2020.17	2020-03	2020	eastern europe	bulgaria	42.7584172195881	25.2179149681535	profile042	1_1_41_12_24_42_11_7	minor	galliformes	TRUE	galliformes-domestic	24.8255765075979	42.2564257629518
H5N2.2344b.EPI_ISL_1005680.anseriformes.russia.3_1_44_1_6_46_1_2.2020-08-29	H5N2	2020-08-29	2020.66	2020-08	2020	central asia	russia	66.0376616061812	95.7970903417469	profile046	3_1_44_1_6_46_1_2	minor	anseriformes	TRUE	anseriformes-wild	79.7845914423443	55.2762232202593
H5N2.2344b.EPI_ISL_16253342.anseriformes.netherlands.29_1_2_1_1_79_14_1.2022-11-23	H5N2	2022-11-23	2022.89	2022-11	2022	western europe	netherlands	52.2573048104135	5.56251311224367	profile079	29_1_2_1_1_79_14_1	minor	anseriformes	TRUE	anseriformes-wild	4.46477045234472	51.9374604216783
H5N2.2344b.EPI_ISL_10434072.anseriformes.germany.30_1_2_1_1_40_1_1.2022-01-29	H5N2	2022-01-29	2022.08	2022-01	2022	western europe	germany	51.0533277435649	10.373650933319	profile040	30_1_2_1_1_40_1_1	major	anseriformes	TRUE	anseriformes-wild	9.04442576424602	48.5335196122676
H5N2.2344b.EPI_ISL_10434073.anseriformes.germany.30_1_2_1_1_40_1_1.2022-01-30	H5N2	2022-01-30	2022.08	2022-01	2022	western europe	germany	51.0533277435649	10.373650933319	profile040	30_1_2_1_1_40_1_1	major	anseriformes	TRUE	anseriformes-wild	9.04442576424602	48.5335196122676
H5N2.2344b.EPI_ISL_11922807.galliformes.poland.30_1_2_1_1_40_1_1.2022-02-28	H5N2	2022-02-28	2022.16	2022-02	2022	eastern europe	poland	52.1141994014432	19.4236724631525	profile040	30_1_2_1_1_40_1_1	major	galliformes	TRUE	galliformes-domestic	19.4236724631525	52.1141994014432
H4N2.NA.EPI_ISL_1041179.anseriformes.russia.NA.2020-08-29	H4N2	2020-08-29	2020.66	2020-08	2020	central asia	russia	66.0376616061812	95.7970903417469	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	73.3669499849514	56.0596108837778
H5N2.EAnonGsGD.EPI_ISL_1041174.anseriformes.russia.2_1_58_35_6_46_21_1.2020-08-29	H5N2	2020-08-29	2020.66	2020-08	2020	central asia	russia	66.0376616061812	95.7970903417469	profile046	2_1_58_35_6_46_21_1	minor	anseriformes	TRUE	anseriformes-wild	73.3669499849514	56.0596108837778
H3N2.NA.EPI_ISL_1041175.anseriformes.russia.NA.2020-08-29	H3N2	2020-08-29	2020.66	2020-08	2020	central asia	russia	66.0376616061812	95.7970903417469	profileNA	NA	NA	anseriformes	TRUE	anseriformes-wild	73.3669499849514	56.0596108837778
