id,tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number,collection.datemonth,group,location_code,todrop
mp_europe,H5N8.2344b.EPI_ISL_525453.anseriformes.poland.6_1_5_2_1_3_1_2.2020-02-22,H5N8,EPI_ISL_525453,a/domestic_duck/poland/229/2020,2020-02-22,2020.14,2020-02,2020,Aves,anseriformes,anatidae,anas platyrhynchos (domestic type),mallard (domestic type),TRUE,domestic,anseriformes-domestic,eastern europe,poland,pol,52.1141994014432,19.4236724631525,NA,NA,NA,NA,a,2020-08,2344b,Europe / Poland / NA / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-02-22,mp,FALSE,mp,profile001,2020-02-01,1,poland,keep
mp_europe,H5N8.2344b.EPI_ISL_404993.anseriformes.germany.6_1_5_2_1_3_1_2.2020-01-16,H5N8,EPI_ISL_404993,a/white-fronted_goose/germany-bb/ai00018/2020,2020-01-16,2020.04,2020-01,2020,Aves,anseriformes,anatidae,anser albifrons/erythropus,greater/lesser white-fronted goose,TRUE,wild,anseriformes-wild,western europe,germany,deu,51.0533277435649,10.373650933319,brandenburg,de.br,52.4686720071996,13.4043192497063,a,2020-03,2344b,Europe / Germany / Brandenburg / Spree/NeiÃŸe / /NeiÃŸe,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-01-16,mp,FALSE,mp,profile001,2020-01-01,1,germany,keep
mp_europe,H5N8.2344b.EPI_ISL_833579.anseriformes.hungary.6_1_5_2_1_3_1_2.2020-04-14,H5N8,EPI_ISL_833579,_a/duck/hungary/18414/NA,2020-04-14,2020.28,2020-04,2020,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern europe,hungary,hun,47.1703761996839,19.3977670199114,csongrád,hu.cs,46.4291346697431,20.2330085562192,_a,2020-16,2344b,Europe / Hungary / Csongrad megye / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-04-14,mp,FALSE,mp,profile001,2020-04-01,1,hungary,keep
mp_europe,H5N8.2344b.EPI_ISL_17805914.environment.japan.43_1_5_2_1_3_1_2.2020-12-21,H5N8,EPI_ISL_17805914,A/environment/Japan/KU-G19/2020,2020-12-21,2020.97,2020-12,2020,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,japan,jpn,37.3996665395305,137.574137168765,NA,NA,NA,NA,A,2020-52,2344b,Asia / Japan / NA / NA / NA,43_1_5_2_1_3_1_2,NA,10,minor,#9bcc33,2020-12-21,mp,FALSE,mp,profile001,2020-12-01,1,japan,keep
mp_europe,H5N8.2344b.EPI_ISL_17805898.environment.japan.6_1_5_2_1_3_1_2.2020-11-23,H5N8,EPI_ISL_17805898,A/environment/Japan/KU-G7/2020,2020-11-23,2020.89,2020-11,2020,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,japan,jpn,37.3996665395305,137.574137168765,NA,NA,NA,NA,A,2020-48,2344b,Asia / Japan / NA / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-11-23,mp,FALSE,mp,profile001,2020-11-01,1,japan,keep
mp_europe,H5N8.2344b.EPI_ISL_17805918.environment.japan.6_25_52_2_1_3_1_2.2020-11-30,H5N8,EPI_ISL_17805918,A/environment/Japan/KU-J7/2020,2020-11-30,2020.91,2020-11,2020,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,japan,jpn,37.3996665395305,137.574137168765,NA,NA,NA,NA,A,2020-49,2344b,Asia / Japan / NA / NA / NA,6_25_52_2_1_3_1_2,NA,10,minor,#cc99b1,2020-11-30,mp,FALSE,mp,profile001,2020-11-01,1,japan,keep
mp_europe,H5N8.NA.EPI_ISL_17086226.environment.japan.NA.2020-11-15,H5N8,EPI_ISL_17086226,A/environment/Kagawa/T5-2/2020,2020-11-15,2020.87,2020-11,2020,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,japan,jpn,37.3996665395305,137.574137168765,kagawa,jp.kg,34.217379070784,133.968927545016,A,2020-46,2344b,NA,NA,NA,NA,NA,NA,2020-11-15,mp,FALSE,mp,profile001,2020-11-01,1,kagawa,keep
mp_europe,H5N8.2344b.EPI_ISL_418266.galliformes.czechia.6_1_5_2_1_3_1_2.2020-02-17,H5N8,EPI_ISL_418266,a/turkey/czech_republic/3071/2020,2020-02-17,2020.13,2020-02,2020,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,eastern europe,czechia,cze,49.7450575142012,15.3371651897674,pardubický,cz.ek,49.9006406346158,16.1892997029385,a,2020-08,2344b,"Europe / Czech Republic / Pardubicky kraj / Okres Pardubice / Slepotice, Moravany",6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-02-17,mp,FALSE,mp,profile001,2020-02-01,1,czechia,keep
mp_europe,H5N8.2344b.EPI_ISL_419314.galliformes.germany.6_1_5_2_1_3_1_2.2020-03-27,H5N8,EPI_ISL_419314,a/turkey/germany-st/ai00352/2020,2020-03-27,2020.23,2020-03,2020,Aves,galliformes,phasianidae,meleagris gallopavo (domestic type),wild turkey (domestic type),TRUE,domestic,galliformes-domestic,western europe,germany,deu,51.0533277435649,10.373650933319,sachsen-anhalt,de.st,52.0090264158216,11.7027467770331,a,2020-13,2344b,Europe / Germany / Saxony-Anhalt / BÃ¶rde / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-03-27,mp,FALSE,mp,profile001,2020-03-01,1,germany,keep
mp_europe,H5N8.2344b.EPI_ISL_811128.galliformes.hungary.6_1_5_2_1_3_1_2.2020-04-14,H5N8,EPI_ISL_811128,_a/chicken/hungary/18467/NA,2020-04-14,2020.28,2020-04,2020,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern europe,hungary,hun,47.1703761996839,19.3977670199114,bács-kiskun,hu.bk,46.5624446150372,19.3734257652929,_a,2020-16,2344b,Europe / Hungary / Bacs-Kiskun / NA / NA,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10,dominant,#b199cc,2020-04-14,mp,FALSE,mp,profile001,2020-04-01,1,hungary,keep
