"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N8|EPI_ISL_615072|Anseriformes|kazakhstan|1|2020-09-25","H5N8","EPI_ISL_615072","a/domestic_duck/kazakhstan/1-274-20-b/2020","2020-09-25","2020.73","2020-39","Anseriformes","Anatidae","anas platyrhynchos (domestic type)","mallard (domestic type)","bird","domestic","central asia","kazakhstan","KZ","48.019573","66.923684",NA,NA,NA,NA,NA,NA,NA,NA,"2020-09",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-09","2020-09-25","1","KZ"
"2","H5N8|EPI_ISL_14823405|Anseriformes|china|NA|2021-01-27","H5N8","EPI_ISL_14823405","A/Wild_geese/Hubei/H358/2021","2021-01-27","2021.07","2021-04","Anseriformes","Anatidae","anatidae (goose sp.)","goose sp.","bird","wild","eastern asia","china","CN","35.86166","104.195397","hubei","CN-42","30.9894798","112.8721355",NA,NA,NA,NA,"2021-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2021-01-27","1","CN-42"
"3","H5N8|EPI_ISL_2932682|Columbiformes|kazakhstan|1|2020-09-15","H5N8","EPI_ISL_2932682","a/pigeon/kazakhstan/15-20-b-talg-5/2020","2020-09-15","2020.7","2020-38","Columbiformes","Columbidae","columbidae sp.","pigeon/dove sp.","bird","wild","central asia","kazakhstan","KZ","48.019573","66.923684",NA,NA,NA,NA,NA,NA,NA,NA,"2020-09",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-09","2020-09-15","1","KZ"
"4","H5N8|EPI_ISL_1009707|NA|south_korea|1|2020-12-14","H5N8","EPI_ISL_1009707","a/wild_bird/korea/h467/2020","2020-12-14","2020.95","2020-51","NA","NA","aves sp.","bird sp.","other","wild","eastern asia","south korea","KR","35.907757","127.766922",NA,NA,NA,NA,NA,NA,NA,NA,"2020-12",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-12","2020-12-14","1","KR"
"5","H5N8|EPI_ISL_1273426|Galliformes|japan|10|2020-11-12","H5N8","EPI_ISL_1273426","a/chicken/kagawa/d3t/2020","2020-11-12","2020.86","2020-46","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-12","4","JP-37"
"6","H5N8|EPI_ISL_17086225|environment|japan|NA|2020-11-11","H5N8","EPI_ISL_17086225","A/environment/Kagawa/T3-7/2020","2020-11-11","2020.86","2020-46","environment","environment","environment","environment","other","wild","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-11-11","4","JP-37"
"7","H5N8|EPI_ISL_16718460|Accipitriformes|japan|16|2021-02-01","H5N8","EPI_ISL_16718460","a/eastern_buzzard/kagoshima/ku-100/NA","2021-02-01","2021.08","2021-05","Accipitriformes","Accipitridae","buteo japonicus","eastern buzzard","bird","wild","eastern asia","japan","JP","36.204824","138.252924","kagoshima","JP-46","31.5965535","130.5571158",NA,NA,NA,NA,"2021-02",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2021-02","2021-02-01","6","JP-46"
"8","H5N8|EPI_ISL_1009700|Anseriformes|south_korea|16|2020-11-26","H5N8","EPI_ISL_1009700","a/spot-billed_duck/korea/wa854/2020","2020-11-26","2020.9","2020-48","Anseriformes","Anatidae","anas zonorhyncha","eastern spot-billed duck","bird","wild","eastern asia","south korea","KR","35.907757","127.766922",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-11","2020-11-26","6","KR"
"9","H5N8|EPI_ISL_17805822|NA|japan|16|2021-02-01","H5N8","EPI_ISL_17805822","a/avian/japan/ku-100/2021","2021-02-01","2021.08","2021-05","NA","NA","aves sp.","bird sp.","other","wild","eastern asia","japan","JP","36.204824","138.252924",NA,NA,NA,NA,NA,NA,NA,NA,"2021-02",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2021-02","2021-02-01","6","JP"
"10","H5N8|EPI_ISL_681281|Anseriformes|japan|10|2020-11-16","H5N8","EPI_ISL_681281","a/swan/niigata/151118/2020","2020-11-16","2020.87","2020-47","Anseriformes","Anatidae","cygnus sp.","swan sp.","bird","wild","eastern asia","japan","JP","36.204824","138.252924","niigata","JP-15","37.9161924","139.0364126",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-16","9","JP-15"
"11","H5N8|EPI_ISL_1273420|Galliformes|japan|10|2020-11-07","H5N8","EPI_ISL_1273420","a/chicken/kagawa/b7t/2020","2020-11-07","2020.85","2020-45","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-07","12","JP-37"
"12","H5N8|EPI_ISL_4105028|Galliformes|japan|NA|2020-01-01","H5N8","EPI_ISL_4105028","A/chicken/Miyazaki/E3T/2020","2020-01-01","2020","2020-01","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","miyazaki","JP-45","31.9076736","131.4202411",NA,NA,NA,NA,"2020-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-01-01","15","JP-45"
"13","H5N8|EPI_ISL_732934|Galliformes|japan|16|2020-12-15","H5N8","EPI_ISL_732934","a/chicken/kochi/7t/2020","2020-12-15","2020.95","2020-51","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kochi","JP-39","33.5588035","133.5311675",NA,NA,NA,NA,"2020-12",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-12","2020-12-15","18","JP-39"
