segment ...1 tipnames virus.subtype isolate.id isolate.name collection.date collection.datedecimal collection.datemonth host.class host.order host.family host.sciname host.commonname host.isbird host.isdomestic collection.region.name collection.country.name collection.country.code collection.country.lat collection.country.long collection.subdiv1.name collection.subdiv1.code collection.subdiv1.lat collection.subdiv1.long collection.subdiv2.name collection.subdiv2.code collection.subdiv2.lat collection.subdiv2.long clade.x collection.original profile profile.lab genome collection.tipdate group todrop clade tiplocation_lon tiplocation_lat cluster.segment cluster.number
NP 473 H5N8|EPI_ISL_614401|Anseriformes|kazakhstan|1|2020-09-23 H5N8 EPI_ISL_614401 a/mute_swan/kazakhstan/1-267-20-b/2020 2020-09-23 2020.73 2020-09 Anseriformes_wild Anseriformes Anatidae "cygnus olor" "mute swan" bird wild "central asia" kazakhstan KZ 48.019573 66.923684 "aqmola oblysy" KZ-AKM 51.2105 71.4676 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / Akmola / NA / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-23 NA keep 2.3.4.4b 71.4676 51.2105 np 1
NP 1 H5N8|EPI_ISL_615068|Anseriformes|kazakhstan|1|2020-09-20 H5N8 EPI_ISL_615068 a/domestic_goose/kazakhstan/1-248_2-20-b/2020 2020-09-20 2020.72 2020-09 Anseriformes_domestic Anseriformes Anatidae "anser sp. (domestic type)" "domestic goose sp. (domestic type)" bird domestic "central asia" kazakhstan KZ 48.019573 66.923684 "aqmola oblysy" KZ-AKM 51.2105 71.4676 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / Akmola / NA / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-20 1 keep 2.3.4.4b 71.4676 51.2105 np 1
NP 7 H5N8|EPI_ISL_654838|Galliformes|russia|1|2020-08-27 H5N8 EPI_ISL_654838 A/chicken/Kurgan/1010/2020 2020-08-27 2020.65 2020-08 Galliformes_domestic Galliformes Phasianidae "gallus gallus (domestic type)" "red junglefowl (domestic type)" bird domestic "central asia" russia RU 61.52401 105.318756 "kurganskaya oblast'" RU-KGN 55.4312 65.3549 NA NA NA NA 2.3.4.4b "Europe / Russia / Kurgan region / NA / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-08-27 1 keep 2.3.4.4b 65.3549 55.4312 np 1
NP 3 H5N8|EPI_ISL_654839|Anseriformes|russia|1|2020-08-27 H5N8 EPI_ISL_654839 A/goose/Kurgan/01/2020 2020-08-27 2020.65 2020-08 Anseriformes_wild Anseriformes Anatidae "anatidae (goose sp.)" "goose sp." bird wild "central asia" russia RU 61.52401 105.318756 "kurganskaya oblast'" RU-KGN 55.4312 65.3549 NA NA NA NA 2.3.4.4b "Europe / Russia / Kurgan region / NA / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-08-27 1 keep 2.3.4.4b 65.3549 55.4312 np 1
NP 8 H5N8|EPI_ISL_1114735|Galliformes|russia|1|2020-09-26 H5N8 EPI_ISL_1114735 A/chicken/Tyumen/302-01/2020 2020-09-26 2020.73 2020-09 Galliformes_domestic Galliformes Phasianidae "gallus gallus (domestic type)" "red junglefowl (domestic type)" bird domestic "eastern asia" russia RU 61.52401 105.318756 "tyumenskaya oblast'" RU-TYU 49.5884314 117.4794621 NA NA NA NA 2.3.4.4b "Europe / Russia / Tyumen Oblast / Tyumen / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-26 1 keep 2.3.4.4b 117.4794621 49.5884314 np 1
NP 6 H5N8|EPI_ISL_2932683|Galliformes|kazakhstan|1|2020-10-09 H5N8 EPI_ISL_2932683 a/chicken/kazakhstan/1-20-b-talg-67/2020 2020-10-09 2020.77 2020-10 Galliformes_domestic Galliformes Phasianidae "gallus gallus (domestic type)" "red junglefowl (domestic type)" bird domestic "central asia" kazakhstan KZ 48.019573 66.923684 "soltüstik quzaqstan oblysy" KZ-SEV 53.2804 69.3762 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / North Kazakhstan / Tayinshinsky district, Roshchinsky, Dimitrovka village / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-10-09 1 keep 2.3.4.4b 69.3762 53.2804 np 1
NP 601 H5N8|EPI_ISL_739687|Galliformes|kazakhstan|1|2020-09-18 H5N8 EPI_ISL_739687 a/chicken/kazakhstan/kn-6/2020 2020-09-18 2020.71 2020-09 Galliformes_domestic Galliformes Phasianidae "gallus gallus (domestic type)" "red junglefowl (domestic type)" bird domestic "central asia" kazakhstan KZ 48.019573 66.923684 "soltüstik quzaqstan oblysy" KZ-SEV 53.2804 69.3762 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / North Kazakhstan / NA / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-18 NA keep 2.3.4.4b 69.3762 53.2804 np 1
NP 475 H5N8|EPI_ISL_2932614|Anseriformes|kazakhstan|1|2020-09-21 H5N8 EPI_ISL_2932614 a/swan/kazakhstan/9-20-b-talg-39/2020 2020-09-21 2020.72 2020-09 Anseriformes_wild Anseriformes Anatidae "cygnus sp." "swan sp." bird wild "central asia" kazakhstan KZ 48.019573 66.923684 "soltüstik quzaqstan oblysy" KZ-SEV 53.2804 69.3762 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / North Kazakhstan / Mamlyutsky district, Mamlyutsky, Mamlyutka village / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-21 NA keep 2.3.4.4b 69.3762 53.2804 np 1
NP 191 H5N8|EPI_ISL_2932600|Anseriformes|kazakhstan|1|2020-09-01 H5N8 EPI_ISL_2932600 a/goose/kazakhstan/4-190-20-b-h5n8-1/2020 2020-09-01 2020.67 2020-09 Anseriformes_wild Anseriformes Anatidae "anatidae (goose sp.)" "goose sp." bird wild "central asia" kazakhstan KZ 48.019573 66.923684 "almaty oblysy" KZ-ALM 43.255058 76.912628 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-01 69 keep 2.3.4.4b 76.912628 43.255058 np 1
NP 192 H5N8|EPI_ISL_2932608|Galliformes|kazakhstan|1|2020-09-01 H5N8 EPI_ISL_2932608 a/chicken/kazakhstan/220-b-2-h5n8-4/2020 2020-09-01 2020.67 2020-09 Galliformes_domestic Galliformes Phasianidae "gallus gallus (domestic type)" "red junglefowl (domestic type)" bird domestic "central asia" kazakhstan KZ 48.019573 66.923684 "almaty oblysy" KZ-ALM 43.255058 76.912628 NA NA NA NA 2.3.4.4b "Asia / Kazakhstan / Almaty Province / Karasai district, Umtyl, Merei village / NA" 3_2_3_1_1_2_1_2 H5N8/2020/R2_Asia 1 2020-09-01 69 keep 2.3.4.4b 76.912628 43.255058 np 1
