"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N8|EPI_ISL_5260466|Podicipediformes|china|1|2021-02-22","H5N8","EPI_ISL_5260466","a/grebe/shandong/sc184/2021","2021-02-22","2021.14","2021-08","Podicipediformes","Podicipedidae","podicipedidae sp.","grebe sp.","bird","wild","eastern asia","china","CN","35.86166","104.195397","shandong","CN-37","36.674306","117.059933",NA,NA,NA,NA,"2021-02",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2021-02","2021-02-22","1","CN-37"
"2","H5N8|EPI_ISL_16405657|environment|japan|10|2020-11-16","H5N8","EPI_ISL_16405657","a/environment/kagoshima/ku-h6/NA","2020-11-16","2020.87","2020-47","environment","environment","environment","environment","other","wild","eastern asia","japan","JP","36.204824","138.252924","kagoshima","JP-46","31.5965535","130.5571158",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-16","2","JP-46"
"3","H5N8|EPI_ISL_681272|Galliformes|japan|10|2020-11-19","H5N8","EPI_ISL_681272","a/chicken/kagawa/f3c/2020","2020-11-19","2020.88","2020-47","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-19","3","JP-37"
"4","H5N8|EPI_ISL_17086225|environment|japan|NA|2020-11-11","H5N8","EPI_ISL_17086225","A/environment/Kagawa/T3-7/2020","2020-11-11","2020.86","2020-46","environment","environment","environment","environment","other","wild","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-11-11","3","JP-37"
"5","H5N8|EPI_ISL_708713|Galliformes|japan|10|2020-12-01","H5N8","EPI_ISL_708713","a/chicken/kagawa/j4c/2020","2020-12-01","2020.92","2020-49","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-12",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-12","2020-12-01","6","JP-37"
"6","H5N8|EPI_ISL_4105028|Galliformes|japan|NA|2020-01-01","H5N8","EPI_ISL_4105028","A/chicken/Miyazaki/E3T/2020","2020-01-01","2020","2020-01","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","miyazaki","JP-45","31.9076736","131.4202411",NA,NA,NA,NA,"2020-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-01-01","7","JP-45"
"7","H5N8|EPI_ISL_17086333|environment|japan|NA|2020-12-12","H5N8","EPI_ISL_17086333","A/environment/Shiga/T23-2/2020","2020-12-12","2020.95","2020-50","environment","environment","environment","environment","other","wild","eastern asia","japan","JP","36.204824","138.252924","shiga","JP-25","35.2771489","136.2463682",NA,NA,NA,NA,"2020-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-12-12","7","JP-25"
"8","H5N8|EPI_ISL_738059|Galliformes|japan|10|2020-12-18","H5N8","EPI_ISL_738059","a/chicken/tokushima/3t/2020","2020-12-18","2020.96","2020-51","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","tokushima","JP-36","34.0702703","134.5548438",NA,NA,NA,NA,"2020-12",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-12","2020-12-18","10","JP-36"
"9","H5N8|EPI_ISL_1273421|Galliformes|japan|10|2020-11-07","H5N8","EPI_ISL_1273421","a/chicken/kagawa/b9t/2020","2020-11-07","2020.85","2020-45","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-07","13","JP-37"
"10","H5N8|EPI_ISL_17086229|environment|japan|NA|2020-12-02","H5N8","EPI_ISL_17086229","A/environment/Miyazaki/T12-8/2020","2020-12-02","2020.92","2020-49","environment","environment","environment","environment","other","wild","eastern asia","japan","JP","36.204824","138.252924","miyazaki","JP-45","31.9076736","131.4202411",NA,NA,NA,NA,"2020-12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-12-02","16","JP-45"
