tipnames,virus_subtype,isolate_id,isolate_name,collection_date,collection_datedecimal,collection_datemonth,collection_dateyear,host_class,host_order,host_family,host_sciname,host_commonname,host_isbird,host_isdomestic,host_simplifiedhost,collection_regionname,collection_countryname,collection_countrycode,collection_countrylat,collection_countrylong,collection_subdiv1name,collection_subdiv1code,collection_subdiv1lat,collection_subdiv1long,virus_species,week_date,...1,clade,collection_original,profile,profile_lab,genome,cluster_profileclass,cluster_profilecolour,collection_tipdate,segment,collection_dateerror,cluster_segment,cluster_number
H5N6.NA.EPI_ISL_833248.anseriformes.china.NA.2020-08-12,H5N6,EPI_ISL_833248,A/Muscovy_duck/China/FJFZ21/H5N6/2020,2020-08-12,2020.61,2020-08,2020,Aves,anseriformes,anatidae,cairina moschata,muscovy duck,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,NA,NA,NA,NA,A,2020-33,3697,NA,NA,NA,NA,NA,NA,NA,2020-08-12,n6,FALSE,n6,profileNA
H5N6.2344b.EPI_ISL_6759148.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6759148,a/goose/sichuan/21765-8/2021,NA,NA,2021-06,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6914131.galliformes.china.18_12_18_1_4_60_1_11.2021-06-10,H5N6,EPI_ISL_6914131,a/chicken/chongqing/h1/2021,2021-06-10,2021.44,2021-06,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,chongqing,cn.cq,30.0551333912638,107.864488420692,a,2021-23,491,2344b,Asia / China / Chongqinq Municipality / NA / NA,18_12_18_1_4_60_1_11,NA,61,minor,#33cc79,2021-06-10,n6,FALSE,n6,profile060
H5N6.2344b.EPI_ISL_7983813.unknown.china.20_13_27_1_11_24_1_9.2021-12-22,H5N6,EPI_ISL_7983813,a/hangzhou/01/2021,2021-12-22,2021.97,2021-12,2021,unknown,unknown,unknown,homo sapiens,unknown,FALSE,wild,unknown,eastern asia,china,chn,36.6848135465548,103.513718494908,zhejiang,cn.zj,29.1745873279179,120.086382279697,a,2021-51,521,2344b,Asia / China / Zhejiang Province / Hangzhou / NA,20_13_27_1_11_24_1_9,H5N6/2021/R2_Asia,73,major,#66cc9c,2021-12-22,n6,FALSE,n6,profile024
H5N6.2344b.EPI_ISL_16208999.unknown.china.3_36_3_1_16_20_1_11.2021-09-19,H5N6,EPI_ISL_16208999,a/guangdong/lgf/2021,2021-09-19,2021.72,2021-09,2021,unknown,unknown,unknown,homo sapiens,unknown,FALSE,wild,unknown,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,2021-37,494,2344b,Asia / China / Guangdong Province / NA / NA,3_36_3_1_16_20_1_11,NA,126,minor,#8f66cc,2021-09-19,n6,FALSE,n6,profile020
H5N6.2344b.EPI_ISL_3090099.unknown.china.18_12_18_1_4_12_1_11.2021-07-03,H5N6,EPI_ISL_3090099,a/sichuan/06681/2021,2021-07-03,2021.5,2021-07,2021,unknown,unknown,unknown,homo sapiens,unknown,FALSE,wild,unknown,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,2021-26,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021-07-03,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_3770740.unknown.china.20_13_68_1_11_38_1_9.2021-07-14,H5N6,EPI_ISL_3770740,a/gx-guilin/11151/2021,2021-07-14,2021.53,2021-07,2021,unknown,unknown,unknown,homo sapiens,unknown,FALSE,wild,unknown,eastern asia,china,chn,36.6848135465548,103.513718494908,guangxi,cn.gx,23.82591453975,108.782865094166,a,2021-28,495,2344b,Asia / China / Guangxi Zhuang Autonomous Region / NA / NA,20_13_68_1_11_38_1_9,NA,73,minor,#333fcc,2021-07-14,n6,FALSE,n6,profile038
H5N6.2344b.EPI_ISL_6757629.anseriformes.china.26_23_46_1_13_50_1_30.2021,H5N6,EPI_ISL_6757629,a/duck/guangdong/21314/2021,NA,NA,2021-03,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,26_23_46_1_13_50_1_30,NA,290,minor,#cc7466,2021,n6,FALSE,n6,profile050
H5N6.2344b.EPI_ISL_6757630.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6757630,a/goose/sichuan/21406-5/2021,NA,NA,2021-04,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6757631.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6757631,a/duck/sichuan/21406-8/2021,NA,NA,2021-04,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6758007.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6758007,a/goose/sichuan/21418-2/2021,NA,NA,2021-04,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760430.anseriformes.china.18_40_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760430,a/duck/sichuan/21826-1/2021,NA,NA,2021-07,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_40_18_1_4_12_1_11,NA,61,minor,#99ccc2,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760679.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760679,a/duck/sichuan/21826-5/2021,NA,NA,2021-07,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760681.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760681,a/duck/sichuan/21840-5/2021,NA,NA,2021-07,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760682.galliformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760682,a/chicken/sichuan/21859-5/2021,NA,NA,2021-07,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760683.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760683,a/duck/sichuan/21898/2021,NA,NA,2021-07,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760684.anseriformes.china.18_41_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760684,a/duck/sichuan/21921-1/2021,NA,NA,2021-07,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_41_18_1_4_12_1_11,NA,61,minor,#66bccc,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760685.anseriformes.china.18_12_18_1_4_12_1_11.2021,H5N6,EPI_ISL_6760685,a/duck/sichuan/21957-1/2021,NA,NA,2021-07,2021,Aves,anseriformes,anatidae,anatidae (duck sp.),duck sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,sichuan,cn.sc,30.6066264180489,102.711402322843,a,NA,516,2344b,Asia / China / Sichuan Province / NA / NA,18_12_18_1_4_12_1_11,H5N6/2021/R1_Asia,61,major,#66cc71,2021,n6,FALSE,n6,profile012
H5N6.2344b.EPI_ISL_6760686.galliformes.china.55_42_70_1_39_25_1_39.2021,H5N6,EPI_ISL_6760686,a/chicken/hebei/211021/2021,NA,NA,2021-06,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,hebei,cn.hb,39.5182972347816,116.100714730353,a,NA,498,2344b,Asia / China / Hebei Province / NA / NA,55_42_70_1_39_25_1_39,NA,291,minor,#cc3382,2021,n6,FALSE,n6,profile025
H5N6.2344b.EPI_ISL_6760687.anseriformes.china.3_18_3_1_16_20_1_11.2021,H5N6,EPI_ISL_6760687,a/goose/guangdong/211057/2021,NA,NA,2021-08,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,3_18_3_1_16_20_1_11,NA,126,major,#cc9e66,2021,n6,FALSE,n6,profile020
H5N6.2344b.EPI_ISL_6772736.galliformes.china.26_1_30_1_13_25_1_25.2021,H5N6,EPI_ISL_6772736,a/chicken/guangdong/211064-1/2021,NA,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,26_1_30_1_13_25_1_25,NA,127,major,#cc3333,2021,n6,FALSE,n6,profile025
H5N6.2344b.EPI_ISL_6772737.galliformes.china.26_1_30_1_13_25_1_25.2021,H5N6,EPI_ISL_6772737,a/chicken/guangdong/211064-2/2021,NA,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,26_1_30_1_13_25_1_25,NA,127,major,#cc3333,2021,n6,FALSE,n6,profile025
H5N6.2344b.EPI_ISL_6772738.galliformes.china.26_1_30_1_13_25_1_25.2021,H5N6,EPI_ISL_6772738,a/chicken/guangdong/211064-3/2021,NA,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,26_1_30_1_13_25_1_25,NA,127,major,#cc3333,2021,n6,FALSE,n6,profile025
H5N6.2344b.EPI_ISL_6772739.galliformes.china.26_1_30_1_13_25_1_25.2021,H5N6,EPI_ISL_6772739,a/chicken/guangdong/211064-4/2021,NA,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,26_1_30_1_13_25_1_25,NA,127,major,#cc3333,2021,n6,FALSE,n6,profile025
H5N6.2344b.EPI_ISL_6772759.galliformes.china.56_1_30_1_13_25_1_40.2021,H5N6,EPI_ISL_6772759,a/chicken/guangdong/211064-5/2021,NA,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,56_1_30_1_13_25_1_40,NA,127,minor,#cc99a1,2021,n6,FALSE,n6,profile025
H5N6.2344b.EPI_ISL_6772898.anseriformes.china.3_2_71_1_1_20_1_2.2021,H5N6,EPI_ISL_6772898,a/goose/guangdong/211106-2/2021,NA,NA,2021-08,2021,Aves,anseriformes,anatidae,anatidae (goose sp.),goose sp.,TRUE,wild,anseriformes-wild,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,3_2_71_1_1_20_1_2,NA,209,minor,#99cbcc,2021,n6,FALSE,n6,profile020
H5N6.2344b.EPI_ISL_7457654.galliformes.china.3_2_3_1_1_20_1_2.2021,H5N6,EPI_ISL_7457654,a/chicken/guangdong/211106-3/2021,NA,NA,2021-08,2021,Aves,galliformes,phasianidae,gallus gallus (domestic type),red junglefowl (domestic type),TRUE,domestic,galliformes-domestic,eastern asia,china,chn,36.6848135465548,103.513718494908,guangdong,cn.gd,23.33624359406,113.398153372919,a,NA,494,2344b,Asia / China / Guangdong Province / NA / NA,3_2_3_1_1_20_1_2,NA,209,minor,#af66cc,2021,n6,FALSE,n6,profile020
H5N6.2344b.EPI_ISL_8517996.environment.china.20_13_27_1_11_24_1_9.2021-12-23,H5N6,EPI_ISL_8517996,a/environment/hangzhou/e1147/2021,2021-12-23,2021.98,2021-12,2021,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,china,chn,36.6848135465548,103.513718494908,zhejiang,cn.zj,29.1745873279179,120.086382279697,a,2021-51,521,2344b,Asia / China / Zhejiang / NA / NA,20_13_27_1_11_24_1_9,H5N6/2021/R2_Asia,73,major,#66cc9c,2021-12-23,n6,FALSE,n6,profile024
H5N6.2344b.EPI_ISL_8517997.environment.china.20_13_49_1_11_38_1_9.2021-12-23,H5N6,EPI_ISL_8517997,a/environment/hangzhou/e1150/2021,2021-12-23,2021.98,2021-12,2021,environment,environment,environment,NA,environment,FALSE,wild,environment,eastern asia,china,chn,36.6848135465548,103.513718494908,zhejiang,cn.zj,29.1745873279179,120.086382279697,a,2021-51,521,2344b,Asia / China / Zhejiang / NA / NA,20_13_49_1_11_38_1_9,NA,73,minor,#33ccb9,2021-12-23,n6,FALSE,n6,profile038
