"","tipnames","virus.subtype","isolate.id","isolate.name","collection.date","collection.datedecimal","collection.dateweek","host.order","host.family","host.sciname","host.commonname","host.isbird","host.isdomestic","collection.region.name","collection.country.name","collection.country.code","collection.country.lat","collection.country.long","collection.subdiv1.name","collection.subdiv1.code","collection.subdiv1.lat","collection.subdiv1.long","collection.subdiv2.name","collection.subdiv2.code","collection.subdiv2.lat","collection.subdiv2.long","month.date","cluster.pb2","cluster.pb1","cluster.pa","cluster.ha","cluster.np","cluster.na","cluster.mp","cluster.ns","cluster.profile","cluster.genome","date.year.month","collection.tipdate","group","best_location_code"
"1","H5N8|EPI_ISL_1041172|Accipitriformes|japan|16|2021-02-10","H5N8","EPI_ISL_1041172","a/eastern_buzzard/toyama/160213c/2021","2021-02-10","2021.11","2021-06","Accipitriformes","Accipitridae","buteo japonicus","eastern buzzard","bird","wild","eastern asia","japan","JP","36.204824","138.252924","toyama","JP-16","36.6959518","137.2136768",NA,NA,NA,NA,"2021-02",1,1,15,2,1,3,1,2,"1_1_15_2_1_3_1_2",16,"2021-02","2021-02-10","1","JP-16"
"2","H5N8|EPI_ISL_681281|Anseriformes|japan|10|2020-11-16","H5N8","EPI_ISL_681281","a/swan/niigata/151118/2020","2020-11-16","2020.87","2020-47","Anseriformes","Anatidae","cygnus sp.","swan sp.","bird","wild","eastern asia","japan","JP","36.204824","138.252924","niigata","JP-15","37.9161924","139.0364126",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-16","1","JP-15"
"3","H5N8|EPI_ISL_5260457|Anseriformes|china|16|2021-01-23","H5N8","EPI_ISL_5260457","a/whooper_swan/shandong/sc195/2021","2021-01-23","2021.06","2021-03","Anseriformes","Anatidae","cygnus cygnus","whooper swan","bird","wild","eastern asia","china","CN","35.86166","104.195397","shandong","CN-37","36.674306","117.059933",NA,NA,NA,NA,"2021-01",1,1,15,2,1,3,1,2,"1_1_15_2_1_3_1_2",16,"2021-01","2021-01-23","1","CN-37"
"4","H5N8|EPI_ISL_17805901|NA|japan|10|2020-12-18","H5N8","EPI_ISL_17805901","a/avian/japan/ku-50/2020","2020-12-18","2020.96","2020-51","NA","NA","aves sp.","bird sp.","other","wild","eastern asia","japan","JP","36.204824","138.252924",NA,NA,NA,NA,NA,NA,NA,NA,"2020-12",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-12","2020-12-18","1","JP"
"5","H5N8|EPI_ISL_681290|Galliformes|japan|10|2020-11-07","H5N8","EPI_ISL_681290","a/chicken/kagawa/b8t/2020","2020-11-07","2020.85","2020-45","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","kagawa","JP-37","34.3429904","134.0376604",NA,NA,NA,NA,"2020-11",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-11","2020-11-07","1","JP-37"
"6","H5N8|EPI_ISL_732935|Galliformes|japan|16|2020-12-13","H5N8","EPI_ISL_732935","a/chicken/miyazaki/f1t/2020","2020-12-13","2020.95","2020-50","Galliformes","Phasianidae","gallus gallus (domestic type)","red junglefowl (domestic type)","bird","domestic","eastern asia","japan","JP","36.204824","138.252924","miyazaki","JP-45","31.9076736","131.4202411",NA,NA,NA,NA,"2020-12",9,1,5,2,1,3,1,2,"9_1_5_2_1_3_1_2",16,"2020-12","2020-12-13","1","JP-45"
"7","H5N8|EPI_ISL_17805874|environment|japan|10|2020-12-07","H5N8","EPI_ISL_17805874","a/environment/japan/ku-j8/2020","2020-12-07","2020.93","2020-50","environment","environment","environment","environment","other","wild","eastern asia","japan","JP","36.204824","138.252924",NA,NA,NA,NA,NA,NA,NA,NA,"2020-12",6,1,5,2,1,3,1,2,"6_1_5_2_1_3_1_2",10,"2020-12","2020-12-07","1","JP"
"8","H5N8|EPI_ISL_1139166|Anseriformes|netherlands|1|2020-11-24","H5N8","EPI_ISL_1139166","A/wild_goose/Netherlands/20018735-002/2020","2020-11-24","2020.9","2020-48","Anseriformes","Anatidae","anatidae (goose sp.)","goose sp.","bird","wild","western europe","netherlands","NL","52.132633","5.29126599999995",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-11","2020-11-24","2","NL"
"9","H5N8|EPI_ISL_5057876|Anseriformes|germany|NA|2020-11-01","H5N8","EPI_ISL_5057876","A/Eurasian_wigeon/Germany-SH/AI02179/2020","2020-11-01","2020.83","2020-44","Anseriformes","Anatidae","mareca penelope","eurasian wigeon","bird","wild","western europe","germany","DE","51.165691","10.4515260000001","schleswig-holstein","DE-SH","54.2193672","9.69611669999995",NA,NA,NA,NA,"2020-11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2020-11-01","2","DE-SH"
"10","H5N8|EPI_ISL_2081527|Carnivora|united_kingdom|1|2020-12-08","H5N8","EPI_ISL_2081527","A/red_fox/England/AVP-M1-21-01/2020","2020-12-08","2020.93","2020-50","Carnivora","Canidae","Vulpes vulpes","red fox","other","wild","northern europe","united kingdom","GB","55.378051","-3.43597299999999","england and wales","GB EAW","52.0190289","-0.770427400000017",NA,NA,NA,NA,"2020-12",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-12","2020-12-08","2","GB EAW"
"11","H5N8|EPI_ISL_1139050|Charadriiformes|netherlands|1|2020-11-01","H5N8","EPI_ISL_1139050","A/northern_lapwing/Netherlands/20017255-001/2020","2020-11-01","2020.83","2020-44","Charadriiformes","Charadriidae","vanellus sp.","lapwing sp.","bird","wild","western europe","netherlands","NL","52.132633","5.29126599999995",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-11","2020-11-01","2","NL"
"12","H5N8|EPI_ISL_668456|Falconiformes|sweden|1|2020-11-10","H5N8","EPI_ISL_668456","A/Peregrine_falcon/Sweden/SVA201117SZ0467/20KN003345/2020","2020-11-10","2020.86","2020-46","Falconiformes","Falconidae","falco peregrinus","peregrine falcon","bird","wild","northern europe","sweden","SE","60.128161","18.643501",NA,NA,NA,NA,NA,NA,NA,NA,"2020-11",3,2,3,1,1,2,1,2,"3_2_3_1_1_2_1_2",1,"2020-11","2020-11-10","2","SE"
