isolate_id,isolate_name,subtype,location,host,date,domestic_status,clade,date_complete,date_frac,date_year,date_year_month,date_yday,date_year_week,location_1,location_2,location_3,location_4,location_5,location_n,location_c1,location_c2,host_meta,host_order,domestic_wild,host_class,cluster_pb2,cluster_pb1,cluster_pa,cluster_ha,cluster_np,cluster_na,cluster_mp,cluster_ns,cluster_profile,profile_lab,cluster_genome
EPI_ISL_405813,A/hawk/Poland/003/2020,H5N8,Europe / Poland / Lublin Voivodeship,hawk,06/01/2020,wild,2.3.4.4b,TRUE,2020.014,2020,2020-01,6,2020.1,Europe,Poland,Lublin Voivodeship,,,poland,poland,poland,wild_bird,Accipitriformes,wild,Avian other,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_410291,A/chicken/Germany-BW/AI00049/2020,H5N8,Europe / Germany / Baden-Wuerttemberg / Regierungsbezirk Karlsruhe / Hohenlohekreis,chicken,06/02/2020,domestic,2.3.4.4b,TRUE,2020.098,2020,2020-02,37,2020.6,Europe,Germany,Baden-Wuerttemberg,Regierungsbezirk Karlsruhe,Hohenlohekreis,germany-bw,germany,germany,chicken,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_418169,A/Whooper swan/Xinjiang/1/2020,H5N6,Asia / China / Xinjiang,whooper_swan,03/01/2020,,2.3.4.4h,TRUE,2020.005,2020,2020-01,3,2020.1,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418170,A/Whooper swan/Xinjiang/2/2020,H5N6,Asia / China / Xinjiang,whooper_swan,03/01/2020,,2.3.4.4h,TRUE,2020.005,2020,2020-01,3,2020.1,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418171,A/Whooper swan/Xinjiang/3/2020,H5N6,Asia / China / Xinjiang,whooper_swan,04/01/2020,,2.3.4.4h,TRUE,2020.008,2020,2020-01,4,2020.1,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418172,A/Mute swan/Xinjiang/4/2020,H5N6,Asia / China / Xinjiang,mute_swan,08/01/2020,,2.3.4.4h,TRUE,2020.019,2020,2020-01,8,2020.2,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418173,A/Mute swan/Xinjiang/5/2020,H5N6,Asia / China / Xinjiang,mute_swan,08/01/2020,,2.3.4.4h,TRUE,2020.019,2020,2020-01,8,2020.2,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418174,A/Whooper swan/Xinjiang/6/2020,H5N6,Asia / China / Xinjiang,whooper_swan,08/01/2020,,2.3.4.4h,TRUE,2020.019,2020,2020-01,8,2020.2,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418175,A/Whooper swan/Xinjiang/7/2020,H5N6,Asia / China / Xinjiang,whooper_swan,12/01/2020,,2.3.4.4h,TRUE,2020.03,2020,2020-01,12,2020.2,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418176,A/Whooper swan/Xinjiang/8/2020,H5N6,Asia / China / Xinjiang,whooper_swan,16/01/2020,,2.3.4.4h,TRUE,2020.041,2020,2020-01,16,2020.3,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418177,A/Whooper swan/Xinjiang/9/2020,H5N6,Asia / China / Xinjiang,whooper_swan,16/01/2020,,2.3.4.4h,TRUE,2020.041,2020,2020-01,16,2020.3,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418178,A/Whooper swan/Xinjiang/10/2020,H5N6,Asia / China / Xinjiang,whooper_swan,16/01/2020,,2.3.4.4h,TRUE,2020.041,2020,2020-01,16,2020.3,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418179,A/Whooper swan/Xinjiang/11/2020,H5N6,Asia / China / Xinjiang,whooper_swan,17/01/2020,,2.3.4.4h,TRUE,2020.044,2020,2020-01,17,2020.3,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418180,A/Whooper swan/Xinjiang/12/2020,H5N6,Asia / China / Xinjiang,whooper_swan,17/01/2020,,2.3.4.4h,TRUE,2020.044,2020,2020-01,17,2020.3,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418181,A/Whooper swan/Xinjiang/13/2020,H5N6,Asia / China / Xinjiang,whooper_swan,17/01/2020,,2.3.4.4h,TRUE,2020.044,2020,2020-01,17,2020.3,Asia,China,Xinjiang,,,xinjiang,xinjiang,xinjiang,swan,Anseriformes,wild,Anseriformes wild,11,6,7,3,4,5,2,5,11_6_7_3_4_5_2_5,H5N6/2020/R1_Asia,14
EPI_ISL_418266,A/turkey/Czech Republic/3071/2020,H5N8,"Europe / Czech Republic / Pardubicky kraj / Okres Pardubice / Slepotice, Moravany",turkey,17/02/2020,domestic,2.3.4.4b,TRUE,2020.128,2020,2020-02,48,2020.7,Europe,Czech Republic,Pardubicky kraj,Okres Pardubice,"Slepotice, Moravany",czech_republic,czech republic,czech republic,meleagris_gallopavo,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_503969,A/chicken/Bulgaria/77_20VIR1727/2020,H5N2,Europe / Bulgaria,chicken,21/02/2020,,2.3.4.4b,TRUE,2020.139,2020,2020-02,52,2020.8,Europe,Bulgaria,,,,bulgaria,bulgaria,bulgaria,chicken,Galliformes,domestic,Galliformes,1,1,41,12,24,42,11,7,1_1_41_12_24_42_11_7,NA,202
EPI_ISL_525439,A/laying_hen/Poland/002/2020,H5N8,Europe / Poland / Greater Poland Voivodeship,laying_hen,01/01/2020,domestic,2.3.4.4b,TRUE,2020,2020,2020-01,1,2020.1,Europe,Poland,Greater Poland Voivodeship,,,poland,poland,poland,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525440,A/chicken/Poland/003/2020,H5N8,Europe / Poland / Lublin Voivodeship,chicken,02/01/2020,domestic,2.3.4.4b,TRUE,2020.003,2020,2020-01,2,2020.1,Europe,Poland,Lublin Voivodeship,,,poland,poland,poland,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525441,A/chicken/Poland/004/2020,H5N8,Europe / Poland / Lublin Voivodeship,chicken,02/01/2020,domestic,2.3.4.4b,TRUE,2020.003,2020,2020-01,2,2020.1,Europe,Poland,Lublin Voivodeship,,,poland,poland,poland,gallus_gallus_domesticus,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525442,A/turkey/Poland/027/2020,H5N8,Europe / Poland,turkey,09/01/2020,,2.3.4.4b,TRUE,2020.022,2020,2020-01,9,2020.2,Europe,Poland,,,,poland,poland,poland,turkey,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525443,A/domestic_goose/Poland/028/2020,H5N8,Europe / Poland,domestic_goose,12/01/2020,,2.3.4.4b,TRUE,2020.03,2020,2020-01,12,2020.2,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525444,A/chicken/Poland/054/2020,H5N8,Europe / Poland,chicken,17/01/2020,,2.3.4.4b,TRUE,2020.044,2020,2020-01,17,2020.3,Europe,Poland,,,,poland,poland,poland,chicken,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525445,A/turkey/Poland/079/2020,H5N8,Europe / Poland,turkey,25/01/2020,,2.3.4.4b,TRUE,2020.066,2020,2020-01,25,2020.4,Europe,Poland,,,,poland,poland,poland,turkey,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525446,A/laying_hen/Poland/095/2020,H5N8,Europe / Poland,laying_hen,27/01/2020,,2.3.4.4b,TRUE,2020.071,2020,2020-01,27,2020.4,Europe,Poland,,,,poland,poland,poland,chicken,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525447,A/turkey/Poland/096/2020,H5N8,Europe / Poland,turkey,28/01/2020,,2.3.4.4b,TRUE,2020.074,2020,2020-01,28,2020.5,Europe,Poland,,,,poland,poland,poland,turkey,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525448,A/turkey/Poland/182/2020,H5N8,Europe / Poland,turkey,07/02/2020,,2.3.4.4b,TRUE,2020.101,2020,2020-02,38,2020.6,Europe,Poland,,,,poland,poland,poland,turkey,Galliformes,domestic,Galliformes,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525449,A/domestic_duck/Poland/219/2020,H5N8,Europe / Poland,domestic_duck,20/02/2020,,2.3.4.4b,TRUE,2020.137,2020,2020-02,51,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525450,A/domestic_duck/Poland/221/2020,H5N8,Europe / Poland,domestic_duck,20/02/2020,,2.3.4.4b,TRUE,2020.137,2020,2020-02,51,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
EPI_ISL_525451,A/domestic_duck/Poland/222/2020,H5N8,Europe / Poland,domestic_duck,21/02/2020,,2.3.4.4b,TRUE,2020.139,2020,2020-02,52,2020.8,Europe,Poland,,,,poland,poland,poland,duck,Anseriformes,domestic,Anseriformes domestic,6,1,5,2,1,3,1,2,6_1_5_2_1_3_1_2,H5N8/2020/R1_Europe,10
