tipnames	virus.subtype	host.class	host.order	collection.region.name	clade	tiplocation_lat	tiplocation_lon	cluster.number
H5N8.EPI_ISL_614401.Anseriformes.kazakhstan.1.2020-09-23	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile001
H5N8.EPI_ISL_615068.Anseriformes.kazakhstan.1.2020-09-20	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	51.2105	71.4676	profile001
H5N8.EPI_ISL_654838.Galliformes.russia.1.2020-08-27	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	55.4312	65.3549	profile001
H5N8.EPI_ISL_654839.Anseriformes.russia.1.2020-08-27	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	55.4312	65.3549	profile001
H5N8.EPI_ISL_1114735.Galliformes.russia.1.2020-09-26	H5N8	Galliformes_domestic	Galliformes	eastern asia	2.3.4.4b	49.5884314	117.4794621	profile001
H5N8.EPI_ISL_2932683.Galliformes.kazakhstan.1.2020-10-09	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
H5N8.EPI_ISL_739687.Galliformes.kazakhstan.1.2020-09-18	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
H5N8.EPI_ISL_2932614.Anseriformes.kazakhstan.1.2020-09-21	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
H5N8.EPI_ISL_2932600.Anseriformes.kazakhstan.1.2020-09-01	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	43.255058	76.912628	profile001
H5N8.EPI_ISL_2932608.Galliformes.kazakhstan.1.2020-09-01	H5N8	Galliformes_domestic	Galliformes	central asia	2.3.4.4b	43.255058	76.912628	profile001
H5N8.EPI_ISL_2932617.Passeriformes.kazakhstan.1.2020-09-15	H5N8	Passeriformes_wild	Passeriformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
H5N8.EPI_ISL_2932682.Columbiformes.kazakhstan.1.2020-09-15	H5N8	Columbiformes_wild	Columbiformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
H5N8.EPI_ISL_2932609.Anseriformes.kazakhstan.1.2020-09-15	H5N8	Anseriformes_wild	Anseriformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
H5N8.EPI_ISL_615072.Anseriformes.kazakhstan.1.2020-09-25	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2147	63.6305	profile001
H5N8.EPI_ISL_5863567.Anseriformes.georgia.1.2020-10-06	H5N8	Anseriformes_wild	Anseriformes	western asia	2.3.4.4b	42.315407	43.356892	profile001
H5N3.EPI_ISL_5863749.Anseriformes.georgia.289.2020-10-20	H5N3	Anseriformes_wild	Anseriformes	western asia	2.3.4.4b	42.315407	43.356892	profile001
H5N8.EPI_ISL_615073.Anseriformes.kazakhstan.1.2020-09-19	H5N8	Anseriformes_domestic	Anseriformes	central asia	2.3.4.4b	53.2804	69.3762	profile001
